+----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------+
| brand_id | brand                                              | i_manufact_id | i_manufact                                         | ext_price |
+----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------+
| 10006011 | corpunivamalg #11                                  | 174           | eseationought                                      | 91622.67  |
| 1002001  | importoamalg #1                                    | 236           | callypriable                                       | 84963.81  |
| 2004001  | edu packimporto #1                                 | 237           | ationpriable                                       | 83012.33  |
| 4001001  | amalgedu pack #1                                   | 232           | ablepriable                                        | 82131.92  |
| 1002002  | importoamalg #2                                    | 514           | eseoughtanti                                       | 78827.12  |
| 1003001  | exportiamalg #1                                    | 365           | anticallypri                                       | 73744.85  |
| 10008005 | namelessunivamalg #5                               | 165           | anticallyought                                     | 68635.97  |
| 2002002  | importoimporto #2                                  | 359           | n stantipri                                        | 68314.10  |
| 10005007 | scholarunivamalg #7                                | 574           | eseationanti                                       | 67842.11  |
| 1003001  | exportiamalg #1                                    | 397           | ationn stpri                                       | 67485.33  |
| 1001001  | amalgamalg #1                                      | 462           | ablecallyese                                       | 66293.72  |
| 7014006  | edu packnameless #6                                | 649           | n stesecally                                       | 66211.22  |
| 3002002  | importoexporti #2                                  | 197           | ationn stought                                     | 64390.58  |
| 1001001  | amalgamalg #1                                      | 280           | bareingable                                        | 63835.47  |
| 8003007  | exportinameless #7                                 | 149           | n steseought                                       | 63636.13  |
| 10007004 | brandunivamalg #4                                  | 488           | eingeingese                                        | 62218.94  |
| 1004001  | edu packamalg #1                                   | 622           | ableablecally                                      | 61569.22  |
| 9007005  | brandmaxi #5                                       | 460           | barcallyese                                        | 61007.31  |
| 6011003  | amalgbrand #3                                      | 233           | pripriable                                         | 59864.06  |
| 2004001  | edu packimporto #1                                 | 222           | ableableable                                       | 59762.63  |
| 3002002  | importoexporti #2                                  | 330           | barpripri                                          | 59544.68  |
| 8004005  | edu packnameless #5                                | 931           | oughtprin st                                       | 59331.56  |
| 3003001  | exportiexporti #1                                  | 374           | eseationpri                                        | 58647.40  |
| 3002001  | importoexporti #1                                  | 411           | oughtoughtese                                      | 58597.10  |
| 5001001  | amalgscholar #1                                    | 157           | ationantiought                                     | 58547.47  |
| 1001002  | amalgamalg #2                                      | 59            | n stanti                                           | 58132.69  |
| 10013006 | exportiamalgamalg #6                               | 13            | priought                                           | 57917.92  |
| 6015002  | scholarbrand #2                                    | 14            | eseought                                           | 57427.57  |
| 3002002  | importoexporti #2                                  | 52            | ableanti                                           | 56185.63  |
| 8016001  | corpmaxi #1                                        | 119           | n stoughtought                                     | 56018.62  |
| 9015008  | scholarunivamalg #8                                | 474           | eseationese                                        | 55560.72  |
| 7009002  | maxibrand #2                                       | 301           | oughtbarpri                                        | 55433.57  |
