+--------+----------+----------------------------------------------------+----------+
| d_year | brand_id | brand                                              | sum_agg  |
+--------+----------+----------------------------------------------------+----------+
| 1998   | 1004001  | edu packamalg #1                                   | 90576.84 |
| 1998   | 4002001  | importoedu pack #1                                 | 89606.13 |
| 1998   | 5003001  | exportischolar #1                                  | 77740.63 |
| 1998   | 5002001  | importoscholar #1                                  | 59936.35 |
| 1998   | 2001001  | amalgimporto #1                                    | 58546.24 |
| 1998   | 3001002  | amalgexporti #2                                    | 58412.11 |
| 1998   | 3003001  | exportiexporti #1                                  | 57841.06 |
| 1998   | 9008008  | namelessmaxi #8                                    | 55325.64 |
| 1998   | 2001002  | amalgimporto #2                                    | 48655.23 |
| 1998   | 5004001  | edu packscholar #1                                 | 48542.59 |
| 1998   | 4004002  | edu packedu pack #2                                | 46356.84 |
| 1998   | 10003008 | exportiunivamalg #8                                | 45595.30 |
| 1998   | 1004002  | edu packamalg #2                                   | 45188.63 |
| 1998   | 4003001  | exportiedu pack #1                                 | 43888.93 |
| 1998   | 8015001  | scholarmaxi #1                                     | 42279.46 |
| 1998   | 3004002  | edu packexporti #2                                 | 41398.10 |
| 1998   | 2002002  | importoimporto #2                                  | 41395.43 |
| 1998   | 3004001  | edu packexporti #1                                 | 39705.82 |
| 1998   | 10011006 | amalgamalgamalg #6                                 | 39427.76 |
| 1998   | 8004005  | edu packnameless #5                                | 38340.11 |
| 1998   | 10003002 | exportiunivamalg #2                                | 38318.50 |
| 1998   | 9007011  | brandmaxi #11                                      | 36260.40 |
| 1998   | 1003001  | exportiamalg #1                                    | 35045.49 |
| 1998   | 8002009  | importonameless #9                                 | 34922.26 |
| 1998   | 4001001  | amalgedu pack #1                                   | 34890.85 |
| 1998   | 6007005  | brandcorp #5                                       | 34875.61 |
| 1998   | 5001002  | amalgscholar #2                                    | 34491.10 |
| 1998   | 4004001  | edu packedu pack #1                                | 33208.73 |
| 1998   | 8016009  | corpmaxi #9                                        | 32586.38 |
| 1998   | 4002002  | importoedu pack #2                                 | 31659.82 |
| 1998   | 10014017 | edu packamalgamalg #17                             | 31608.99 |
| 1998   | 8005004  | scholarnameless #4                                 | 31391.90 |
| 1998   | 2004001  | edu packimporto #1                                 | 31369.60 |
| 1998   | 10008003 | namelessunivamalg #3                               | 29878.10 |
| 1998   | 6008001  | namelesscorp #1                                    | 29486.95 |
| 1998   | 10012017 | importoamalgamalg #17                              | 28643.21 |
