+----------------------------------------------------+----------------------------------------------------+--------+-------+-------------------+-----------+----------+----------+
| i_category                                         | i_brand                                            | d_year | d_moy | avg_monthly_sales | sum_sales | psum     | nsum     |
+----------------------------------------------------+----------------------------------------------------+--------+-------+-------------------+-----------+----------+----------+
| Women                                              | edu packamalg #2                                   | 2000   | 2     | 37194.506667      | 17086.53  | 24492.01 | 22822.00 |
| Women                                              | amalgamalg #2                                      | 2000   | 2     | 39330.291667      | 19432.47  | 27291.35 | 23843.11 |
| Men                                                | amalgimporto #2                                    | 2000   | 6     | 39829.640000      | 20514.79  | 23215.85 | 22127.56 |
| Shoes                                              | importoedu pack #2                                 | 2000   | 4     | 37517.970833      | 18217.91  | 21506.14 | 22110.80 |
| Children                                           | importoexporti #2                                  | 2000   | 6     | 39688.497500      | 20522.65  | 22167.88 | 21400.92 |
| Children                                           | exportiexporti #2                                  | 2000   | 4     | 38375.247500      | 19216.67  | 24886.45 | 22043.57 |
| Shoes                                              | exportiedu pack #2                                 | 2000   | 2     | 38592.701667      | 19450.89  | 28653.00 | 24098.67 |
| Children                                           | importoexporti #2                                  | 2000   | 4     | 40175.673333      | 21081.33  | 24751.40 | 23476.30 |
| Men                                                | importoimporto #2                                  | 2000   | 2     | 37966.228333      | 18932.77  | 24856.09 | 21621.62 |
| Men                                                | amalgimporto #2                                    | 2000   | 6     | 39266.945833      | 20293.45  | 22179.31 | 22236.19 |
| Men                                                | edu packimporto #2                                 | 2000   | 2     | 38516.314167      | 19558.37  | 24140.89 | 21781.43 |
| Shoes                                              | importoedu pack #2                                 | 2000   | 4     | 37747.020833      | 18799.62  | 21352.57 | 26934.90 |
| Music                                              | amalgscholar #2                                    | 2000   | 4     | 38229.288333      | 19327.08  | 22142.89 | 25069.93 |
| Shoes                                              | amalgedu pack #2                                   | 2000   | 4     | 38034.654167      | 19136.91  | 21144.63 | 20444.31 |
| Music                                              | exportischolar #2                                  | 2000   | 7     | 38737.765000      | 19992.73  | 22601.02 | 51177.87 |
| Children                                           | importoexporti #2                                  | 2000   | 2     | 39688.497500      | 20965.67  | 27431.20 | 23700.89 |
| Music                                              | importoscholar #2                                  | 2000   | 6     | 38000.742500      | 19289.65  | 20179.90 | 24256.41 |
| Music                                              | amalgscholar #2                                    | 2000   | 2     | 38229.288333      | 19582.05  | 24165.73 | 22142.89 |
| Women                                              | amalgamalg #2                                      | 2000   | 2     | 39202.181667      | 20579.80  | 25493.99 | 25233.14 |
| Women                                              | importoamalg #2                                    | 2000   | 2     | 38380.991667      | 19784.92  | 23530.27 | 22763.92 |
| Music                                              | amalgscholar #2                                    | 2000   | 6     | 38229.288333      | 19647.02  | 25069.93 | 20460.89 |
| Shoes                                              | importoedu pack #2                                 | 2000   | 2     | 37655.417500      | 19111.62  | 25955.10 | 21648.97 |
| Women                                              | amalgamalg #2                                      | 2000   | 4     | 39202.181667      | 20670.81  | 25233.14 | 21656.02 |
| Shoes                                              | importoedu pack #2                                 | 2000   | 2     | 37747.020833      | 19269.28  | 25388.37 | 21352.57 |
| Shoes                                              | edu packedu pack #2                                | 2000   | 2     | 36922.830000      | 18469.84  | 24577.88 | 22126.94 |
| Children                                           | exportiexporti #2                                  | 2000   | 6     | 38511.708333      | 20111.57  | 21737.44 | 21093.26 |
| Men                                                | amalgimporto #2                                    | 2000   | 4     | 40464.201667      | 22105.79  | 22854.88 | 24627.84 |
| Women                                              | amalgamalg #2                                      | 2000   | 6     | 38645.432500      | 20337.70  | 23025.15 | 22960.59 |
| Men                                                | amalgimporto #2                                    | 2000   | 2     | 40464.201667      | 22163.58  | 29104.91 | 22854.88 |
| Children                                           | importoexporti #2                                  | 2000   | 7     | 39688.497500      | 21400.92  | 20522.65 | 52022.17 |
| Women                                              | amalgamalg #2                                      | 2000   | 2     | 39109.788333      | 20832.46  | 24813.19 | 22693.88 |
| Shoes                                              | amalgedu pack #2                                   | 2000   | 4     | 38138.984167      | 19894.25  | 24693.56 | 21293.46 |
| Shoes                                              | exportiedu pack #2                                 | 2000   | 6     | 38592.701667      | 20368.64  | 22001.80 | 24566.94 |
| Children                                           | amalgexporti #2                                    | 2000   | 2     | 36866.931667      | 18646.89  | 25524.52 | 23229.57 |
| Women                                              | importoamalg #2                                    | 2000   | 2     | 33712.511667      | 15527.34  | 21196.18 | 20730.59 |
