+---------+--------+------------------------+-------------+---------------+
| channel | item   | return_ratio           | return_rank | currency_rank |
+---------+--------+------------------------+-------------+---------------+
| catalog | 9287   | 0.00000000000000000000 | 1           | 16            |
| catalog | 93602  | 0.00000000000000000000 | 1           | 79            |
| catalog | 42026  | 0.00000000000000000000 | 1           | 112           |
| catalog | 18919  | 0.00000000000000000000 | 1           | 210           |
| catalog | 13181  | 0.00000000000000000000 | 1           | 212           |
| catalog | 33031  | 0.00000000000000000000 | 1           | 308           |
| catalog | 63529  | 0.00000000000000000000 | 1           | 327           |
| catalog | 84668  | 0.50000000000000000000 | 8           | 1             |
| catalog | 74168  | 0.50505050505050505051 | 9           | 2             |
| catalog | 58405  | 0.51063829787234042553 | 10          | 3             |
| catalog | 91886  | 0.54945054945054945055 | 12          | 4             |
| catalog | 19631  | 0.55208333333333333333 | 13          | 5             |
| catalog | 91523  | 0.55789473684210526316 | 14          | 6             |
| catalog | 60938  | 0.56250000000000000000 | 15          | 7             |
| catalog | 60871  | 0.56338028169014084507 | 16          | 8             |
| catalog | 100265 | 0.58000000000000000000 | 17          | 9             |
| catalog | 89753  | 0.58536585365853658537 | 18          | 10            |
| store   | 59689  | 0.00000000000000000000 | 1           | 6             |
| store   | 50666  | 0.00000000000000000000 | 1           | 26            |
| store   | 72631  | 0.60416666666666666667 | 3           | 1             |
| store   | 95939  | 0.68041237113402061856 | 4           | 2             |
| store   | 66419  | 0.68604651162790697674 | 5           | 3             |
| store   | 3038   | 0.70408163265306122449 | 6           | 4             |
| store   | 74660  | 0.70833333333333333333 | 7           | 5             |
| store   | 4166   | 0.71428571428571428571 | 8           | 29            |
| store   | 36119  | 0.72500000000000000000 | 9           | 37            |
| store   | 39401  | 0.73255813953488372093 | 10          | 7             |
| store   | 17921  | 0.73684210526315789474 | 11          | 8             |
| store   | 50575  | 0.75903614457831325301 | 12          | 9             |
| store   | 49532  | 0.77083333333333333333 | 13          | 10            |
| web     | 93902  | 0.00000000000000000000 | 1           | 28            |
| web     | 91117  | 0.00000000000000000000 | 1           | 45            |
| web     | 78673  | 0.00000000000000000000 | 1           | 101           |
| web     | 4586   | 0.00000000000000000000 | 1           | 106           |
| web     | 42122  | 0.47916666666666666667 | 5           | 1             |
| web     | 2498   | 0.52040816326530612245 | 6           | 2             |
| web     | 21113  | 0.53260869565217391304 | 7           | 3             |
| web     | 50911  | 0.53424657534246575342 | 8           | 4             |
| web     | 35474  | 0.53932584269662921348 | 9           | 5             |
| web     | 93235  | 0.57142857142857142857 | 10          | 6             |
| web     | 49907  | 0.57142857142857142857 | 10          | 23            |
| web     | 31957  | 0.59302325581395348837 | 12          | 7             |
| web     | 79373  | 0.59793814432989690722 | 13          | 8             |
| web     | 59465  | 0.60439560439560439560 | 14          | 9             |
| web     | 65540  | 0.61538461538461538462 | 15          | 10            |
+---------+--------+------------------------+-------------+---------------+
