+---------+------------+-----------+-------------+----------------+------------------+
| item_sk | d_date     | web_sales | store_sales | web_cumulative | store_cumulative |
+---------+------------+-----------+-------------+----------------+------------------+
| 1       | 2001-01-18 | 79.93     | NULL        | 79.93          | 66.03            |
| 1       | 2001-01-26 | 236.85    | 142.47      | 236.85         | 142.47           |
| 1       | 2001-01-27 | 241.71    | NULL        | 241.71         | 142.47           |
| 1       | 2001-02-05 | NULL      | 148.03      | 241.71         | 148.03           |
| 1       | 2001-02-19 | NULL      | 164.30      | 241.71         | 164.30           |
| 1       | 2001-02-26 | NULL      | 172.43      | 241.71         | 172.43           |
| 5       | 2001-02-08 | 324.32    | NULL        | 324.32         | 169.85           |
| 5       | 2001-02-11 | NULL      | 184.62      | 324.32         | 184.62           |
| 5       | 2001-02-12 | NULL      | 215.55      | 324.32         | 215.55           |
| 5       | 2001-02-14 | 355.97    | 337.45      | 355.97         | 337.45           |
| 9       | 2001-01-26 | NULL      | 7.93        | 40.81          | 7.93             |
| 9       | 2001-01-30 | NULL      | 7.93        | 40.81          | 7.93             |
| 9       | 2001-02-03 | NULL      | 31.47       | 40.81          | 31.47            |
| 9       | 2001-02-04 | 139.48    | NULL        | 139.48         | 31.47            |
| 9       | 2001-02-05 | NULL      | 59.82       | 139.48         | 59.82            |
| 9       | 2001-02-14 | NULL      | 105.71      | 139.48         | 105.71           |
| 9       | 2001-02-16 | 246.85    | NULL        | 246.85         | 105.71           |
| 9       | 2001-02-18 | NULL      | 114.35      | 246.85         | 114.35           |
| 9       | 2001-02-19 | 349.48    | 150.81      | 349.48         | 150.81           |
| 9       | 2001-02-27 | NULL      | 162.67      | 349.48         | 162.67           |
| 9       | 2001-03-01 | NULL      | 211.85      | 349.48         | 211.85           |
| 9       | 2001-03-03 | NULL      | 291.55      | 349.48         | 291.55           |
| 9       | 2001-03-11 | 353.86    | NULL        | 353.86         | 291.55           |
| 9       | 2001-03-13 | 432.02    | NULL        | 432.02         | 291.55           |
| 9       | 2001-03-14 | NULL      | 301.48      | 432.02         | 301.48           |
| 9       | 2001-03-15 | NULL      | 322.72      | 432.02         | 322.72           |
| 9       | 2001-03-21 | NULL      | 390.64      | 432.02         | 390.64           |
| 9       | 2001-03-25 | NULL      | 422.83      | 432.02         | 422.83           |
| 9       | 2001-04-05 | NULL      | 430.08      | 432.02         | 430.08           |
| 11      | 2001-01-24 | 45.35     | NULL        | 45.35          | 14.45            |
| 11      | 2001-01-28 | 157.69    | 38.86       | 157.69         | 38.86            |
| 11      | 2001-01-30 | NULL      | 40.00       | 157.69         | 40.00            |
| 11      | 2001-02-02 | NULL      | 71.85       | 157.69         | 71.85            |
| 11      | 2001-02-03 | NULL      | 109.80      | 157.69         | 109.80           |
| 11      | 2001-02-07 | 166.37    | NULL        | 166.37         | 109.80           |
| 11      | 2001-02-09 | NULL      | 110.44      | 166.37         | 110.44           |
| 11      | 2001-02-18 | NULL      | 136.17      | 166.37         | 136.17           |
| 11      | 2001-02-21 | NULL      | 136.17      | 166.37         | 136.17           |
| 13      | 2001-01-12 | 39.12     | NULL        | 39.12          | 22.40            |
| 15      | 2001-01-11 | NULL      | 0.00        | 16.72          | 0.00             |
| 17      | 2001-02-12 | 175.53    | NULL        | 175.53         | 107.63           |
| 17      | 2001-02-27 | 200.93    | NULL        | 200.93         | 107.63           |
| 17      | 2001-03-10 | NULL      | 147.64      | 200.93         | 147.64           |
| 17      | 2001-03-12 | NULL      | 157.22      | 200.93         | 157.22           |
| 17      | 2001-04-07 | 338.81    | NULL        | 338.81         | 335.65           |
| 17      | 2001-04-22 | 397.67    | NULL        | 397.67         | 356.35           |
| 17      | 2001-04-24 | NULL      | 365.53      | 397.67         | 365.53           |
| 17      | 2001-07-02 | 688.48    | NULL        | 688.48         | 684.47           |
| 19      | 2001-01-03 | 101.49    | NULL        | 101.49         | 44.42            |
| 21      | 2001-01-14 | NULL      | 9.15        | 13.79          | 9.15             |
| 25      | 2001-01-14 | NULL      | 87.99       | 166.29         | 87.99            |
| 25      | 2001-01-25 | NULL      | 140.45      | 166.29         | 140.45           |
| 41      | 2001-01-08 | 15.48     | NULL        | 15.48          | 15.03            |
| 43      | 2001-01-08 | 85.07     | NULL        | 85.07          | 31.95            |
| 49      | 2001-01-30 | 140.45    | NULL        | 140.45         | 124.56           |
| 51      | 2001-01-14 | 221.67    | NULL        | 221.67         | 128.85           |
| 51      | 2001-01-15 | NULL      | 133.22      | 221.67         | 133.22           |
| 51      | 2001-01-18 | NULL      | 143.81      | 221.67         | 143.81           |
