+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+--------------+-----+
| i_category                                         | i_class                                            | i_brand                                            | i_product_name | d_year | d_qoy | d_moy | s_store_id | sumsales     | rk  |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+--------------+-----+
| Books                                              | arts                                               | amalgmaxi #10                                      | NULL           | NULL   | NULL  | NULL  | NULL       | 9856593.48   | 70  |
| Books                                              | arts                                               | amalgmaxi #12                                      | NULL           | NULL   | NULL  | NULL  | NULL       | 11601022.87  | 34  |
| Books                                              | arts                                               | amalgmaxi #2                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 9801669.87   | 72  |
| Books                                              | arts                                               | amalgmaxi #4                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 11353997.32  | 37  |
| Books                                              | arts                                               | amalgmaxi #6                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 9674912.82   | 75  |
| Books                                              | arts                                               | amalgmaxi #8                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 9891932.60   | 68  |
| Books                                              | arts                                               | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 62180128.96  | 8   |
| Books                                              | business                                           | importomaxi #10                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 10401495.05  | 57  |
| Books                                              | business                                           | importomaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 10529457.75  | 50  |
| Books                                              | business                                           | importomaxi #2                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 9317345.18   | 89  |
| Books                                              | business                                           | importomaxi #4                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 10473661.31  | 53  |
| Books                                              | business                                           | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 57053311.95  | 14  |
| Books                                              | computers                                          | exportimaxi #10                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 10464870.00  | 54  |
| Books                                              | computers                                          | exportimaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 10965635.35  | 42  |
| Books                                              | computers                                          | exportimaxi #2                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 10779690.56  | 46  |
| Books                                              | computers                                          | exportimaxi #4                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 11060552.97  | 40  |
| Books                                              | computers                                          | exportimaxi #8                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 10896633.45  | 45  |
| Books                                              | computers                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 62140691.20  | 9   |
| Books                                              | cooking                                            | amalgunivamalg #10                                 | NULL           | NULL   | NULL  | NULL  | NULL       | 9798796.79   | 73  |
| Books                                              | cooking                                            | amalgunivamalg #12                                 | NULL           | NULL   | NULL  | NULL  | NULL       | 9631062.44   | 78  |
| Books                                              | cooking                                            | amalgunivamalg #2                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 9147800.42   | 94  |
| Books                                              | cooking                                            | amalgunivamalg #4                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 12170641.71  | 26  |
| Books                                              | cooking                                            | amalgunivamalg #6                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 12553951.31  | 20  |
