+-----------------+------+----------------+--------------+----------------+
| channel         | id   | sales          | returns      | profit         |
+-----------------+------+----------------+--------------+----------------+
| catalog channel | 1    | 859440423.66   | 17065050.85  | -109417262.08  |
| catalog channel | 2    | 891643004.59   | 17065050.85  | -105419831.50  |
| catalog channel | 4    | 885529049.08   | 17065050.85  | -96506452.61   |
| catalog channel | 7    | 902275808.59   | 17065050.85  | -100048457.18  |
| catalog channel | 8    | 874235658.14   | 17065050.85  | -97506674.43   |
| catalog channel | 10   | 874913338.39   | 17065050.85  | -93953544.85   |
| catalog channel | 13   | 893315380.36   | 17065050.85  | -112415760.96  |
| catalog channel | 14   | 847457311.48   | 17065050.85  | -98128587.67   |
| catalog channel | 16   | 884236623.66   | 17065050.85  | -93480448.33   |
| catalog channel | 19   | 890704642.75   | 17065050.85  | -103646295.71  |
| catalog channel | 20   | 876497431.81   | 17065050.85  | -99456051.08   |
| catalog channel | 22   | 897936878.02   | 17065050.85  | -107134515.25  |
| catalog channel | NULL | 13667274.53    | 17065050.85  | -13523719.27   |
| catalog channel | NULL | 10591852825.06 | 221845661.05 | -1230637600.92 |
| store channel   | 1    | 22403265.18    | 561622.39    | -10120272.24   |
| store channel   | 2    | 22266336.94    | 544444.30    | -10041737.12   |
| store channel   | 4    | 22148478.16    | 535551.90    | -10165159.98   |
| store channel   | 7    | 22638193.05    | 543568.63    | -9870575.68    |
| store channel   | 8    | 23270408.03    | 505220.28    | -10254040.75   |
| store channel   | 10   | 21983778.63    | 483804.75    | -9809246.78    |
| store channel   | 13   | 22423513.07    | 562812.79    | -10276665.62   |
| store channel   | 14   | 22899298.70    | 599850.75    | -10368742.32   |
| store channel   | 16   | 22470263.29    | 565342.53    | -10314201.63   |
| store channel   | 19   | 22603774.43    | 497735.79    | -10136535.99   |
| store channel   | 20   | 22933426.09    | 525102.66    | -10024110.80   |
| store channel   | 22   | 21163737.31    | 575870.22    | -9659637.19    |
| store channel   | 25   | 22570182.40    | 602189.46    | -10230801.35   |
| store channel   | 26   | 22841648.02    | 491209.71    | -10264883.72   |
| store channel   | 28   | 21878516.21    | 476587.14    | -9902808.47    |
| store channel   | 31   | 22203178.79    | 558032.43    | -10026171.18   |
| store channel   | 32   | 20689925.01    | 546059.38    | -9117157.60    |
| store channel   | 34   | 22345199.20    | 536115.21    | -10064704.43   |
| store channel   | 37   | 22446750.19    | 632677.54    | -9978152.29    |
| store channel   | 38   | 20875512.19    | 570176.53    | -9658457.22    |
| store channel   | 40   | 22214541.01    | 541647.23    | -10160550.33   |
| store channel   | 43   | 20624260.42    | 567491.74    | -9568116.73    |
| store channel   | 44   | 22155820.44    | 492011.64    | -10023365.95   |
| store channel   | 46   | 21166688.28    | 616360.26    | -9370828.00    |
| store channel   | 49   | 22626883.71    | 488150.15    | -9740592.04    |
| store channel   | 50   | 22368071.62    | 555403.67    | -9980115.05    |
| store channel   | 52   | 22449165.75    | 516290.59    | -9957910.60    |
| store channel   | 55   | 21927897.07    | 526036.11    | -9992349.14    |
| store channel   | 56   | 23007779.98    | 570960.11    | -10699181.49   |
| store channel   | 58   | 22903914.27    | 519923.38    | -10576176.89   |
| store channel   | 61   | 22206938.00    | 566177.48    | -9467553.07    |
| store channel   | 62   | 22691401.72    | 669892.50    | -10430521.58   |
| store channel   | 64   | 22916641.55    | 511976.72    | -10127106.12   |
| store channel   | 67   | 21415137.65    | 590022.93    | -9697244.95    |
| store channel   | 68   | 23817949.25    | 530239.06    | -10525795.35   |
| store channel   | 70   | 22418437.81    | 520131.42    | -10061953.79   |
| store channel   | 73   | 21445873.52    | 545380.59    | -9722312.01    |
| store channel   | 74   | 23326397.22    | 460224.00    | -10410806.25   |
| store channel   | 76   | 23692484.49    | 516205.23    | -10179791.74   |
| store channel   | 79   | 22554670.41    | 597472.95    | -10066802.76   |
| store channel   | 80   | 20831800.91    | 439670.37    | -9942362.57    |
| store channel   | 82   | 20913606.79    | 583275.01    | -9604106.03    |
| store channel   | 85   | 20590528.43    | 542806.79    | -9273757.02    |
| store channel   | 86   | 21684040.04    | 520351.04    | -9756854.93    |
| store channel   | 88   | 22293067.02    | 541100.59    | -10006674.65   |
| store channel   | 91   | 22394222.43    | 589235.34    | -10093644.09   |
| store channel   | 92   | 20663163.18    | 557157.71    | -9751456.26    |
| store channel   | 94   | 21746495.91    | 596062.51    | -9606888.73    |
| store channel   | 97   | 21811523.00    | 559490.25    | -10002615.56   |
| store channel   | 98   | 23021586.14    | 519015.71    | -10451900.71   |
| store channel   | 100  | 23506171.23    | 572477.05    | -10418791.98   |
| store channel   | NULL | 1132442544.14  | 27836614.52  | -509952188.73  |
| web channel     | 1    | 3969663.22     | 43931.33     | -537923.97     |
| web channel     | 2    | 4120907.72     | 44752.99     | -368237.05     |
| web channel     | 4    | 3961534.78     | 43641.08     | -570923.38     |
| web channel     | 7    | 4006813.25     | 36882.52     | -506781.80     |
| web channel     | 8    | 4165909.34     | 71512.16     | -493581.07     |
| web channel     | 10   | 3896436.18     | 35829.93     | -474327.51     |
| web channel     | 13   | 4168336.52     | 70982.59     | -511682.16     |
| web channel     | 14   | 3795067.83     | 82364.41     | -563278.20     |
| web channel     | 16   | 4134201.51     | 40359.94     | -376373.80     |
| web channel     | 19   | 3613647.38     | 91498.55     | -394310.64     |
| web channel     | 20   | 4175895.98     | 88586.15     | -424533.41     |
| web channel     | 22   | 3930480.11     | 61351.55     | -433466.81     |
| web channel     | 25   | 4280931.60     | 70055.14     | -405283.27     |
| web channel     | 26   | 3989673.02     | 74831.87     | -362252.50     |
| web channel     | 28   | 4067247.08     | 45679.87     | -349315.02     |
| web channel     | 31   | 3845652.78     | 49598.80     | -598506.36     |
| web channel     | 32   | 4235334.84     | 51236.20     | -386032.24     |
| web channel     | 34   | 4353089.15     | 44410.28     | -423801.60     |
| web channel     | 37   | 4253043.38     | 82830.88     | -279614.80     |
| web channel     | 38   | 4062830.22     | 39149.61     | -405721.98     |
| web channel     | 40   | 4103935.37     | 55486.15     | -449241.69     |
| web channel     | 43   | 3856447.00     | 46613.95     | -499345.52     |
| web channel     | 44   | 4376371.79     | 57264.02     | -288510.79     |
| web channel     | 46   | 4043790.80     | 58126.96     | -391098.08     |
| web channel     | 49   | 3908853.70     | 67044.33     | -452009.70     |
| web channel     | 50   | 3964580.45     | 53774.78     | -560215.38     |
| web channel     | 52   | 3977695.74     | 50820.13     | -401351.21     |
| web channel     | 55   | 4028553.76     | 64920.24     | -413572.39     |
| web channel     | 56   | 4286849.13     | 68560.98     | -424207.24     |
| web channel     | 58   | 4049946.30     | 50042.27     | -382393.30     |
| web channel     | 61   | 3809349.21     | 69044.27     | -435063.11     |
| web channel     | 62   | 4311646.86     | 60472.88     | -450761.89     |
| web channel     | 64   | 4082629.44     | 67741.89     | -445764.06     |
| web channel     | 67   | 4247257.88     | 42908.51     | -283088.32     |
+-----------------+------+----------------+--------------+----------------+
