+-----------------+------------------------------+-----------+----------+-----------+
| channel         | id                           | sales     | returns  | profit    |
+-----------------+------------------------------+-----------+----------+-----------+
| catalog channel | catalog_pageAAAAAAAAAABAAAAA | 94933.77  | 7882.63  | -822.08   |
| catalog channel | catalog_pageAAAAAAAAAADAAAAA | 13481.41  | 0.00     | 3638.20   |
| catalog channel | catalog_pageAAAAAAAAABBAAAAA | 48089.87  | 4627.77  | -6981.84  |
| catalog channel | catalog_pageAAAAAAAAABDAAAAA | 101513.66 | 15073.36 | -15626.09 |
| catalog channel | catalog_pageAAAAAAAAACBAAAAA | 99547.28  | 323.36   | -2386.02  |
| catalog channel | catalog_pageAAAAAAAAACDAAAAA | 134533.63 | 18647.53 | -10260.89 |
| catalog channel | catalog_pageAAAAAAAAADBAAAAA | 126452.27 | 2333.93  | -4777.33  |
| catalog channel | catalog_pageAAAAAAAAADDAAAAA | 124899.81 | 858.06   | -23356.95 |
| catalog channel | catalog_pageAAAAAAAAAEBAAAAA | 71437.12  | 2619.70  | -12824.22 |
| catalog channel | catalog_pageAAAAAAAAAEDAAAAA | 46267.74  | 2595.75  | -13689.02 |
| catalog channel | catalog_pageAAAAAAAAAFDAAAAA | 91675.42  | 16112.45 | -8337.90  |
| catalog channel | catalog_pageAAAAAAAAAGDAAAAA | 78184.89  | 9206.41  | 1386.79   |
| catalog channel | catalog_pageAAAAAAAAAHAAAAAA | 259839.11 | 21598.62 | -39808.36 |
| catalog channel | catalog_pageAAAAAAAAAHDAAAAA | 43292.22  | 5461.78  | -14084.74 |
| catalog channel | catalog_pageAAAAAAAAAIAAAAAA | 278075.98 | 4681.41  | 8111.22   |
| catalog channel | catalog_pageAAAAAAAAAJAAAAAA | 186297.93 | 6464.19  | -7227.51  |
| catalog channel | catalog_pageAAAAAAAAAKAAAAAA | 260032.13 | 18551.35 | -15308.28 |
| catalog channel | catalog_pageAAAAAAAAAKCAAAAA | 8388.37   | 0.00     | 5181.61   |
| catalog channel | catalog_pageAAAAAAAAALAAAAAA | 238286.09 | 7201.68  | -14666.75 |
| catalog channel | catalog_pageAAAAAAAAALCAAAAA | 23695.96  | 1308.77  | -2523.09  |
| catalog channel | catalog_pageAAAAAAAAAMAAAAAA | 201513.34 | 23183.00 | -20348.72 |
| catalog channel | catalog_pageAAAAAAAAAMCAAAAA | 18659.86  | 0.00     | -2076.13  |
| catalog channel | catalog_pageAAAAAAAAANAAAAAA | 178938.50 | 7723.48  | -10763.91 |
| catalog channel | catalog_pageAAAAAAAAANCAAAAA | 1198.40   | 0.00     | -82.32    |
| catalog channel | catalog_pageAAAAAAAAAOAAAAAA | 88091.87  | 6036.30  | 871.77    |
| catalog channel | catalog_pageAAAAAAAAAOCAAAAA | 15423.10  | 182.88   | -2788.47  |
| catalog channel | catalog_pageAAAAAAAAAPAAAAAA | 132076.99 | 2421.93  | -13334.94 |
| catalog channel | catalog_pageAAAAAAAAAPCAAAAA | 2940.66   | 0.00     | -465.93   |
| catalog channel | catalog_pageAAAAAAAABABAAAAA | 55872.61  | 6140.00  | -7870.16  |
| catalog channel | catalog_pageAAAAAAAABADAAAAA | 18742.35  | 0.00     | 5332.13   |
| catalog channel | catalog_pageAAAAAAAABBBAAAAA | 139705.29 | 3809.21  | 1492.75   |
| catalog channel | catalog_pageAAAAAAAABBDAAAAA | 80709.17  | 7529.88  | -15261.55 |
| catalog channel | catalog_pageAAAAAAAABCBAAAAA | 122970.44 | 5569.20  | -13726.90 |
| catalog channel | catalog_pageAAAAAAAABCDAAAAA | 120986.04 | 2977.76  | 12570.57  |
| catalog channel | catalog_pageAAAAAAAABDBAAAAA | 88440.25  | 3846.88  | -16896.92 |
| catalog channel | catalog_pageAAAAAAAABDDAAAAA | 97088.94  | 1028.03  | -21693.82 |
| catalog channel | catalog_pageAAAAAAAABEBAAAAA | 136656.84 | 9500.40  | -33199.87 |
| catalog channel | catalog_pageAAAAAAAABEDAAAAA | 68012.20  | 3671.28  | -21528.38 |
| catalog channel | catalog_pageAAAAAAAABFDAAAAA | 69172.76  | 5756.31  | -9479.05  |
| catalog channel | catalog_pageAAAAAAAABGDAAAAA | 107935.99 | 6414.06  | -18790.62 |
| catalog channel | catalog_pageAAAAAAAABHAAAAAA | 178992.91 | 6529.19  | -27967.50 |
| catalog channel | catalog_pageAAAAAAAABHDAAAAA | 50453.72  | 6.30     | -22948.03 |
| catalog channel | catalog_pageAAAAAAAABIAAAAAA | 186568.21 | 6016.35  | -99073.40 |
| catalog channel | catalog_pageAAAAAAAABJAAAAAA | 246810.83 | 19070.37 | -36651.17 |
| catalog channel | catalog_pageAAAAAAAABKAAAAAA | 194862.40 | 11422.63 | -40595.47 |
| catalog channel | catalog_pageAAAAAAAABKCAAAAA | 13765.76  | 410.64   | -2076.44  |
| catalog channel | catalog_pageAAAAAAAABLAAAAAA | 170208.88 | 5638.19  | -23034.36 |
| catalog channel | catalog_pageAAAAAAAABLCAAAAA | 13733.71  | 0.00     | 4472.45   |
| catalog channel | catalog_pageAAAAAAAABMAAAAAA | 238213.49 | 7271.94  | -33685.97 |
| catalog channel | catalog_pageAAAAAAAABMCAAAAA | 6735.36   | 53.70    | -3275.17  |
| catalog channel | catalog_pageAAAAAAAABNAAAAAA | 203680.54 | 8615.77  | -29631.96 |
| catalog channel | catalog_pageAAAAAAAABNCAAAAA | 15694.33  | 0.00     | -14350.71 |
| catalog channel | catalog_pageAAAAAAAABOAAAAAA | 59765.67  | 4175.61  | -11462.93 |
| catalog channel | catalog_pageAAAAAAAABPAAAAAA | 61456.23  | 2421.28  | -34430.68 |
| catalog channel | catalog_pageAAAAAAAABPCAAAAA | 24055.56  | 0.00     | 4406.10   |
| catalog channel | catalog_pageAAAAAAAACABAAAAA | 145842.92 | 6516.85  | -1775.50  |
| catalog channel | catalog_pageAAAAAAAACADAAAAA | 1923.50   | 1538.80  | 514.34    |
| catalog channel | catalog_pageAAAAAAAACBBAAAAA | 58690.65  | 215.52   | -26721.73 |
| catalog channel | catalog_pageAAAAAAAACBDAAAAA | 58112.94  | 12881.22 | -31572.07 |
| catalog channel | catalog_pageAAAAAAAACCBAAAAA | 118230.34 | 950.95   | 7475.69   |
| catalog channel | catalog_pageAAAAAAAACCDAAAAA | 75130.68  | 3044.24  | -10674.61 |
| catalog channel | catalog_pageAAAAAAAACDBAAAAA | 97442.14  | 5701.59  | -1276.94  |
| catalog channel | catalog_pageAAAAAAAACDDAAAAA | 103260.62 | 15438.72 | -43046.89 |
