+----------------+-----------+-------+---------------+---------------+----------------+-----------+-------+---------------+---------------+
| w_warehouse_sk | i_item_sk | d_moy | mean          | cov           | w_warehouse_sk | i_item_sk | d_moy | mean          | cov           |
+----------------+-----------+-------+---------------+---------------+----------------+-----------+-------+---------------+---------------+
| 1              | 145       | 4     | 268.2         | 1.08380738436 | 1              | 145       | 5     | 213.5         | 1.16380954852 |
| 1              | 748       | 4     | 355.8         | 1.12818023356 | 1              | 748       | 5     | 485.5         | 1.04678785885 |
| 1              | 841       | 4     | 411.25        | 1.00666612805 | 1              | 841       | 5     | 347.25        | 1.00012032871 |
| 1              | 1456      | 4     | 449.25        | 1.04029943866 | 1              | 1456      | 5     | 285.75        | 1.37516444967 |
| 1              | 1580      | 4     | 392.4         | 1.08143065868 | 1              | 1580      | 5     | 123.5         | 1.04777765957 |
| 1              | 2683      | 4     | 242.4         | 1.4095563331  | 1              | 2683      | 5     | 348.0         | 1.00583743437 |
| 1              | 3032      | 4     | 392.4         | 1.01197240774 | 1              | 3032      | 5     | 356.5         | 1.19602701285 |
| 1              | 3394      | 4     | 319.8         | 1.15214668644 | 1              | 3394      | 5     | 383.5         | 1.02530029181 |
| 1              | 3638      | 4     | 365.0         | 1.07666527138 | 1              | 3638      | 5     | 270.25        | 1.03235477104 |
| 1              | 4556      | 4     | 245.0         | 1.02731269487 | 1              | 4556      | 5     | 177.5         | 1.42410455897 |
| 1              | 4687      | 4     | 231.2         | 1.13592794519 | 1              | 4687      | 5     | 404.5         | 1.03101498408 |
| 1              | 5350      | 4     | 323.25        | 1.30521342388 | 1              | 5350      | 5     | 443.0         | 1.02731539831 |
| 1              | 5978      | 4     | 283.2         | 1.1518159155  | 1              | 5978      | 5     | 297.75        | 1.03954944438 |
| 1              | 6172      | 4     | 396.0         | 1.0183157129  | 1              | 6172      | 5     | 369.666666667 | 1.31895006775 |
| 1              | 6932      | 4     | 191.25        | 1.16290508733 | 1              | 6932      | 5     | 296.0         | 1.40656083395 |
| 1              | 7250      | 4     | 296.2         | 1.01261363901 | 1              | 7250      | 5     | 332.5         | 1.04107801974 |
| 1              | 7394      | 4     | 365.0         | 1.01082153724 | 1              | 7394      | 5     | 149.666666667 | 1.14568654342 |
| 1              | 7478      | 4     | 388.25        | 1.03216046746 | 1              | 7478      | 5     | 291.666666667 | 1.39313676314 |
| 1              | 7864      | 4     | 258.25        | 1.18072933601 | 1              | 7864      | 5     | 373.75        | 1.12391435801 |
| 1              | 8672      | 4     | 341.8         | 1.15606572603 | 1              | 8672      | 5     | 231.5         | 1.04238014104 |
| 1              | 8680      | 4     | 291.25        | 1.11071900015 | 1              | 8680      | 5     | 213.666666667 | 1.203575758   |
| 1              | 9050      | 4     | 314.0         | 1.1627678857  | 1              | 9050      | 5     | 229.75        | 1.30863365689 |
| 1              | 9199      | 4     | 363.0         | 1.24136095186 | 1              | 9199      | 5     | 372.5         | 1.06382931189 |
| 1              | 9316      | 4     | 286.25        | 1.14547292002 | 1              | 9316      | 5     | 335.666666667 | 1.34000758579 |
| 1              | 10078     | 4     | 407.6         | 1.06761269991 | 1              | 10078     | 5     | 317.666666667 | 1.60395687429 |
| 1              | 10891     | 4     | 262.4         | 1.07088279012 | 1              | 10891     | 5     | 374.25        | 1.20398397007 |
| 1              | 11305     | 4     | 163.8         | 1.059041728   | 1              | 11305     | 5     | 382.333333333 | 1.18480497134 |
| 1              | 12352     | 4     | 377.0         | 1.15915018199 | 1              | 12352     | 5     | 212.0         | 1.21309285724 |
| 1              | 12980     | 4     | 362.5         | 1.12667621195 | 1              | 12980     | 5     | 292.5         | 1.29670035342 |
| 1              | 17324     | 4     | 285.8         | 1.04790904097 | 1              | 17324     | 5     | 252.5         | 1.13213077549 |
| 1              | 17440     | 4     | 288.0         | 1.03483582057 | 1              | 17440     | 5     | 370.333333333 | 1.07694857447 |
| 1              | 17986     | 4     | 286.2         | 1.11977512418 | 1              | 17986     | 5     | 319.25        | 1.1381837884  |
| 2              | 1762      | 4     | 245.75        | 1.57128646067 | 2              | 1762      | 5     | 375.0         | 1.03111647508 |
| 2              | 2078      | 4     | 310.4         | 1.25600045064 | 2              | 2078      | 5     | 350.0         | 1.0752073048  |
| 2              | 4093      | 4     | 329.4         | 1.15657992457 | 2              | 4093      | 5     | 304.25        | 1.18120088587 |
| 2              | 4750      | 4     | 386.8         | 1.1921547854  | 2              | 4750      | 5     | 362.25        | 1.05404420542 |
| 2              | 5060      | 4     | 346.6         | 1.15127800356 | 2              | 5060      | 5     | 374.333333333 | 1.34492545293 |
| 2              | 5422      | 4     | 324.4         | 1.04934736212 | 2              | 5422      | 5     | 291.0         | 1.32124216149 |
| 2              | 5995      | 4     | 140.5         | 1.26322990803 | 2              | 5995      | 5     | 265.0         | 1.24360092225 |
| 2              | 6248      | 4     | 316.25        | 1.04850110631 | 2              | 6248      | 5     | 411.0         | 1.02294388972 |
| 2              | 6830      | 4     | 375.25        | 1.08010896444 | 2              | 6830      | 5     | 271.0         | 1.06098667897 |
| 2              | 6853      | 4     | 320.8         | 1.00732436326 | 2              | 6853      | 5     | 312.5         | 1.21948832986 |
| 2              | 7627      | 4     | 391.0         | 1.17868874252 | 2              | 7627      | 5     | 382.75        | 1.05528723902 |
| 2              | 7796      | 4     | 212.75        | 1.2876928656  | 2              | 7796      | 5     | 232.25        | 1.00805236364 |
| 2              | 8332      | 4     | 337.0         | 1.09559461215 | 2              | 8332      | 5     | 372.5         | 1.15345159426 |
| 2              | 9433      | 4     | 144.0         | 1.06916257108 | 2              | 9433      | 5     | 369.5         | 1.07144855199 |
| 2              | 10034     | 4     | 320.5         | 1.27210438494 | 2              | 10034     | 5     | 126.25        | 1.51050391035 |
| 2              | 10207     | 4     | 343.6         | 1.05276165313 | 2              | 10207     | 5     | 498.0         | 1.0002056207  |
| 2              | 10310     | 4     | 307.0         | 1.02410236964 | 2              | 10310     | 5     | 379.0         | 1.13896795399 |
| 2              | 11053     | 4     | 455.6         | 1.01198057006 | 2              | 11053     | 5     | 317.75        | 1.05029678521 |
| 2              | 11446     | 4     | 307.8         | 1.05063022186 | 2              | 11446     | 5     | 372.75        | 1.01910963053 |
