+-----------------+------------------------------+------------+-----------+------------+
| channel         | id                           | sales      | returns   | profit     |
+-----------------+------------------------------+------------+-----------+------------+
| catalog channel | catalog_pageAAAAAAAAAABAAAAA | 2156658.63 | 24423.53  | -276107.08 |
| catalog channel | catalog_pageAAAAAAAAAACAAAAA | 0.00       | 5163.95   | -3551.53   |
| catalog channel | catalog_pageAAAAAAAAAADAAAAA | 1752916.26 | 0.00      | -241592.22 |
| catalog channel | catalog_pageAAAAAAAAABAAAAAA | 0.00       | 123476.83 | -67586.19  |
| catalog channel | catalog_pageAAAAAAAAABBAAAAA | 2164443.07 | 4643.39   | -224375.95 |
| catalog channel | catalog_pageAAAAAAAAABCAAAAA | 0.00       | 6607.82   | -5315.36   |
| catalog channel | catalog_pageAAAAAAAAABDAAAAA | 1724619.29 | 0.00      | -188486.54 |
| catalog channel | catalog_pageAAAAAAAAACAAAAAA | 0.00       | 67147.29  | -39693.72  |
| catalog channel | catalog_pageAAAAAAAAACBAAAAA | 2245290.26 | 7218.50   | -262933.08 |
| catalog channel | catalog_pageAAAAAAAAACDAAAAA | 1905906.13 | 0.00      | -175641.24 |
| catalog channel | catalog_pageAAAAAAAAADAAAAAA | 0.00       | 130442.88 | -90776.10  |
| catalog channel | catalog_pageAAAAAAAAADBAAAAA | 2350768.41 | 20468.81  | -255753.71 |
| catalog channel | catalog_pageAAAAAAAAADCAAAAA | 0.00       | 2662.13   | -2570.90   |
| catalog channel | catalog_pageAAAAAAAAADDAAAAA | 1810879.17 | 0.00      | -143621.26 |
| catalog channel | catalog_pageAAAAAAAAAEAAAAAA | 0.00       | 152282.32 | -86710.66  |
| catalog channel | catalog_pageAAAAAAAAAEBAAAAA | 2270970.21 | 17990.29  | -298122.47 |
| catalog channel | catalog_pageAAAAAAAAAECAAAAA | 0.00       | 8146.70   | -4454.91   |
| catalog channel | catalog_pageAAAAAAAAAEDAAAAA | 1701798.71 | 0.00      | -274021.39 |
| catalog channel | catalog_pageAAAAAAAAAFAAAAAA | 0.00       | 87785.11  | -56650.06  |
| catalog channel | catalog_pageAAAAAAAAAFBAAAAA | 0.00       | 4403.22   | -3494.49   |
| catalog channel | catalog_pageAAAAAAAAAFCAAAAA | 0.00       | 1464.97   | -475.94    |
| catalog channel | catalog_pageAAAAAAAAAFDAAAAA | 1895074.24 | 0.00      | -146753.22 |
| catalog channel | catalog_pageAAAAAAAAAGAAAAAA | 0.00       | 96901.82  | -74161.95  |
| catalog channel | catalog_pageAAAAAAAAAGBAAAAA | 0.00       | 7944.57   | -2263.52   |
| catalog channel | catalog_pageAAAAAAAAAGCAAAAA | 0.00       | 5267.37   | -2928.15   |
| catalog channel | catalog_pageAAAAAAAAAGDAAAAA | 1873824.75 | 0.00      | -169472.82 |
| catalog channel | catalog_pageAAAAAAAAAHAAAAAA | 4294020.74 | 35422.02  | -637521.56 |
| catalog channel | catalog_pageAAAAAAAAAHBAAAAA | 0.00       | 18239.20  | -10315.31  |
| catalog channel | catalog_pageAAAAAAAAAHCAAAAA | 0.00       | 812.59    | -554.53    |
| catalog channel | catalog_pageAAAAAAAAAIAAAAAA | 4831960.50 | 47742.61  | -311540.52 |
| catalog channel | catalog_pageAAAAAAAAAIBAAAAA | 0.00       | 1120.03   | -901.96    |
| catalog channel | catalog_pageAAAAAAAAAICAAAAA | 0.00       | 5436.03   | -2805.47   |
| catalog channel | catalog_pageAAAAAAAAAJAAAAAA | 4695039.20 | 38107.09  | -317513.49 |
| catalog channel | catalog_pageAAAAAAAAAJBAAAAA | 0.00       | 6689.57   | -4579.91   |
| catalog channel | catalog_pageAAAAAAAAAJCAAAAA | 468679.79  | 3501.96   | -52716.72  |
| catalog channel | catalog_pageAAAAAAAAAKAAAAAA | 4514171.42 | 36643.95  | -503691.77 |
| catalog channel | catalog_pageAAAAAAAAAKBAAAAA | 0.00       | 1107.25   | -614.06    |
| catalog channel | catalog_pageAAAAAAAAAKCAAAAA | 462499.13  | 3962.16   | -16867.87  |
| catalog channel | catalog_pageAAAAAAAAALAAAAAA | 4358710.33 | 24722.26  | -437811.64 |
| catalog channel | catalog_pageAAAAAAAAALBAAAAA | 0.00       | 4416.73   | -2268.29   |
| catalog channel | catalog_pageAAAAAAAAALCAAAAA | 444414.57  | 686.50    | -60477.35  |
| catalog channel | catalog_pageAAAAAAAAAMAAAAAA | 4586997.68 | 23113.03  | -408470.11 |
| catalog channel | catalog_pageAAAAAAAAAMBAAAAA | 0.00       | 7328.35   | -3506.79   |
| catalog channel | catalog_pageAAAAAAAAAMCAAAAA | 417714.81  | 550.48    | -28373.30  |
| catalog channel | catalog_pageAAAAAAAAANAAAAAA | 5058096.58 | 30242.57  | -431507.74 |
| catalog channel | catalog_pageAAAAAAAAANBAAAAA | 0.00       | 6089.83   | -2230.41   |
| catalog channel | catalog_pageAAAAAAAAANCAAAAA | 572612.74  | 375.06    | -29417.01  |
| catalog channel | catalog_pageAAAAAAAAAOAAAAAA | 2344752.50 | 10301.65  | -306020.33 |
| catalog channel | catalog_pageAAAAAAAAAOBAAAAA | 0.00       | 1138.84   | -611.77    |
| catalog channel | catalog_pageAAAAAAAAAOCAAAAA | 444893.96  | 298.44    | -29527.37  |
| catalog channel | catalog_pageAAAAAAAAAPAAAAAA | 2477410.52 | 13301.51  | -248023.71 |
