+--------------+--------------+-----------------+-----------------+-----------------+----------------+-------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
| s_store_name | s_company_id | s_street_number | s_street_name   | s_street_type   | s_suite_number | s_city      | s_county          | s_state | s_zip      | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
+--------------+--------------+-----------------+-----------------+-----------------+----------------+-------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
| able         | 1            | 228             | Cherry          | Avenue          | Suite G        | Fairview    | Ziebach County    | SD      | 55709      | 476     | 407        | 269        | 228         | 474       |
| able         | 1            | 255             | Sycamore        | Dr.             | Suite 410      | Midway      | Ziebach County    | SD      | 51904      | 467     | 375        | 235        | 233         | 526       |
| able         | 1            | 302             | Walnut Madison  | Wy              | Suite T        | Fairview    | Ziebach County    | SD      | 55709      | 519     | 390        | 211        | 252         | 520       |
| able         | 1            | 479             | Park First      | Lane            | Suite 20       | Oak Grove   | Williamson County | TN      | 38370      | 532     | 412        | 249        | 274         | 496       |
| able         | 1            | 722             | Railroad Spring | Ct.             | Suite M        | Five Points | Ziebach County    | SD      | 56098      | 545     | 367        | 244        | 243         | 495       |
| anti         | 1            | 321             | 11th            | Parkway         | Suite G        | Oak Grove   | Williamson County | TN      | 38370      | 512     | 386        | 221        | 233         | 493       |
| anti         | 1            | 735             | Walnut          | Blvd            | Suite 360      | Fairview    | Williamson County | TN      | 35709      | 510     | 414        | 249        | 235         | 464       |
| ation        | 1            | 213             | 8th             | Road            | Suite 490      | Oak Grove   | Ziebach County    | SD      | 58370      | 515     | 411        | 235        | 237         | 530       |
| ation        | 1            | 811             | Lee             | Circle          | Suite T        | Midway      | Williamson County | TN      | 31904      | 552     | 422        | 221        | 242         | 512       |
| bar          | 1            | 175             | 4th             | Court           | Suite C        | Oak Grove   | Williamson County | TN      | 38370      | 491     | 374        | 259        | 280         | 525       |
| bar          | 1            | 200             | Lake            | RD              | Suite 320      | Midway      | Ziebach County    | SD      | 51904      | 514     | 409        | 254        | 269         | 515       |
| bar          | 1            | 543             | Twelfth         | Avenue          | Suite L        | Midway      | Williamson County | TN      | 31904      | 491     | 424        | 256        | 259         | 488       |
| bar          | 1            | 818             | 1st Elm         | Road            | Suite 220      | Oak Grove   | Ziebach County    | SD      | 58370      | 533     | 407        | 219        | 245         | 499       |
| cally        | 1            | 392             | 15th            | Dr.             | Suite W        | Midway      | Williamson County | TN      | 31904      | 482     | 413        | 263        | 232         | 498       |
| cally        | 1            | 496             | 3rd             | Ct.             | Suite E        | Five Points | Williamson County | TN      | 36098      | 502     | 400        | 240        | 256         | 487       |
| cally        | 1            | 588             | View Mill       | Court           | Suite 160      | Oak Grove   | Ziebach County    | SD      | 58370      | 541     | 402        | 234        | 255         | 527       |
| cally        | NULL         | 688             | NULL            | Avenue          | Suite 50       | NULL        | NULL              | SD      | NULL       | 536     | 394        | 242        | 294         | 513       |
| eing         | 1            | 226             | 12th            | Lane            | Suite D        | Fairview    | Ziebach County    | SD      | 55709      | 489     | 397        | 238        | 238         | 489       |
| eing         | 1            | 293             | Center Main     | Lane            | Suite 200      | Five Points | Ziebach County    | SD      | 56098      | 519     | 430        | 272        | 246         | 513       |
| eing         | 1            | 317             | Poplar 9th      | Pkwy            | Suite P        | Midway      | Williamson County | TN      | 31904      | 549     | 411        | 257        | 231         | 530       |
| eing         | 1            | 317             | Ridge Green     | Lane            | Suite A        | Midway      | Williamson County | TN      | 31904      | 500     | 409        | 254        | 246         | 497       |
| ese          | 1            | 27              | Lake            | Ln              | Suite 260      | Midway      | Williamson County | TN      | 31904      | 519     | 438        | 223        | 259         | 463       |
| ese          | 1            | 302             | Spruce          | Court           | Suite L        | Fairview    | Williamson County | TN      | 35709      | 551     | 399        | 250        | 268         | 511       |
| ese          | 1            | 313             | East            | Court           | Suite 300      | Five Points | Ziebach County    | SD      | 56098      | 494     | 356        | 260        | 203         | 532       |
| ese          | 1            | 408             | Washington 1st  | Circle          | Suite 390      | Midway      | Ziebach County    | SD      | 51904      | 497     | 425        | 243        | 224         | 509       |
| n st         | 1            | 240             | Willow          | RD              | Suite 280      | Five Points | Williamson County | TN      | 36098      | 525     | 426        | 234        | 249         | 488       |
| n st         | 1            | 495             | Valley          | Lane            | Suite D        | Five Points | Ziebach County    | SD      | 56098      | 505     | 427        | 260        | 242         | 509       |
| ought        | 1            | 602             | Chestnut 5th    | Boulevard       | Suite C        | Oak Grove   | Williamson County | TN      | 38370      | 487     | 431        | 229        | 270         | 480       |
| ought        | 1            | 75              | 2nd Oak         | Pkwy            | Suite C        | Five Points | Williamson County | TN      | 36098      | 488     | 404        | 221        | 262         | 482       |
| ought        | 1            | 767             | Spring          | Wy              | Suite 250      | Midway      | Williamson County | TN      | 31904      | 524     | 386        | 254        | 257         | 506       |
| pri          | 1            | 84              | First           | Cir.            | Suite 180      | Oak Grove   | Williamson County | TN      | 38370      | 495     | 374        | 260        | 238         | 509       |
| pri          | 1            | 872             | Washington      | Pkwy            | Suite 70       | Oak Grove   | Ziebach County    | SD      | 58370      | 536     | 391        | 212        | 263         | 513       |
+--------------+--------------+-----------------+-----------------+-----------------+----------------+-------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
