+---------------------------------+--------------------------------+---------------+---------+------------+------------+-------------+-----------+
| substr(w_warehouse_name, 1, 20) | sm_type                        | cc_name       | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
+---------------------------------+--------------------------------+---------------+---------+------------+------------+-------------+-----------+
| Bad cards must make.            | EXPRESS                        | Mid Atlantic  | 30895   | 31514      | 31916      | 0           | 0         |
| Bad cards must make.            | EXPRESS                        | NY Metro      | 30877   | 31691      | 31913      | 0           | 0         |
| Bad cards must make.            | EXPRESS                        | North Midwest | 30676   | 32278      | 32009      | 0           | 0         |
| Bad cards must make.            | LIBRARY                        | Mid Atlantic  | 23135   | 23645      | 24049      | 0           | 0         |
| Bad cards must make.            | LIBRARY                        | NY Metro      | 23234   | 23885      | 24005      | 0           | 0         |
| Bad cards must make.            | LIBRARY                        | North Midwest | 23474   | 23941      | 24186      | 0           | 0         |
| Bad cards must make.            | NEXT DAY                       | Mid Atlantic  | 30541   | 31877      | 31458      | 0           | 0         |
| Bad cards must make.            | NEXT DAY                       | NY Metro      | 30663   | 32029      | 31973      | 0           | 0         |
| Bad cards must make.            | NEXT DAY                       | North Midwest | 30981   | 31905      | 32096      | 0           | 0         |
| Bad cards must make.            | OVERNIGHT                      | Mid Atlantic  | 23197   | 24140      | 23758      | 0           | 0         |
| Bad cards must make.            | OVERNIGHT                      | NY Metro      | 23152   | 23912      | 23928      | 0           | 0         |
| Bad cards must make.            | OVERNIGHT                      | North Midwest | 23284   | 23865      | 23838      | 0           | 0         |
| Bad cards must make.            | REGULAR                        | Mid Atlantic  | 22791   | 23774      | 23794      | 0           | 0         |
| Bad cards must make.            | REGULAR                        | NY Metro      | 22719   | 23862      | 23805      | 0           | 0         |
| Bad cards must make.            | REGULAR                        | North Midwest | 23434   | 23899      | 24198      | 0           | 0         |
| Bad cards must make.            | TWO DAY                        | Mid Atlantic  | 23253   | 23779      | 24243      | 0           | 0         |
| Bad cards must make.            | TWO DAY                        | NY Metro      | 22926   | 24221      | 23995      | 0           | 0         |
| Bad cards must make.            | TWO DAY                        | North Midwest | 23179   | 24261      | 24074      | 0           | 0         |
