+------------+---------------------+
| ca_zip     | sum(cs_sales_price) |
+------------+---------------------+
| 30001      | 944.22              |
| 30008      | 1283.84             |
| 30026      | 759.97              |
| 30056      | 749.13              |
| 30059      | 37697.99            |
| 30069      | 48686.79            |
| 30116      | 1869.08             |
| 30125      | 776.05              |
| 30141      | 1014.80             |
| 30150      | 48408.66            |
| 30162      | 49834.63            |
| 30164      | 1316.05             |
| 30169      | 39289.75            |
| 30191      | 38582.71            |
| 30194      | 3372.36             |
| 30216      | 2325.66             |
| 30262      | 2151.06             |
| 30268      | 3369.30             |
| 30296      | 1675.77             |
| 30302      | 4174.39             |
| 30309      | 4209.01             |
| 30319      | 1925.58             |
| 30330      | 347.51              |
| 30344      | 715.16              |
| 30369      | 3563.72             |
| 30399      | 50791.08            |
| 30408      | 3787.57             |
| 30411      | 41492.87            |
| 30418      | 2529.35             |
| 30419      | 538.01              |
| 30428      | 401.27              |
| 30451      | 1387.39             |
| 30492      | 1425.36             |
| 30499      | 44274.38            |
| 30519      | 1411.12             |
| 30525      | 1131.74             |
| 30534      | 45802.61            |
| 30540      | 1536.51             |
| 30573      | 334.60              |
| 30587      | 60534.16            |
| 30589      | 2217.56             |
| 30618      | 2967.35             |
| 30631      | 3959.51             |
| 30634      | 3268.01             |
| 30635      | 1895.83             |
| 30636      | 564.10              |
| 30689      | 679.26              |
| 30725      | 3873.60             |
| 30732      | 872.78              |
| 30744      | 461.37              |
| 30766      | 2790.07             |
| 30852      | 1940.51             |
| 30854      | 665.33              |
| 30875      | 755.31              |
| 30894      | 2068.91             |
| 30899      | 4591.97             |
| 30913      | 1018.75             |
| 30919      | 5540.85             |
| 30965      | 4885.43             |
| 31075      | 1137.11             |
| 31083      | 3034.91             |
| 31087      | 29877.95            |
| 31104      | 525.41              |
| 31143      | 1325.97             |
| 31147      | 2602.15             |
| 31160      | 5727.76             |
| 31204      | 3989.49             |
| 31206      | 1261.38             |
| 31209      | 598.18              |
| 31216      | 2061.34             |
| 31218      | 3406.82             |
| 31229      | 3056.55             |
| 31289      | 41461.84            |
| 31294      | 472.86              |
| 31383      | 343.81              |
| 31387      | 33783.01            |
| 31398      | 1581.00             |
| 31409      | 501.23              |
| 31422      | 504.70              |
| 31423      | 479.57              |
| 31425      | 2144.15             |
| 31453      | 450.29              |
| 31513      | 674.81              |
| 31521      | 50360.22            |
| 31523      | 354.49              |
| 31529      | 2448.57             |
| 31545      | 1406.48             |
| 31639      | 2622.14             |
| 31654      | 924.87              |
| 31669      | 2249.33             |
| 31675      | 32609.07            |
| 31692      | 2097.88             |
| 31711      | 50974.92            |
| 31715      | 408.28              |
| 31732      | 5752.76             |
| 31749      | 42970.48            |
| 31757      | 47567.01            |
| 31821      | 1821.99             |
| 31824      | 2440.31             |
| 31830      | 517.47              |
+------------+---------------------+
