+---------+-------+------------------------+-------------+---------------+
| channel | item  | return_ratio           | return_rank | currency_rank |
+---------+-------+------------------------+-------------+---------------+
| catalog | 48401 | 0.00000000000000000000 | 1           | 103           |
| catalog | 58646 | 0.00000000000000000000 | 1           | 179           |
| catalog | 48181 | 0.00000000000000000000 | 1           | 424           |
| catalog | 51365 | 0.00000000000000000000 | 1           | 578           |
| catalog | 23941 | 0.00000000000000000000 | 1           | 617           |
| catalog | 22871 | 0.00000000000000000000 | 1           | 650           |
| catalog | 29081 | 0.00000000000000000000 | 1           | 745           |
| catalog | 2501  | 0.00000000000000000000 | 1           | 857           |
| catalog | 59981 | 0.00000000000000000000 | 1           | 907           |
| catalog | 35209 | 0.00000000000000000000 | 1           | 1262          |
| catalog | 22885 | 0.00000000000000000000 | 1           | 1290          |
| catalog | 27812 | 0.00000000000000000000 | 1           | 1383          |
| catalog | 7387  | 0.00000000000000000000 | 1           | 1391          |
| catalog | 8030  | 0.00000000000000000000 | 1           | 1399          |
| catalog | 22976 | 0.00000000000000000000 | 1           | 1491          |
| catalog | 23600 | 0.00000000000000000000 | 1           | 1513          |
| catalog | 37585 | 0.00000000000000000000 | 1           | 1666          |
| catalog | 1547  | 0.00000000000000000000 | 1           | 1751          |
| catalog | 39182 | 0.00000000000000000000 | 1           | 1753          |
| catalog | 46115 | 0.41935483870967741935 | 22          | 1             |
| catalog | 48086 | 0.42222222222222222222 | 23          | 2             |
| catalog | 31021 | 0.43877551020408163265 | 24          | 3             |
| catalog | 5135  | 0.44444444444444444444 | 25          | 4             |
| catalog | 26174 | 0.45360824742268041237 | 27          | 5             |
| catalog | 55976 | 0.45833333333333333333 | 28          | 6             |
| catalog | 39605 | 0.46000000000000000000 | 29          | 7             |
| catalog | 14455 | 0.46236559139784946237 | 31          | 8             |
| catalog | 22339 | 0.46511627906976744186 | 32          | 9             |
| catalog | 55373 | 0.48148148148148148148 | 33          | 10            |
| store   | 5222  | 0.00000000000000000000 | 1           | 18            |
| store   | 30517 | 0.00000000000000000000 | 1           | 21            |
| store   | 34969 | 0.00000000000000000000 | 1           | 120           |
| store   | 55544 | 0.00000000000000000000 | 1           | 188           |
| store   | 13001 | 0.00000000000000000000 | 1           | 266           |
| store   | 52057 | 0.00000000000000000000 | 1           | 301           |
| store   | 30812 | 0.00000000000000000000 | 1           | 445           |
| store   | 45937 | 0.00000000000000000000 | 1           | 489           |
| store   | 47372 | 0.00000000000000000000 | 1           | 524           |
| store   | 17977 | 0.00000000000000000000 | 1           | 543           |
| store   | 58445 | 0.00000000000000000000 | 1           | 559           |
| store   | 14125 | 0.60416666666666666667 | 13          | 1             |
| store   | 36761 | 0.63829787234042553191 | 14          | 2             |
| store   | 34994 | 0.64646464646464646465 | 15          | 3             |
| store   | 3374  | 0.67010309278350515464 | 16          | 4             |
| store   | 806   | 0.67676767676767676768 | 17          | 5             |
| store   | 21824 | 0.68041237113402061856 | 18          | 6             |
| store   | 38941 | 0.68235294117647058824 | 19          | 7             |
| store   | 50381 | 0.68604651162790697674 | 20          | 8             |
| store   | 12521 | 0.68686868686868686869 | 21          | 9             |
| store   | 29665 | 0.69387755102040816327 | 22          | 10            |
| web     | 16447 | 0.00000000000000000000 | 1           | 38            |
| web     | 9878  | 0.00000000000000000000 | 1           | 63            |
| web     | 28310 | 0.00000000000000000000 | 1           | 156           |
| web     | 1082  | 0.00000000000000000000 | 1           | 174           |
| web     | 2369  | 0.00000000000000000000 | 1           | 277           |
| web     | 23323 | 0.00000000000000000000 | 1           | 296           |
| web     | 40411 | 0.00000000000000000000 | 1           | 355           |
| web     | 36581 | 0.00000000000000000000 | 1           | 449           |
| web     | 13148 | 0.00000000000000000000 | 1           | 474           |
| web     | 14666 | 0.00000000000000000000 | 1           | 486           |
| web     | 26893 | 0.00000000000000000000 | 1           | 486           |
| web     | 4555  | 0.00000000000000000000 | 1           | 498           |
| web     | 46838 | 0.00000000000000000000 | 1           | 551           |
| web     | 545   | 0.00000000000000000000 | 1           | 774           |
| web     | 34207 | 0.00000000000000000000 | 1           | 793           |
| web     | 22646 | 0.00000000000000000000 | 1           | 809           |
| web     | 45653 | 0.00000000000000000000 | 1           | 809           |
| web     | 38006 | 0.00000000000000000000 | 1           | 888           |
| web     | 30271 | 0.47916666666666666667 | 19          | 1             |
| web     | 12524 | 0.48387096774193548387 | 20          | 2             |
| web     | 50647 | 0.50000000000000000000 | 21          | 3             |
| web     | 40127 | 0.50515463917525773196 | 22          | 4             |
| web     | 15751 | 0.51020408163265306122 | 23          | 5             |
| web     | 35521 | 0.52040816326530612245 | 24          | 6             |
| web     | 13261 | 0.52747252747252747253 | 25          | 7             |
| web     | 9991  | 0.52873563218390804598 | 26          | 8             |
| web     | 57401 | 0.53086419753086419753 | 27          | 9             |
| web     | 5936  | 0.53260869565217391304 | 28          | 10            |
+---------+-------+------------------------+-------------+---------------+
