+--------+----------+----------------------------------------------------+------------+
| d_year | brand_id | brand                                              | ext_price  |
+--------+----------+----------------------------------------------------+------------+
| 1998   | 4004001  | edu packedu pack #1                                | 3462154.75 |
| 1998   | 1002001  | importoamalg #1                                    | 3321848.90 |
| 1998   | 4003001  | exportiedu pack #1                                 | 3180164.78 |
| 1998   | 3002001  | importoexporti #1                                  | 3116990.82 |
| 1998   | 2002001  | importoimporto #1                                  | 2991458.31 |
| 1998   | 1001001  | amalgamalg #1                                      | 2905445.06 |
| 1998   | 4004002  | edu packedu pack #2                                | 2825076.22 |
| 1998   | 4002001  | importoedu pack #1                                 | 2672906.88 |
| 1998   | 1004002  | edu packamalg #2                                   | 2611236.58 |
| 1998   | 3003001  | exportiexporti #1                                  | 2566218.58 |
| 1998   | 5003001  | exportischolar #1                                  | 2482267.96 |
| 1998   | 2004002  | edu packimporto #2                                 | 2401414.20 |
| 1998   | 2001001  | amalgimporto #1                                    | 2388286.81 |
| 1998   | 3004001  | edu packexporti #1                                 | 2296997.25 |
| 1998   | 4001001  | amalgedu pack #1                                   | 2296659.46 |
| 1998   | 5003002  | exportischolar #2                                  | 2284379.76 |
| 1998   | 1003001  | exportiamalg #1                                    | 2238854.69 |
| 1998   | 2001002  | amalgimporto #2                                    | 2205796.65 |
| 1998   | 3001001  | amalgexporti #1                                    | 2121742.33 |
| 1998   | 1004001  | edu packamalg #1                                   | 2040810.00 |
| 1998   | 3003002  | exportiexporti #2                                  | 1923720.69 |
| 1998   | 1001002  | amalgamalg #2                                      | 1896603.59 |
| 1998   | 5001001  | amalgscholar #1                                    | 1835125.50 |
| 1998   | 2003002  | exportiimporto #2                                  | 1820662.33 |
| 1998   | 5001002  | amalgscholar #2                                    | 1819855.03 |
| 1998   | 5004002  | edu packscholar #2                                 | 1784938.18 |
| 1998   | 5004001  | edu packscholar #1                                 | 1729659.93 |
| 1998   | 3001002  | amalgexporti #2                                    | 1695593.92 |
| 1998   | 4001002  | amalgedu pack #2                                   | 1685168.26 |
| 1998   | 4002002  | importoedu pack #2                                 | 1681558.22 |
| 1998   | 1003002  | exportiamalg #2                                    | 1661398.84 |
| 1998   | 3004002  | edu packexporti #2                                 | 1596307.33 |
| 1998   | 3002002  | importoexporti #2                                  | 1394535.33 |
| 1998   | 2003001  | exportiimporto #1                                  | 1392428.01 |
| 1998   | 2004001  | edu packimporto #1                                 | 1367400.87 |
| 1998   | 1002002  | importoamalg #2                                    | 1363799.36 |
| 1998   | 5002001  | importoscholar #1                                  | 1129486.27 |
| 1998   | 5002002  | importoscholar #2                                  | 1073266.36 |
| 1998   | 10016001 | corpamalgamalg #1                                  | 928242.57  |
| 1998   | 9010009  | univunivamalg #9                                   | 868318.79  |
| 1998   | 7009005  | maxibrand #5                                       | 866168.80  |
| 1998   | 7001005  | amalgbrand #5                                      | 859934.80  |
| 1998   | 6005001  | scholarcorp #1                                     | 852864.41  |
| 1998   | 8008003  | namelessnameless #3                                | 851047.78  |
| 1998   | 9011008  | amalgunivamalg #8                                  | 824277.69  |
| 1998   | 6016003  | corpbrand #3                                       | 818956.75  |
| 1998   | 9011009  | amalgunivamalg #9                                  | 792528.20  |
| 1998   | 8004003  | edu packnameless #3                                | 774756.83  |
| 1998   | 2002002  | importoimporto #2                                  | 774722.93  |
| 1998   | 6008005  | namelesscorp #5                                    | 649113.67  |
| 1998   | 9006011  | corpmaxi #11                                       | 646725.18  |
| 1998   | 7009010  | maxibrand #10                                      | 620419.85  |
| 1998   | 6014002  | edu packbrand #2                                   | 616598.71  |
| 1998   | 6012001  | importobrand #1                                    | 615570.40  |
| 1998   | 10016003 | corpamalgamalg #3                                  | 605064.88  |
