+-------------------+--------+-------+-------------------+-----------+-----------+-----------+
| cc_name           | d_year | d_moy | avg_monthly_sales | sum_sales | psum      | nsum      |
+-------------------+--------+-------+-------------------+-----------+-----------+-----------+
| NY Metro          | 2000   | 2     | 207356.581667     | 105778.61 | 123511.38 | 121659.52 |
| NY Metro          | 2000   | 6     | 220895.506667     | 119727.94 | 131341.25 | 121821.09 |
| Pacific Northwest | 2000   | 2     | 220375.385000     | 119211.28 | 121595.66 | 133137.01 |
| NY Metro          | 2000   | 6     | 204550.249167     | 105300.10 | 117574.41 | 114698.27 |
| NY Metro          | 2000   | 7     | 220895.506667     | 121821.09 | 119727.94 | 293792.07 |
| California        | 2000   | 2     | 220461.941667     | 121525.09 | 123804.39 | 132834.55 |
| Pacific Northwest | 2000   | 1     | 220375.385000     | 121595.66 | 237102.76 | 119211.28 |
| Pacific Northwest | 2000   | 7     | 220375.385000     | 121714.12 | 123137.13 | 300431.02 |
| NY Metro          | 2000   | 2     | 220895.506667     | 122384.82 | 131812.02 | 127089.26 |
| North Midwest     | 2000   | 6     | 218611.426667     | 120611.27 | 124736.34 | 124489.50 |
| Mid Atlantic      | 2000   | 4     | 217548.199167     | 119638.86 | 123692.17 | 130472.41 |
| Mid Atlantic      | 2000   | 2     | 217548.199167     | 119831.44 | 127865.37 | 123692.17 |
| Pacific Northwest | 2000   | 2     | 205895.594167     | 108601.23 | 122775.21 | 116263.00 |
| Pacific Northwest | 2000   | 6     | 220375.385000     | 123137.13 | 129708.76 | 121714.12 |
| North Midwest     | 2000   | 2     | 201593.992500     | 104541.18 | 115924.38 | 116948.75 |
| California        | 2000   | 1     | 220461.941667     | 123804.39 | 232212.90 | 121525.09 |
| NY Metro          | 2000   | 4     | 220895.506667     | 124258.34 | 127089.26 | 131341.25 |
| Pacific Northwest | 2000   | 2     | 205529.306667     | 109021.96 | 122682.26 | 122944.24 |
| Mid Atlantic      | 2000   | 6     | 217548.199167     | 121098.78 | 130472.41 | 125148.39 |
| Mid Atlantic      | 2000   | 2     | 205468.493333     | 109521.31 | 118625.14 | 118856.34 |
| California        | 2000   | 3     | 206986.035833     | 111122.58 | 116974.18 | 119478.46 |
| Pacific Northwest | 2000   | 4     | 220375.385000     | 124530.31 | 133137.01 | 129708.76 |
| Pacific Northwest | 2000   | 2     | 206303.085000     | 110489.10 | 122510.86 | 126840.47 |
| NY Metro          | 2000   | 6     | 207356.581667     | 112023.34 | 133415.22 | 120133.42 |
| California        | 2000   | 6     | 205461.513333     | 110154.63 | 118339.67 | 125476.45 |
| Mid Atlantic      | 2000   | 2     | 199175.670833     | 103970.12 | 114535.14 | 116353.36 |
| Mid Atlantic      | 2000   | 2     | 202914.858333     | 107871.03 | 114831.66 | 124414.31 |
| North Midwest     | 2000   | 2     | 218611.426667     | 123721.46 | 125196.69 | 125528.38 |
| Pacific Northwest | 2000   | 2     | 207638.329167     | 112886.88 | 120042.89 | 122802.83 |
| North Midwest     | 2000   | 4     | 208338.755000     | 113835.07 | 123527.97 | 124547.59 |
| California        | 2000   | 4     | 220461.941667     | 125999.22 | 132834.55 | 132721.51 |
| Mid Atlantic      | 2000   | 5     | 207401.982500     | 113064.08 | 119901.10 | 117905.99 |
| Mid Atlantic      | 2000   | 2     | 197139.371667     | 102825.35 | 115907.89 | 117826.20 |
| NY Metro          | 2000   | 1     | 207716.515000     | 113535.41 | 211888.05 | 118730.37 |
| Mid Atlantic      | 2000   | 2     | 199167.126667     | 105016.47 | 115789.80 | 121248.81 |
| North Midwest     | 2000   | 7     | 218611.426667     | 124489.50 | 120611.27 | 290891.85 |
| North Midwest     | 2000   | 5     | 218611.426667     | 124736.34 | 128377.55 | 120611.27 |
| Mid Atlantic      | 2000   | 3     | 217548.199167     | 123692.17 | 119831.44 | 119638.86 |
| NY Metro          | 2000   | 3     | 220895.506667     | 127089.26 | 122384.82 | 124258.34 |
| Pacific Northwest | 2000   | 4     | 207638.329167     | 113880.23 | 122802.83 | 121239.39 |
| Pacific Northwest | 2000   | 6     | 207638.329167     | 113881.65 | 121239.39 | 124054.49 |
| NY Metro          | 2000   | 2     | 200777.282500     | 107080.14 | 117100.83 | 124116.78 |
| California        | 2000   | 2     | 207188.845000     | 113518.56 | 115393.99 | 117892.77 |
| Mid Atlantic      | 2000   | 2     | 205745.698333     | 112222.88 | 126719.73 | 117327.93 |
| North Midwest     | 2000   | 1     | 218611.426667     | 125196.69 | 242008.95 | 123721.46 |
| California        | 2000   | 6     | 220461.941667     | 127159.42 | 132721.51 | 135466.99 |
| California        | 2000   | 4     | 205461.513333     | 112194.99 | 123465.62 | 118339.67 |
| North Midwest     | 2000   | 2     | 195591.990000     | 102443.26 | 111015.18 | 119309.07 |
| North Midwest     | 2000   | 3     | 218611.426667     | 125528.38 | 123721.46 | 128377.55 |
| California        | 2000   | 2     | 198201.993333     | 105158.25 | 117297.54 | 120931.85 |
| NY Metro          | 2000   | 6     | 207230.539167     | 114204.88 | 117068.32 | 119945.27 |
| NY Metro          | 2000   | 2     | 207230.539167     | 114228.63 | 122141.25 | 119892.34 |
| Mid Atlantic      | 2000   | 2     | 199112.145000     | 106329.62 | 110785.25 | 118486.44 |
| Mid Atlantic      | 2000   | 2     | 197497.976667     | 104861.90 | 113040.62 | 120651.82 |
| North Midwest     | 2000   | 1     | 208338.755000     | 115706.58 | 238889.84 | 121127.10 |
| North Midwest     | 2000   | 4     | 205945.083333     | 113464.90 | 119550.87 | 121287.20 |
| Mid Atlantic      | 2000   | 7     | 217548.199167     | 125148.39 | 121098.78 | 295895.47 |
| NY Metro          | 2000   | 3     | 206107.181667     | 113773.80 | 117155.66 | 117044.44 |
| Pacific Northwest | 2000   | 4     | 199858.195000     | 107732.22 | 116452.66 | 114268.43 |
| Mid Atlantic      | 2000   | 4     | 205745.698333     | 113632.08 | 117327.93 | 115255.72 |
| North Midwest     | 2000   | 6     | 202611.941667     | 110537.69 | 119980.06 | 119191.96 |
| Pacific Northwest | 2000   | 2     | 202816.379167     | 110790.13 | 114375.61 | 117496.25 |
| NY Metro          | 2000   | 4     | 207356.581667     | 115454.88 | 121659.52 | 133415.22 |
| North Midwest     | 2000   | 2     | 205945.083333     | 114047.46 | 120715.49 | 119550.87 |
