+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+---------------+-----+
| i_category                                         | i_class                                            | i_brand                                            | i_product_name | d_year | d_qoy | d_moy | s_store_id | sumsales      | rk  |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+---------------+-----+
| Books                                              | arts                                               | amalgmaxi #10                                      | NULL           | NULL   | NULL  | NULL  | NULL       | 49835356.60   | 75  |
| Books                                              | arts                                               | amalgmaxi #12                                      | NULL           | NULL   | NULL  | NULL  | NULL       | 64687413.58   | 28  |
| Books                                              | arts                                               | amalgmaxi #2                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 61306297.67   | 33  |
| Books                                              | arts                                               | amalgmaxi #4                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 56095609.74   | 47  |
| Books                                              | arts                                               | amalgmaxi #6                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 42432413.37   | 96  |
| Books                                              | arts                                               | amalgmaxi #8                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 48938704.30   | 77  |
| Books                                              | arts                                               | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 323295795.26  | 7   |
| Books                                              | business                                           | importomaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 49835923.86   | 74  |
| Books                                              | business                                           | importomaxi #4                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 50782875.13   | 67  |
| Books                                              | business                                           | importomaxi #6                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 45593460.63   | 86  |
| Books                                              | business                                           | importomaxi #8                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 43807985.41   | 94  |
| Books                                              | business                                           | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 270038920.82  | 17  |
| Books                                              | computers                                          | exportimaxi #10                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 51122324.15   | 66  |
| Books                                              | computers                                          | exportimaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 48768935.19   | 80  |
| Books                                              | computers                                          | exportimaxi #2                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 56496523.80   | 46  |
| Books                                              | computers                                          | exportimaxi #4                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 51916735.76   | 63  |
| Books                                              | computers                                          | exportimaxi #6                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 45092693.31   | 87  |
| Books                                              | computers                                          | exportimaxi #8                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 59520017.13   | 35  |
| Books                                              | computers                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 312917229.34  | 9   |
| Books                                              | cooking                                            | amalgunivamalg #12                                 | NULL           | NULL   | NULL  | NULL  | NULL       | 46443152.19   | 85  |
| Books                                              | cooking                                            | amalgunivamalg #2                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 42634217.58   | 95  |
| Books                                              | cooking                                            | amalgunivamalg #4                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 68562733.13   | 20  |
| Books                                              | cooking                                            | amalgunivamalg #6                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 67514128.43   | 21  |
| Books                                              | cooking                                            | amalgunivamalg #8                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 48834437.66   | 79  |
| Books                                              | cooking                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 309175227.32  | 10  |
| Books                                              | entertainments                                     | edu packmaxi #10                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 63082177.38   | 29  |
| Books                                              | entertainments                                     | edu packmaxi #12                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 49630730.16   | 76  |
| Books                                              | entertainments                                     | edu packmaxi #2                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 56530809.54   | 45  |
| Books                                              | entertainments                                     | edu packmaxi #4                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 50320802.05   | 70  |
| Books                                              | entertainments                                     | edu packmaxi #8                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 49894255.79   | 73  |
| Books                                              | entertainments                                     | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 308881184.41  | 11  |
| Books                                              | fiction                                            | scholarunivamalg #10                               | NULL           | NULL   | NULL  | NULL  | NULL       | 41336615.41   | 99  |
| Books                                              | fiction                                            | scholarunivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 55005061.05   | 50  |
| Books                                              | fiction                                            | scholarunivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 72392535.12   | 18  |
| Books                                              | fiction                                            | scholarunivamalg #6                                | NULL           | NULL   | NULL  | NULL  | NULL       | 54755624.17   | 52  |
| Books                                              | fiction                                            | scholarunivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 65367336.02   | 25  |
| Books                                              | fiction                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 328742463.60  | 5   |
| Books                                              | history                                            | scholarmaxi #10                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 66002787.49   | 23  |
| Books                                              | history                                            | scholarmaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 61572067.19   | 31  |
| Books                                              | history                                            | scholarmaxi #2                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 56836451.15   | 43  |
| Books                                              | history                                            | scholarmaxi #4                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 41209192.70   | 100 |
| Books                                              | history                                            | scholarmaxi #6                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 44587706.58   | 90  |
| Books                                              | history                                            | scholarmaxi #8                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 64697634.43   | 27  |
| Books                                              | history                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 334905839.54  | 3   |
| Books                                              | home repair                                        | importounivamalg #10                               | NULL           | NULL   | NULL  | NULL  | NULL       | 55064500.70   | 49  |
| Books                                              | home repair                                        | importounivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 52943440.73   | 59  |
| Books                                              | home repair                                        | importounivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 57716614.02   | 40  |
| Books                                              | home repair                                        | importounivamalg #4                                | NULL           | NULL   | NULL  | NULL  | NULL       | 53968725.87   | 53  |
| Books                                              | home repair                                        | importounivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 58264641.28   | 38  |
| Books                                              | home repair                                        | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 315323830.37  | 8   |
