+-----------------+------------------------------+------------+----------+------------+
| channel         | id                           | sales      | returns  | profit     |
+-----------------+------------------------------+------------+----------+------------+
| catalog channel | catalog_pageAAAAAAAAAABAAAAA | 472215.83  | 22636.10 | -100696.46 |
| catalog channel | catalog_pageAAAAAAAAAADAAAAA | 501438.61  | 29087.74 | -44088.14  |
| catalog channel | catalog_pageAAAAAAAAABBAAAAA | 508773.55  | 35291.52 | -86501.26  |
| catalog channel | catalog_pageAAAAAAAAABDAAAAA | 397108.14  | 12852.70 | -35926.61  |
| catalog channel | catalog_pageAAAAAAAAACBAAAAA | 463556.76  | 42311.30 | -42354.70  |
| catalog channel | catalog_pageAAAAAAAAACDAAAAA | 551507.45  | 43273.14 | -35902.58  |
| catalog channel | catalog_pageAAAAAAAAADBAAAAA | 461914.44  | 27226.09 | -91460.58  |
| catalog channel | catalog_pageAAAAAAAAADDAAAAA | 539381.09  | 41171.95 | -43538.86  |
| catalog channel | catalog_pageAAAAAAAAAEBAAAAA | 501528.50  | 12745.05 | -78176.45  |
| catalog channel | catalog_pageAAAAAAAAAEDAAAAA | 386372.25  | 25626.57 | -37995.72  |
| catalog channel | catalog_pageAAAAAAAAAFDAAAAA | 510517.18  | 28602.51 | -115453.88 |
| catalog channel | catalog_pageAAAAAAAAAGDAAAAA | 424261.99  | 34139.30 | -84388.57  |
| catalog channel | catalog_pageAAAAAAAAAHAAAAAA | 1215692.06 | 80144.62 | -178846.79 |
| catalog channel | catalog_pageAAAAAAAAAIAAAAAA | 1052384.11 | 34027.26 | -79504.41  |
| catalog channel | catalog_pageAAAAAAAAAJAAAAAA | 1020299.73 | 32829.72 | -127387.21 |
| catalog channel | catalog_pageAAAAAAAAAJCAAAAA | 47638.04   | 925.44   | -17996.11  |
| catalog channel | catalog_pageAAAAAAAAAKAAAAAA | 1076786.91 | 49975.54 | -156537.24 |
| catalog channel | catalog_pageAAAAAAAAAKCAAAAA | 64587.78   | 3848.29  | -17466.92  |
| catalog channel | catalog_pageAAAAAAAAALAAAAAA | 1091634.73 | 67910.97 | -94548.45  |
| catalog channel | catalog_pageAAAAAAAAALCAAAAA | 57263.52   | 612.90   | -23100.53  |
| catalog channel | catalog_pageAAAAAAAAAMAAAAAA | 982126.05  | 50525.02 | -148074.24 |
| catalog channel | catalog_pageAAAAAAAAAMCAAAAA | 31776.06   | 4054.69  | -1152.69   |
