+---------------------------------+--------------------------------+-------------------+---------+------------+------------+-------------+-----------+
| substr(w_warehouse_name, 1, 20) | sm_type                        | cc_name           | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
+---------------------------------+--------------------------------+-------------------+---------+------------+------------+-------------+-----------+
| Bad cards must make.            | EXPRESS                        | California        | 26422   | 26874      | 27060      | 0           | 0         |
| Bad cards must make.            | EXPRESS                        | Mid Atlantic      | 26806   | 27535      | 27380      | 0           | 0         |
| Bad cards must make.            | EXPRESS                        | NY Metro          | 26607   | 27235      | 27632      | 0           | 0         |
| Bad cards must make.            | EXPRESS                        | North Midwest     | 26442   | 26834      | 27459      | 0           | 0         |
| Bad cards must make.            | EXPRESS                        | Pacific Northwest | 26086   | 27131      | 27503      | 0           | 0         |
| Bad cards must make.            | LIBRARY                        | California        | 19670   | 20362      | 20559      | 0           | 0         |
| Bad cards must make.            | LIBRARY                        | Mid Atlantic      | 19651   | 20502      | 20446      | 0           | 0         |
| Bad cards must make.            | LIBRARY                        | NY Metro          | 20029   | 20223      | 20680      | 0           | 0         |
| Bad cards must make.            | LIBRARY                        | North Midwest     | 19522   | 20205      | 20570      | 0           | 0         |
| Bad cards must make.            | LIBRARY                        | Pacific Northwest | 19993   | 20352      | 20482      | 0           | 0         |
| Bad cards must make.            | NEXT DAY                       | California        | 26313   | 26940      | 27715      | 0           | 0         |
| Bad cards must make.            | NEXT DAY                       | Mid Atlantic      | 26673   | 27587      | 27337      | 0           | 0         |
| Bad cards must make.            | NEXT DAY                       | NY Metro          | 26370   | 27334      | 27485      | 0           | 0         |
| Bad cards must make.            | NEXT DAY                       | North Midwest     | 26615   | 27220      | 26973      | 0           | 0         |
| Bad cards must make.            | NEXT DAY                       | Pacific Northwest | 26390   | 27310      | 27447      | 0           | 0         |
| Bad cards must make.            | OVERNIGHT                      | California        | 19873   | 20293      | 20268      | 0           | 0         |
| Bad cards must make.            | OVERNIGHT                      | Mid Atlantic      | 19837   | 20700      | 20446      | 0           | 0         |
| Bad cards must make.            | OVERNIGHT                      | NY Metro          | 19873   | 20606      | 20487      | 0           | 0         |
| Bad cards must make.            | OVERNIGHT                      | North Midwest     | 19718   | 20509      | 20623      | 0           | 0         |
| Bad cards must make.            | OVERNIGHT                      | Pacific Northwest | 19441   | 20605      | 20390      | 0           | 0         |
| Bad cards must make.            | REGULAR                        | California        | 19776   | 20534      | 20601      | 0           | 0         |
| Bad cards must make.            | REGULAR                        | Mid Atlantic      | 20116   | 20648      | 20504      | 0           | 0         |
| Bad cards must make.            | REGULAR                        | NY Metro          | 19553   | 20541      | 20284      | 0           | 0         |
| Bad cards must make.            | REGULAR                        | North Midwest     | 19722   | 20600      | 20368      | 0           | 0         |
