Query 1, 8.21, 4.26, 4.25, 4.15, 4.26, 4.46
Query 2, 26.05, 20.43, 20.38, 20.38, 20.35, 20.44
Query 3, 13.88, 9.47, 9.47, 9.58, 9.4, 9.57
Query 4, 86.33, 85.35, 85.3, 84.28, 83.29, 82.29
Query 5, 32.49, 28.19, 28.2, 28.18, 27.69, 28.2
Query 6, 17.11, 13.09, 13.08, 13.08, 13.09, 13.09
Query 7, 5.09, 1.62, 1.72, 1.62, 1.72, 1.72
Query 8, 11.07, 13.57, 11.08, 13.58, 13.56, 13.57
Query 9, 111.77, 108.22, 109.22, 108.21, 106.22, 106.24
Query 10, 19.17, 18.63, 18.66, 18.12, 18.15, 18.17
Query 11, 45.72, 43.19, 43.7, 43.74, 43.67, 42.68
Query 12, 1.52, 1.42, 1.42, 1.42, 1.32, 1.32
Query 13, 8.18, 4.58, 4.56, 4.56, 4.66, 4.56
Query 14, 155.38, 152.42, 153.36, 153.38, 153.36, 152.38
Query 15, 8.06, 7.96, 8.3, 7.95, 8.26, 8.08
Query 16, 29.19, 22.58, 24.61, 25.1, 23.11, 25.08
Query 17, 32.15, 28.62, 29.6, 29.61, 29.1, 29.62
Query 18, 4.44, 4.14, 4.04, 4.04, 4.05, 3.96
Query 19, 11.14, 11.09, 11.1, 11.13, 11.13, 11.1
Query 20, 1.52, 1.42, 1.42, 1.33, 1.42, 1.32
Query 21, 20.0, 16.1, 16.1, 16.1, 16.09, 16.1
Query 22, 114.22, 143.3, 142.29, 142.26, 141.25, 142.29
Query 23, 110.33, 106.27, 107.29, 107.27, 107.29, 107.29
Query 24, 18.59, 16.59, 17.11, 17.09, 16.57, 17.09
Query 25, 33.13, 28.62, 28.12, 30.12, 29.62, 29.59
Query 26, 1.93, 1.72, 1.62, 1.62, 1.72, 1.62
Query 27, 2.23, 1.62, 1.82, 1.62, 1.64, 1.82
Query 28, 45.65, 44.13, 45.16, 44.66, 44.14, 45.18
Query 29, 31.63, 28.6, 29.1, 28.1, 28.13, 29.09
Query 30, 4.08, 4.09, 3.98, 4.07, 4.08, 4.07
Query 31, 40.25, 37.66, 38.17, 39.22, 37.71, 38.67
Query 32, 12.53, 12.56, 13.07, 12.61, 12.59, 12.57
Query 33, 22.09, 20.1, 20.08, 20.59, 20.07, 20.08
Query 34, 1.73, 1.52, 1.52, 1.42, 1.52, 1.53
Query 35, 21.66, 21.66, 22.12, 21.64, 21.15, 21.12
Query 36, 17.66, 20.64, 20.12, 20.64, 20.64, 20.13
Query 37, 27.09, 25.6, 25.59, 25.07, 25.58, 25.08
Query 38, 23.12, 22.61, 22.13, 22.11, 21.6, 22.11
Query 39, 34.17, 33.63, 33.66, 33.65, 33.15, 33.67
Query 40, 9.4, 9.19, 9.4, 9.28, 9.08, 9.38
Query 41, 1.42, 1.32, 1.42, 1.42, 1.42, 1.42
Query 42, 9.47, 9.48, 9.46, 9.37, 9.38, 9.28
Query 43, 12.09, 12.1, 12.08, 12.09, 12.07, 12.08
Query 44, 30.08, 30.09, 30.08, 29.6, 32.09, 30.09
Query 45, 5.95, 5.75, 5.64, 5.67, 5.77, 5.55
Query 46, 12.63, 12.64, 12.08, 12.13, 12.12, 12.12
Query 47, 47.3, 44.73, 44.2, 44.19, 43.74, 44.22
Query 48, 3.35, 3.04, 3.05, 3.35, 3.18, 3.05
Query 49, 23.15, 22.14, 22.14, 21.6, 21.63, 21.63
Query 50, 13.58, 13.59, 13.08, 13.59, 13.61, 13.12
Query 51, 39.17, 44.18, 44.15, 44.16, 44.67, 44.69
Query 52, 9.08, 9.4, 9.3, 9.18, 9.29, 9.3
Query 53, 1.82, 1.32, 1.42, 1.52, 1.52, 1.52
Query 54, 5.05, 4.14, 4.04, 4.14, 4.13, 4.14
