+------------+---------------------+
| ca_zip     | sum(cs_sales_price) |
+------------+---------------------+
| 30008      | 228.26              |
| 30059      | 12567.67            |
| 30069      | 9791.91             |
| 30116      | 365.05              |
| 30125      | 752.46              |
| 30150      | 9489.49             |
| 30162      | 8593.88             |
| 30169      | 13670.08            |
| 30191      | 16101.04            |
| 30296      | 775.33              |
| 30302      | 588.45              |
| 30319      | 440.16              |
| 30369      | 787.05              |
| 30399      | 14862.09            |
| 30408      | 988.39              |
| 30411      | 9484.42             |
| 30418      | 1304.39             |
| 30419      | 608.22              |
| 30492      | 1008.57             |
| 30499      | 10118.05            |
| 30519      | 501.79              |
| 30525      | 617.61              |
| 30534      | 6227.44             |
| 30573      | 521.62              |
| 30587      | 7906.41             |
| 30589      | 505.74              |
| 30618      | 374.33              |
| 30634      | 287.82              |
| 30725      | 545.38              |
| 30732      | 353.07              |
| 30852      | 313.65              |
| 30854      | 778.18              |
| 30894      | 540.87              |
| 31075      | 755.74              |
| 31083      | 678.73              |
| 31087      | 9605.40             |
| 31143      | 407.91              |
| 31160      | 832.73              |
| 31201      | 943.71              |
| 31204      | 923.17              |
| 31216      | 361.76              |
| 31218      | 288.19              |
| 31289      | 5156.30             |
| 31387      | 10685.83            |
| 31398      | 774.39              |
| 31409      | 137.94              |
| 31423      | 408.73              |
| 31521      | 6980.32             |
| 31654      | 1137.94             |
| 31675      | 6683.00             |
| 31711      | 10253.45            |
| 31715      | 419.33              |
| 31732      | 1539.15             |
| 31749      | 10766.56            |
| 31757      | 10584.04            |
| 31824      | 238.64              |
| 31844      | 1641.38             |
| 31904      | 4409.82             |
| 31933      | 6791.43             |
| 31952      | 9812.97             |
| 32033      | 585.51              |
| 32106      | 809.65              |
| 32123      | 417.18              |
| 32205      | 1348.97             |
| 32244      | 626.59              |
| 32276      | 1101.43             |
| 32293      | 6453.26             |
| 32297      | 605.17              |
| 32324      | 717.49              |
| 32366      | 818.32              |
| 32455      | 698.44              |
| 32459      | 738.47              |
| 32477      | 8981.88             |
| 32503      | 1356.28             |
| 32562      | 2071.01             |
| 32629      | 1514.00             |
| 32686      | 268.68              |
| 32738      | 1552.23             |
| 32808      | 4804.02             |
| 32812      | 12501.22            |
| 32814      | 741.67              |
| 32819      | 1351.98             |
| 32898      | 11219.06            |
| 32924      | 907.33              |
| 33003      | 7118.30             |
| 33075      | 2058.72             |
| 33235      | 164.56              |
| 33298      | 391.27              |
| 33301      | 519.37              |
| 33360      | 602.50              |
| 33372      | 270.89              |
| 33394      | 10101.72            |
| 33451      | 6633.43             |
| 33481      | 737.72              |
| 33511      | 6073.92             |
| 33524      | 611.45              |
| 33592      | 409.66              |
| 33595      | 317.13              |
| 33604      | 3559.48             |
| 33683      | 11841.46            |
+------------+---------------------+
