+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| i_product_name                                     | i_brand                                            | i_class                                            | i_category                                         | qoh           |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| oughtablen stoughtese                              | amalgnameless #2                                   | accent                                             | Home                                               | 445.938016529 |
| oughtablen stoughtese                              | amalgnameless #2                                   | accent                                             | NULL                                               | 445.938016529 |
| oughtablen stoughtese                              | amalgnameless #2                                   | NULL                                               | NULL                                               | 445.938016529 |
| oughtablen stoughtese                              | NULL                                               | NULL                                               | NULL                                               | 445.938016529 |
| oughtanti                                          | exportiexporti #2                                  | toddlers                                           | Children                                           | 448.439271255 |
| oughtanti                                          | exportiexporti #2                                  | toddlers                                           | NULL                                               | 448.439271255 |
| oughtanti                                          | exportiexporti #2                                  | NULL                                               | NULL                                               | 448.439271255 |
| oughtanti                                          | NULL                                               | NULL                                               | NULL                                               | 448.439271255 |
| oughtcallyablebarought                             | edu packbrand #6                                   | estate                                             | Jewelry                                            | 448.846       |
| oughtcallyablebarought                             | edu packbrand #6                                   | estate                                             | NULL                                               | 448.846       |
| oughtcallyablebarought                             | edu packbrand #6                                   | NULL                                               | NULL                                               | 448.846       |
| oughtcallyablebarought                             | NULL                                               | NULL                                               | NULL                                               | 448.846       |
| pripriantieing                                     | importonameless #4                                 | baseball                                           | Sports                                             | 449.019920319 |
| pripriantieing                                     | importonameless #4                                 | baseball                                           | NULL                                               | 449.019920319 |
| pripriantieing                                     | importonameless #4                                 | NULL                                               | NULL                                               | 449.019920319 |
| pripriantieing                                     | NULL                                               | NULL                                               | NULL                                               | 449.019920319 |
| oughtablepriantiese                                | amalgedu pack #2                                   | womens                                             | Shoes                                              | 449.26993865  |
| oughtablepriantiese                                | amalgedu pack #2                                   | womens                                             | NULL                                               | 449.26993865  |
| oughtablepriantiese                                | amalgedu pack #2                                   | NULL                                               | NULL                                               | 449.26993865  |
