+-----------------------+--------+--------------------+----------------------+--------------------+----------------------+
| ca_county             | d_year | web_q1_q2_increase | store_q1_q2_increase | web_q2_q3_increase | store_q2_q3_increase |
+-----------------------+--------+--------------------+----------------------+--------------------+----------------------+
| Hood County           | 2000   | 0.886854           | 0.693513             | 1.876945           | 1.351341             |
| Kenedy County         | 2000   | 0.917481           | 0.557386             | 5.826744           | 2.518733             |
| Rogers County         | 2000   | 2.434040           | 1.173346             | 2.136623           | 1.699083             |
| Lincoln Parish        | 2000   | 3.327285           | 0.784021             | 1.437125           | 1.413702             |
| Letcher County        | 2000   | 1.048725           | 0.930290             | 2.035317           | 1.718103             |
| Wabash County         | 2000   | 1.651471           | 1.430610             | 2.280983           | 1.449105             |
| Charlottesville city  | 2000   | 1.530343           | 0.818520             | 3.377010           | 1.262249             |
| Barrow County         | 2000   | 1.656624           | 0.881260             | 1.439357           | 1.420932             |
| San Mateo County      | 2000   | 1.129209           | 1.105530             | 3.920255           | 1.988003             |
| Leelanau County       | 2000   | 1.216160           | 0.737168             | 3.795243           | 2.687504             |
| Orleans County        | 2000   | 1.086616           | 1.025622             | 1.693019           | 1.683459             |
| Harmon County         | 2000   | 1.685345           | 1.139185             | 2.491497           | 1.658204             |
| Richardson County     | 2000   | 1.972245           | 0.706261             | 2.031661           | 1.998483             |
| Magoffin County       | 2000   | 2.209202           | 1.207131             | 2.911900           | 1.115014             |
| Mariposa County       | 2000   | 0.949750           | 0.651261             | 3.692348           | 2.290992             |
| Ogle County           | 2000   | 1.078009           | 0.480324             | 2.463182           | 1.575339             |
| Oliver County         | 2000   | 1.319309           | 1.245659             | 2.428329           | 1.749685             |
| Washakie County       | 2000   | 2.696964           | 0.609491             | 1.735065           | 1.545967             |
| Cambria County        | 2000   | 7.554832           | 0.994091             | 3.148879           | 1.835220             |
| Carteret County       | 2000   | 1.500523           | 0.974958             | 3.124602           | 1.904506             |
| Durham County         | 2000   | 1.331504           | 1.077577             | 2.219498           | 1.821298             |
| Salt Lake County      | 2000   | 2.931248           | 1.160195             | 2.703519           | 1.358897             |
