+----------------+-----------+-------+---------------+---------------+----------------+-----------+-------+---------------+---------------+
| w_warehouse_sk | i_item_sk | d_moy | mean          | cov           | w_warehouse_sk | i_item_sk | d_moy | mean          | cov           |
+----------------+-----------+-------+---------------+---------------+----------------+-----------+-------+---------------+---------------+
| 1              | 676       | 4     | 445.2         | 1.00899112646 | 1              | 676       | 5     | 467.0         | 1.0238218616  |
| 1              | 997       | 4     | 281.0         | 1.33783218756 | 1              | 997       | 5     | 342.5         | 1.07325782513 |
| 1              | 1069      | 4     | 266.0         | 1.25104964692 | 1              | 1069      | 5     | 226.0         | 1.01513078511 |
| 1              | 1900      | 4     | 255.4         | 1.22988846716 | 1              | 1900      | 5     | 311.333333333 | 1.03352448255 |
| 1              | 2018      | 4     | 289.6         | 1.30190228104 | 1              | 2018      | 5     | 395.25        | 1.15014631972 |
| 1              | 2602      | 4     | 297.5         | 1.02472872935 | 1              | 2602      | 5     | 296.0         | 1.14925460964 |
| 1              | 3056      | 4     | 380.0         | 1.12423411911 | 1              | 3056      | 5     | 266.5         | 1.52670964166 |
| 1              | 3580      | 4     | 348.75        | 1.06043160408 | 1              | 3580      | 5     | 416.5         | 1.06261870214 |
| 1              | 4070      | 4     | 314.0         | 1.05992122316 | 1              | 4070      | 5     | 282.5         | 1.26699128746 |
| 1              | 4166      | 4     | 254.0         | 1.03062915626 | 1              | 4166      | 5     | 288.0         | 1.14935625657 |
| 1              | 4964      | 4     | 235.4         | 1.13923481362 | 1              | 4964      | 5     | 290.5         | 1.06897661173 |
| 1              | 5300      | 4     | 334.0         | 1.1415846116  | 1              | 5300      | 5     | 311.75        | 1.01150343625 |
| 1              | 5600      | 4     | 252.0         | 1.02151520951 | 1              | 5600      | 5     | 337.0         | 1.3038000732  |
| 1              | 7213      | 4     | 222.0         | 1.11377612383 | 1              | 7213      | 5     | 267.75        | 1.50239858253 |
| 1              | 8791      | 4     | 347.333333333 | 1.16021632265 | 1              | 8791      | 5     | 169.25        | 1.16333739141 |
| 1              | 9181      | 4     | 213.6         | 1.17466269311 | 1              | 9181      | 5     | 421.0         | 1.04596436191 |
| 1              | 9946      | 4     | 221.4         | 1.20607454926 | 1              | 9946      | 5     | 362.75        | 1.17534005771 |
| 1              | 10400     | 4     | 332.0         | 1.1520936687  | 1              | 10400     | 5     | 405.0         | 1.17328386644 |
| 1              | 11492     | 4     | 301.0         | 1.00854780981 | 1              | 11492     | 5     | 466.0         | 1.00451650031 |
| 1              | 12316     | 4     | 338.8         | 1.11207815716 | 1              | 12316     | 5     | 366.0         | 1.14133328324 |
| 1              | 12406     | 4     | 312.2         | 1.04396021054 | 1              | 12406     | 5     | 339.333333333 | 1.04671393426 |
| 1              | 12518     | 4     | 272.2         | 1.10679700424 | 1              | 12518     | 5     | 302.5         | 1.25206657029 |
| 1              | 12775     | 4     | 259.25        | 1.29200428546 | 1              | 12775     | 5     | 321.0         | 1.32250726608 |
| 1              | 13306     | 4     | 339.75        | 1.19833704302 | 1              | 13306     | 5     | 139.75        | 1.13376177095 |
| 1              | 14791     | 4     | 381.75        | 1.11815239981 | 1              | 14791     | 5     | 267.0         | 1.21679623556 |
| 1              | 15278     | 4     | 395.2         | 1.04490476861 | 1              | 15278     | 5     | 300.75        | 1.19258866971 |
| 1              | 15769     | 4     | 284.5         | 1.0752016243  | 1              | 15769     | 5     | 478.0         | 1.00816852482 |
| 1              | 15860     | 4     | 426.333333333 | 1.0905352686  | 1              | 15860     | 5     | 322.5         | 1.01021999507 |
| 1              | 15961     | 4     | 270.2         | 1.23672902    | 1              | 15961     | 5     | 412.333333333 | 1.18247765118 |
| 1              | 16646     | 4     | 332.0         | 1.15583007846 | 1              | 16646     | 5     | 240.5         | 1.13783918636 |
| 1              | 17830     | 4     | 360.25        | 1.0959778391  | 1              | 17830     | 5     | 312.25        | 1.00657421893 |
| 1              | 19808     | 4     | 427.4         | 1.09328509686 | 1              | 19808     | 5     | 229.0         | 1.10270439385 |
| 1              | 19918     | 4     | 368.4         | 1.10087158743 | 1              | 19918     | 5     | 180.75        | 1.19222026417 |
| 1              | 20780     | 4     | 410.8         | 1.07380126102 | 1              | 20780     | 5     | 351.333333333 | 1.33603182697 |
| 1              | 20990     | 4     | 403.0         | 1.06219851013 | 1              | 20990     | 5     | 465.333333333 | 1.04235296341 |
| 1              | 21302     | 4     | 296.2         | 1.00748477425 | 1              | 21302     | 5     | 224.25        | 1.65285981817 |
| 1              | 21490     | 4     | 213.0         | 1.24628213437 | 1              | 21490     | 5     | 223.25        | 1.08536386885 |
| 1              | 22106     | 4     | 357.5         | 1.04363407699 | 1              | 22106     | 5     | 438.666666667 | 1.08585642388 |
| 1              | 22492     | 4     | 345.4         | 1.06483841219 | 1              | 22492     | 5     | 377.25        | 1.02039163595 |
| 1              | 23068     | 4     | 388.0         | 1.02794456671 | 1              | 23068     | 5     | 384.5         | 1.11789086029 |
| 1              | 23146     | 4     | 278.0         | 1.01636370783 | 1              | 23146     | 5     | 417.666666667 | 1.22056309236 |
| 1              | 23344     | 4     | 323.25        | 1.3873422362  | 1              | 23344     | 5     | 381.0         | 1.05032579729 |
| 1              | 24490     | 4     | 465.25        | 1.0503074767  | 1              | 24490     | 5     | 216.25        | 1.14735132859 |
| 1              | 25699     | 4     | 254.75        | 1.37333275058 | 1              | 25699     | 5     | 318.25        | 1.17606802552 |
| 1              | 25946     | 4     | 287.8         | 1.35621068421 | 1              | 25946     | 5     | 327.5         | 1.31812824674 |
| 1              | 27860     | 4     | 390.0         | 1.01611117492 | 1              | 27860     | 5     | 125.333333333 | 1.12645145541 |
