+--------------+--------------+-----------------+-----------------+-----------------+----------------+---------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
| s_store_name | s_company_id | s_street_number | s_street_name   | s_street_type   | s_suite_number | s_city        | s_county          | s_state | s_zip      | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
+--------------+--------------+-----------------+-----------------+-----------------+----------------+---------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
| able         | 1            | 228             | Cherry          | Avenue          | Suite G        | Fairview      | Walker County     | AL      | 35709      | 125     | 107        | 53         | 54          | 114       |
| able         | 1            | 255             | Sycamore        | Dr.             | Suite 410      | Midway        | Ziebach County    | SD      | 51904      | 122     | 90         | 60         | 71          | 114       |
| able         | 1            | 302             | Walnut Madison  | Wy              | Suite T        | Fairview      | Ziebach County    | SD      | 55709      | 120     | 97         | 53         | 70          | 137       |
| able         | 1            | 441             | 11th            | ST              | Suite H        | Riverside     | Williamson County | TN      | 39231      | 111     | 111        | 86         | 62          | 137       |
| able         | 1            | 479             | Park First      | Lane            | Suite 20       | Oak Grove     | Walker County     | AL      | 38370      | 121     | 112        | 62         | 65          | 125       |
| able         | 1            | 543             | West Elm        | Ln              | Suite A        | Five Points   | Walker County     | AL      | 36098      | 141     | 107        | 68         | 71          | 141       |
| able         | 1            | 722             | Railroad Spring | Ct.             | Suite M        | Five Points   | Ziebach County    | SD      | 56098      | 129     | 111        | 81         | 70          | 110       |
| anti         | 1            | 321             | 11th            | Parkway         | Suite G        | Pleasant Hill | Walker County     | AL      | 33604      | 141     | 111        | 52         | 77          | 125       |
| anti         | 1            | 735             | Walnut          | Blvd            | Suite 360      | Five Points   | Walker County     | AL      | 36098      | 131     | 106        | 65         | 63          | 118       |
| anti         | 1            | 897             | Ash Oak         | Circle          | Suite T        | Oak Grove     | Williamson County | TN      | 38370      | 140     | 95         | 55         | 83          | 129       |
| ation        | 1            | 213             | 8th             | Road            | Suite 490      | Pleasant Hill | Williamson County | TN      | 33604      | 126     | 80         | 76         | 71          | 120       |
| ation        | 1            | 421             | 12th Center     | Avenue          | Suite J        | Riverside     | Williamson County | TN      | 39231      | 142     | 113        | 64         | 58          | 123       |
| ation        | 1            | 8               | Cedar Maple     | ST              | Suite 320      | Oak Grove     | Williamson County | TN      | 38370      | 130     | 118        | 59         | 68          | 129       |
| ation        | 1            | 811             | Lee             | Circle          | Suite T        | Oak Grove     | Ziebach County    | SD      | 58370      | 136     | 86         | 56         | 59          | 131       |
| bar          | 1            | 147             | Highland        | Ln              | Suite 270      | Fairview      | Ziebach County    | SD      | 55709      | 119     | 90         | 59         | 81          | 132       |
| bar          | 1            | 175             | 4th             | Court           | Suite C        | Oak Grove     | Williamson County | TN      | 38370      | 116     | 103        | 62         | 68          | 118       |
| bar          | 1            | 200             | Lake            | RD              | Suite 320      | Pleasant Hill | Ziebach County    | SD      | 53604      | 118     | 100        | 53         | 64          | 137       |
| bar          | 1            | 543             | Twelfth         | Avenue          | Suite L        | Oak Grove     | Ziebach County    | SD      | 58370      | 119     | 98         | 70         | 71          | 118       |
| bar          | 1            | 582             | Oak Washington  | Drive           | Suite S        | Pleasant Hill | Walker County     | AL      | 33604      | 122     | 105        | 60         | 62          | 142       |
| bar          | 1            | 818             | 1st Elm         | Road            | Suite 220      | Pleasant Hill | Walker County     | AL      | 33604      | 137     | 115        | 62         | 64          | 137       |
| bar          | 1            | 903             | Sixth           | Court           | Suite Q        | Five Points   | Ziebach County    | SD      | 56098      | 116     | 102        | 44         | 51          | 120       |
| cally        | 1            | 353             | Third View      | Drive           | Suite 380      | Midway        | Williamson County | TN      | 31904      | 111     | 93         | 46         | 59          | 117       |
| cally        | 1            | 392             | 15th            | Dr.             | Suite W        | Oak Grove     | Walker County     | AL      | 38370      | 141     | 92         | 60         | 48          | 124       |
