+---------------------+--------+-------+-------------------+-----------+----------+----------+
| cc_name             | d_year | d_moy | avg_monthly_sales | sum_sales | psum     | nsum     |
+---------------------+--------+-------+-------------------+-----------+----------+----------+
| NY Metro            | 2000   | 6     | 16724.495000      | 6652.09   | 11211.83 | 10408.69 |
| NY Metro_1          | 2000   | 2     | 17569.075833      | 7557.37   | 10818.50 | 9939.03  |
| Mid Atlantic_1      | 2000   | 2     | 17673.521667      | 7721.54   | 12141.65 | 10942.42 |
| California          | 2000   | 4     | 16960.482500      | 7305.89   | 8131.77  | 9617.92  |
| Mid Atlantic_1      | 2000   | 6     | 17195.500000      | 7551.12   | 9921.75  | 10505.44 |
| Pacific Northwest_1 | 2000   | 6     | 16669.210000      | 7029.83   | 10629.30 | 10126.24 |
| NY Metro_1          | 2000   | 7     | 16890.541667      | 7416.69   | 8066.98  | 23932.97 |
| Pacific Northwest_1 | 2000   | 6     | 16121.598333      | 6682.55   | 8859.61  | 7843.13  |
| Mid Atlantic        | 2000   | 4     | 16197.640000      | 6763.55   | 9808.87  | 10175.00 |
| Hawaii/Alaska_1     | 2000   | 2     | 16446.408333      | 7047.81   | 7929.46  | 10151.48 |
| Hawaii/Alaska       | 2000   | 4     | 16709.991667      | 7350.85   | 10496.34 | 10667.59 |
| North Midwest       | 2000   | 2     | 16608.423333      | 7251.46   | 9891.84  | 10667.60 |
| Hawaii/Alaska       | 2000   | 2     | 17282.919167      | 7928.35   | 11455.10 | 10018.98 |
| Mid Atlantic        | 2000   | 4     | 16591.603333      | 7293.40   | 9545.73  | 10304.07 |
| NY Metro            | 2000   | 1     | 16584.137500      | 7291.30   | 15376.37 | 10985.96 |
| NY Metro_1          | 2000   | 2     | 16890.541667      | 7603.10   | 12597.96 | 9331.75  |
| Pacific Northwest_1 | 2000   | 3     | 16627.237500      | 7351.60   | 9519.83  | 8362.06  |
| Pacific Northwest   | 2000   | 1     | 17351.024167      | 8083.53   | 17255.09 | 11392.35 |
| Mid Atlantic_1      | 2000   | 2     | 16921.490000      | 7654.24   | 8800.83  | 10436.47 |
| Pacific Northwest   | 2000   | 7     | 17335.355000      | 8126.45   | 10864.75 | 23696.17 |
| Mid Atlantic        | 2000   | 2     | 17544.847500      | 8338.70   | 10715.41 | 9435.81  |
| North Midwest_1     | 2000   | 6     | 17473.956667      | 8277.56   | 12214.64 | 10041.73 |
| Mid Atlantic_1      | 2000   | 6     | 17026.542500      | 7842.26   | 8550.53  | 12582.80 |
| NY Metro_1          | 2000   | 2     | 16307.507500      | 7128.74   | 9149.63  | 10891.69 |
| NY Metro_1          | 2000   | 5     | 17304.570000      | 8152.11   | 10427.12 | 8654.62  |
| Hawaii/Alaska_1     | 2000   | 3     | 17544.203333      | 8398.55   | 11319.70 | 8728.12  |
| California_1        | 2000   | 6     | 17087.622500      | 7948.45   | 12258.05 | 10757.07 |
| Hawaii/Alaska_1     | 2000   | 4     | 16730.538333      | 7599.17   | 9413.53  | 10096.00 |
| North Midwest_1     | 2000   | 6     | 16674.820000      | 7553.49   | 10136.00 | 10886.96 |
| Mid Atlantic_1      | 2000   | 5     | 16921.490000      | 7844.30   | 10187.24 | 11282.88 |
| California_1        | 2000   | 4     | 16848.421667      | 7778.12   | 9638.28  | 9177.87  |
| Pacific Northwest_1 | 2000   | 1     | 16581.326667      | 7518.56   | 17525.70 | 8860.47  |
| Mid Atlantic        | 2000   | 2     | 16765.129167      | 7717.35   | 10476.21 | 9744.34  |
| Pacific Northwest_1 | 2000   | 3     | 16336.922500      | 7297.26   | 11578.85 | 9889.22  |
| California_1        | 2000   | 6     | 17489.250833      | 8457.51   | 9836.29  | 9545.23  |
| Hawaii/Alaska_1     | 2000   | 2     | 16730.538333      | 7714.71   | 9966.04  | 9413.53  |
| North Midwest_1     | 2000   | 4     | 16784.243333      | 7800.49   | 11057.17 | 9907.80  |
| Mid Atlantic_1      | 2000   | 3     | 17780.107500      | 8802.73   | 9225.85  | 10141.47 |
| Hawaii/Alaska       | 2000   | 5     | 16894.439167      | 7923.45   | 10414.23 | 9792.42  |
| Pacific Northwest   | 2000   | 5     | 17015.293333      | 8053.13   | 8828.40  | 9795.54  |
| California_1        | 2000   | 4     | 17184.985833      | 8234.26   | 8858.41  | 10018.59 |
| Mid Atlantic_1      | 2000   | 3     | 17063.005833      | 8120.45   | 9889.18  | 9414.79  |
| Hawaii/Alaska_1     | 2000   | 3     | 16698.353333      | 7759.68   | 8969.14  | 7957.48  |
| North Midwest       | 2000   | 7     | 18147.850833      | 9217.31   | 12703.05 | 23920.30 |
| Mid Atlantic_1      | 2000   | 5     | 17673.521667      | 8752.45   | 11131.79 | 9136.06  |
| California_1        | 2000   | 6     | 17449.212500      | 8545.48   | 10169.34 | 8697.94  |
| Pacific Northwest_1 | 2000   | 4     | 16581.326667      | 7677.61   | 9010.85  | 10713.56 |
| Mid Atlantic        | 2000   | 4     | 17287.515000      | 8384.89   | 10370.05 | 9357.65  |
| NY Metro            | 2000   | 2     | 16686.919167      | 7786.87   | 10981.53 | 9650.73  |
| North Midwest       | 2000   | 5     | 16648.611667      | 7748.72   | 9284.86  | 10853.56 |
| NY Metro            | 2000   | 3     | 16595.415833      | 7707.69   | 9206.88  | 10837.87 |
| Pacific Northwest_1 | 2000   | 3     | 16972.714167      | 8097.51   | 9337.58  | 12266.98 |
| California          | 2000   | 2     | 16669.120000      | 7804.32   | 10598.92 | 10278.98 |
| North Midwest_1     | 2000   | 6     | 17629.160833      | 8780.65   | 10399.69 | 11088.19 |
| California          | 2000   | 3     | 16960.482500      | 8131.77   | 9873.74  | 7305.89  |
| Mid Atlantic_1      | 2000   | 6     | 16457.367500      | 7631.97   | 10499.54 | 9977.36  |
| NY Metro_1          | 2000   | 6     | 16890.541667      | 8066.98   | 11491.00 | 7416.69  |
| Pacific Northwest_1 | 2000   | 6     | 16262.615000      | 7445.59   | 9239.09  | 9164.05  |
| Hawaii/Alaska_1     | 2000   | 4     | 17544.203333      | 8728.12   | 8398.55  | 8832.92  |
| North Midwest_1     | 2000   | 4     | 17216.347500      | 8416.74   | 9323.44  | 8663.68  |
| Pacific Northwest   | 2000   | 1     | 17242.760833      | 8448.20   | 18953.37 | 9377.50  |
| Hawaii/Alaska       | 2000   | 2     | 17143.340833      | 8354.07   | 11224.73 | 10424.70 |
| North Midwest       | 2000   | 6     | 17015.034167      | 8232.49   | 10582.20 | 10152.33 |
| Pacific Northwest_1 | 2000   | 6     | 17058.663333      | 8281.19   | 9308.29  | 10607.10 |
| California          | 2000   | 2     | 16820.875000      | 8053.20   | 9602.90  | 10788.61 |
| NY Metro            | 2000   | 7     | 16584.137500      | 7823.91   | 8172.63  | 23494.26 |
| California_1        | 2000   | 7     | 17449.212500      | 8697.94   | 8545.48  | 24717.47 |
| Hawaii/Alaska_1     | 2000   | 4     | 16698.353333      | 7957.48   | 7759.68  | 10791.59 |
| Mid Atlantic        | 2000   | 7     | 16729.245000      | 7999.49   | 9521.29  | 22628.60 |
| California_1        | 2000   | 4     | 16560.889167      | 7832.05   | 9326.60  | 8856.68  |
| California_1        | 2000   | 6     | 15974.080833      | 7246.24   | 8608.09  | 11370.72 |
| North Midwest       | 2000   | 4     | 17019.474167      | 8294.27   | 8660.82  | 10076.88 |
| North Midwest_1     | 2000   | 7     | 17464.151667      | 8748.96   | 10302.44 | 27761.14 |
| Hawaii/Alaska_1     | 2000   | 5     | 17544.203333      | 8832.92   | 8728.12  | 10829.98 |
| Hawaii/Alaska       | 2000   | 2     | 16579.836667      | 7879.81   | 9433.61  | 9696.92  |
| NY Metro            | 2000   | 6     | 16850.904167      | 8156.59   | 11143.83 | 10858.22 |
| Pacific Northwest   | 2000   | 3     | 17298.218333      | 8615.46   | 8951.26  | 9232.91  |
| Pacific Northwest_1 | 2000   | 1     | 16669.210000      | 7998.21   | 18496.89 | 9044.89  |
| NY Metro_1          | 2000   | 6     | 17304.570000      | 8654.62   | 8152.11  | 11198.00 |
| Hawaii/Alaska_1     | 2000   | 2     | 16503.941667      | 7875.95   | 8065.78  | 9123.18  |
| North Midwest_1     | 2000   | 3     | 17629.160833      | 9006.61   | 10313.59 | 9920.16  |
| Mid Atlantic        | 2000   | 7     | 17544.847500      | 8924.79   | 10609.04 | 24888.02 |
| California          | 2000   | 7     | 16839.731667      | 8225.50   | 8983.69  | 20195.71 |
| NY Metro_1          | 2000   | 6     | 16307.507500      | 7693.54   | 9430.96  | 10420.14 |
| NY Metro_1          | 2000   | 2     | 17149.066667      | 8546.12   | 10172.65 | 9616.40  |
| NY Metro            | 2000   | 5     | 16084.381667      | 7485.89   | 9574.80  | 8794.24  |
| California          | 2000   | 2     | 17387.957500      | 8791.27   | 10849.82 | 10967.50 |
| Mid Atlantic        | 2000   | 6     | 17287.515000      | 8693.19   | 9357.65  | 11361.20 |
