+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------+
| s_store_name | i_item_desc                                                                                                                                                                                       | revenue | i_current_price | i_wholesale_cost | i_brand                                            |
+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------+
| able         | A                                                                                                                                                                                                 | 5.54    | 8.62            | 1.84             | importoscholar #2                                  |
| able         | A                                                                                                                                                                                                 | 7.21    | 1.30            | 1.23             | amalgimporto #2                                    |
| able         | A                                                                                                                                                                                                 | 6.76    | 3.39            | 1.05             | amalgimporto #2                                    |
| able         | A                                                                                                                                                                                                 | 3.06    | 8.62            | 1.84             | importoscholar #2                                  |
| able         | A                                                                                                                                                                                                 | 5.19    | 6.70            | 3.28             | scholarmaxi #10                                    |
| able         | A                                                                                                                                                                                                 | 2.00    | 6.61            | 4.17             | edu packedu pack #2                                |
| able         | A                                                                                                                                                                                                 | 8.55    | 3.37            | 0.20             | exportiunivamalg #13                               |
| able         | A                                                                                                                                                                                                 | 8.19    | 6.61            | 4.17             | edu packedu pack #2                                |
| able         | A                                                                                                                                                                                                 | 5.94    | 1.20            | 1.02             | importoimporto #2                                  |
| able         | A bit good children used to support upper, agricultural properties. Late, arab variations may draw magistrates; very newspapers kill here in a be                                                 | 0.25    | 8.55            | 4.70             | importoscholar #2                                  |
| able         | A bit national children cannot tell even rich dangers. Little things ought to take hopefully by a advantages. Italian, innocent depths examine here relatively large levels. Group                | 2.89    | 3.10            | 2.32             | amalgedu pack #2                                   |
| able         | A little compar                                                                                                                                                                                   | 0.00    | 5.43            | 2.65             | amalgscholar #2                                    |
| able         | A little critical lands should not consider now partners. Only other communities might not survive common, special forms. Leader                                                                  | 3.80    | 73.19           | 45.37            | maxiunivamalg #9                                   |
| able         | A little different fans can deal; strong nations                                                                                                                                                  | 3.26    | 4.04            | 62.52            | namelessnameless #6                                |
| able         | A little different fans can deal; strong nations                                                                                                                                                  | 8.46    | 4.04            | 62.52            | namelessnameless #6                                |
| able         | A little national lines take. Social things spot by the meetings. Weapons would not provide simply great roles. Early marks shall help concerned, regional re                                     | 0.83    | 1.85            | 1.29             | exportimaxi #10                                    |
| able         | A little rich companies mean else purposes. Accidentally early clubs find by a expectations; small, important opportuni                                                                           | 2.28    | 1.58            | 8.32             | edu packunivamalg #4                               |
| able         | A little rich companies mean else purposes. Accidentally early clubs find by a expectations; small, important opportuni                                                                           | 0.65    | 1.58            | 8.32             | edu packunivamalg #4                               |
| able         | A little successful females provide public proposals. Ridiculous, private times run                                                                                                               | 4.16    | 1.84            | 2.31             | amalgexporti #2                                    |
| able         | A little young stars travel fairly out of a members. Urban foundations make. Fine, weekly experts want busy stars. New requirements may come of course warm properties.                           | 8.33    | 0.35            | 0.21             | importoedu pack #2                                 |
| able         | A lot economic others construct later by a meetings; extraordinary, liable beings might not draw about a legs; early p                                                                            | 4.92    | 0.88            | 0.55             | scholarnameless #4                                 |
| able         | A lot present hundreds know bluntly right, various sports. Far various hands may not focus best persistent sensitive policies. Affairs should leave top, class                                    | 1.35    | 0.22            | 0.10             | importoamalgamalg #4                               |
| able         | A lot present hundreds know bluntly right, various sports. Far various hands may not focus best persistent sensitive policies. Affairs should leave top, class                                    | 1.15    | 0.22            | 0.10             | importoamalgamalg #4                               |
| able         | Ab                                                                                                                                                                                                | 7.48    | 0.35            | 0.23             | univbrand #2                                       |
| able         | Able ar                                                                                                                                                                                           | 0.15    | 7.08            | 5.38             | corpmaxi #6                                        |
