+--------------------------+--------+--------------------+----------------------+--------------------+----------------------+
| ca_county                | d_year | web_q1_q2_increase | store_q1_q2_increase | web_q2_q3_increase | store_q2_q3_increase |
+--------------------------+--------+--------------------+----------------------+--------------------+----------------------+
| Amador County            | 2000   | 1.261721           | 0.772075             | 2.082217           | 2.024792             |
| Archer County            | 2000   | 0.846667           | 0.667197             | 2.497192           | 2.415058             |
| Cape May County          | 2000   | 0.861059           | 0.742089             | 2.450463           | 2.122233             |
| Crowley County           | 2000   | 0.576413           | 0.511212             | 3.392395           | 2.622238             |
| Glades County            | 2000   | 1.186472           | 0.878039             | 2.603439           | 2.184434             |
| Des Moines County        | 2000   | 1.286431           | 1.255542             | 1.729280           | 1.244019             |
| Williamsburg city        | 2000   | 1.465528           | 1.231963             | 1.806017           | 1.645635             |
| Allegany County          | 2000   | 1.349674           | 1.253295             | 1.811593           | 1.576784             |
| Bond County              | 2000   | 0.898968           | 0.818511             | 2.496022           | 2.033419             |
| Warrick County           | 2000   | 1.170754           | 1.124765             | 1.645331           | 1.556359             |
| Portage County           | 2000   | 1.327531           | 1.140280             | 1.657111           | 1.417519             |
| Casey County             | 2000   | 0.863071           | 0.840261             | 2.679208           | 1.668117             |
| McKenzie County          | 2000   | 0.952782           | 0.851083             | 1.972473           | 1.673689             |
| Golden Valley County     | 2000   | 0.911347           | 0.839358             | 2.009534           | 1.914588             |
| Washington County        | 2000   | 0.944056           | 0.894915             | 1.929690           | 1.852597             |
| Tehama County            | 2000   | 1.651629           | 0.723582             | 1.886677           | 1.720498             |
| Winston County           | 2000   | 1.079581           | 0.935098             | 1.900631           | 1.640040             |
| Culberson County         | 2000   | 0.970833           | 0.914736             | 1.851990           | 1.804503             |
| Seminole County          | 2000   | 1.036961           | 0.783893             | 1.949334           | 1.811033             |
| Pittsburg County         | 2000   | 2.134377           | 1.121959             | 1.654646           | 1.429497             |
| Gem County               | 2000   | 1.187992           | 0.946778             | 2.435282           | 1.417802             |
| Rappahannock County      | 2000   | 0.966814           | 0.874917             | 2.108187           | 1.878668             |
| Stone County             | 2000   | 0.890790           | 0.837153             | 2.072087           | 2.011150             |
| Colbert County           | 2000   | 1.136067           | 1.005545             | 2.002909           | 1.580437             |
| Nacogdoches County       | 2000   | 1.176928           | 0.766882             | 1.779131           | 1.613784             |
| Early County             | 2000   | 0.904058           | 0.768254             | 1.968171           | 1.872456             |
| Paulding County          | 2000   | 0.967523           | 0.872339             | 1.842486           | 1.812323             |
| Yakima County            | 2000   | 1.721337           | 1.188013             | 1.710066           | 1.530525             |
| Bristol County           | 2000   | 1.053853           | 0.826841             | 1.885942           | 1.722231             |
| Okfuskee County          | 2000   | 1.253335           | 1.026114             | 1.423440           | 1.395025             |
| Bureau County            | 2000   | 1.139370           | 0.733140             | 2.690190           | 1.855899             |
| Denali Borough           | 2000   | 0.941144           | 0.920953             | 2.610536           | 1.415030             |
| Eureka County            | 2000   | 1.320160           | 0.775771             | 1.856941           | 1.397091             |
| Iberia Parish            | 2000   | 1.236089           | 0.937677             | 4.044028           | 1.187834             |
| Vernon Parish            | 2000   | 1.610487           | 0.889476             | 2.456759           | 1.855556             |
| Norman County            | 2000   | 0.860330           | 0.736182             | 2.950542           | 2.271247             |
| Ziebach County           | 2000   | 1.551614           | 0.868853             | 2.226118           | 1.493046             |
| Athens County            | 2000   | 1.494562           | 0.987518             | 1.535139           | 1.420166             |
| Pine County              | 2000   | 0.838576           | 0.749804             | 2.391897           | 2.310313             |
| Runnels County           | 2000   | 1.296852           | 0.970445             | 2.125716           | 1.965362             |
| Kitsap County            | 2000   | 1.071586           | 0.900748             | 2.005556           | 1.872357             |
| Atkinson County          | 2000   | 1.310968           | 0.981963             | 2.513096           | 1.840418             |
| Modoc County             | 2000   | 1.350791           | 0.812362             | 1.606647           | 1.352741             |
| DeBaca County            | 2000   | 1.773507           | 0.997006             | 2.748851           | 1.814371             |
| Luna County              | 2000   | 1.583429           | 1.201804             | 1.717695           | 1.458435             |
| Clarendon County         | 2000   | 1.270476           | 0.592640             | 1.546420           | 1.410153             |
| Faribault County         | 2000   | 0.854863           | 0.750256             | 1.908362           | 1.660808             |
