+---------+------------+-----------+-------------+----------------+------------------+
| item_sk | d_date     | web_sales | store_sales | web_cumulative | store_cumulative |
+---------+------------+-----------+-------------+----------------+------------------+
| 3       | 2001-01-01 | 169.89    | 72.53       | 169.89         | 72.53            |
| 3       | 2001-01-02 | 227.55    | 97.55       | 227.55         | 97.55            |
| 3       | 2001-01-03 | 229.23    | NULL        | 229.23         | 97.55            |
| 3       | 2001-01-05 | 262.62    | 239.78      | 262.62         | 239.78           |
| 11      | 2001-01-01 | 123.32    | 67.94       | 123.32         | 67.94            |
| 11      | 2001-01-02 | 216.51    | NULL        | 216.51         | 67.94            |
| 11      | 2001-01-04 | NULL      | 102.31      | 216.51         | 102.31           |
| 11      | 2001-01-05 | 224.59    | NULL        | 224.59         | 102.31           |
| 11      | 2001-01-06 | NULL      | 202.69      | 224.59         | 202.69           |
| 11      | 2001-01-14 | 481.43    | NULL        | 481.43         | 452.73           |
| 11      | 2001-01-15 | 615.52    | 515.50      | 615.52         | 515.50           |
| 11      | 2001-01-16 | NULL      | 559.18      | 615.52         | 559.18           |
| 15      | 2001-01-01 | 136.23    | 29.33       | 136.23         | 29.33            |
| 15      | 2001-01-03 | NULL      | 60.20       | 136.23         | 60.20            |
| 21      | 2001-01-01 | 238.95    | 131.45      | 238.95         | 131.45           |
| 21      | 2001-01-02 | NULL      | 177.27      | 238.95         | 177.27           |
| 21      | 2001-01-04 | 334.18    | NULL        | 334.18         | 177.27           |
| 23      | 2001-01-01 | 240.78    | 203.51      | 240.78         | 203.51           |
| 27      | 2001-01-01 | 146.28    | 1.64        | 146.28         | 1.64             |
| 27      | 2001-01-03 | NULL      | 9.09        | 146.28         | 9.09             |
| 27      | 2001-01-04 | 185.02    | NULL        | 185.02         | 9.09             |
| 27      | 2001-01-05 | NULL      | 80.15       | 185.02         | 80.15            |
| 27      | 2001-01-06 | NULL      | 138.26      | 185.02         | 138.26           |
| 41      | 2001-01-01 | 185.20    | 113.57      | 185.20         | 113.57           |
| 41      | 2001-01-02 | NULL      | 138.54      | 185.20         | 138.54           |
| 41      | 2001-01-03 | NULL      | 164.24      | 185.20         | 164.24           |
| 41      | 2001-01-04 | 289.84    | 169.44      | 289.84         | 169.44           |
| 41      | 2001-01-05 | NULL      | 176.75      | 289.84         | 176.75           |
| 41      | 2001-01-06 | NULL      | 284.38      | 289.84         | 284.38           |
| 47      | 2001-01-01 | 44.51     | 10.64       | 44.51          | 10.64            |
| 47      | 2001-01-02 | 96.42     | 61.59       | 96.42          | 61.59            |
| 49      | 2001-01-02 | 178.62    | 162.92      | 178.62         | 162.92           |
| 49      | 2001-01-03 | NULL      | 172.49      | 178.62         | 172.49           |
| 59      | 2001-01-01 | 38.42     | 26.62       | 38.42          | 26.62            |
| 59      | 2001-01-04 | 277.41    | NULL        | 277.41         | 258.00           |
| 59      | 2001-01-06 | 308.84    | NULL        | 308.84         | 258.00           |
| 59      | 2001-01-07 | 445.90    | 266.05      | 445.90         | 266.05           |
| 59      | 2001-01-08 | NULL      | 408.43      | 445.90         | 408.43           |
| 71      | 2001-01-03 | 212.17    | NULL        | 212.17         | 166.26           |
| 83      | 2001-01-03 | NULL      | 43.25       | 137.21         | 43.25            |
| 83      | 2001-01-04 | NULL      | 115.76      | 137.21         | 115.76           |
| 83      | 2001-01-05 | NULL      | 121.17      | 137.21         | 121.17           |
| 87      | 2001-01-01 | 170.81    | 78.52       | 170.81         | 78.52            |
| 87      | 2001-01-02 | 338.38    | NULL        | 338.38         | 78.52            |
| 87      | 2001-01-03 | 370.11    | 243.35      | 370.11         | 243.35           |
| 87      | 2001-01-04 | NULL      | 250.58      | 370.11         | 250.58           |
| 87      | 2001-01-05 | NULL      | 295.08      | 370.11         | 295.08           |
| 87      | 2001-01-06 | 472.94    | 367.82      | 472.94         | 367.82           |
| 87      | 2001-01-07 | NULL      | 382.29      | 472.94         | 382.29           |
| 87      | 2001-01-09 | NULL      | 443.59      | 472.94         | 443.59           |
| 87      | 2001-01-10 | NULL      | 461.72      | 472.94         | 461.72           |
| 91      | 2001-01-02 | 111.27    | NULL        | 111.27         | 106.02           |
| 91      | 2001-01-06 | 316.25    | 296.55      | 316.25         | 296.55           |
| 97      | 2001-01-01 | 69.89     | 27.08       | 69.89          | 27.08            |
| 97      | 2001-01-02 | 136.46    | NULL        | 136.46         | 27.08            |
| 97      | 2001-01-03 | 172.41    | 137.09      | 172.41         | 137.09           |
| 97      | 2001-01-05 | 279.95    | 156.43      | 279.95         | 156.43           |
| 97      | 2001-01-06 | 311.12    | NULL        | 311.12         | 156.43           |
| 97      | 2001-01-07 | 329.86    | NULL        | 329.86         | 156.43           |
| 97      | 2001-01-08 | NULL      | 224.00      | 329.86         | 224.00           |
| 97      | 2001-01-09 | NULL      | 317.71      | 329.86         | 317.71           |
| 97      | 2001-01-10 | NULL      | 328.28      | 329.86         | 328.28           |
| 107     | 2001-01-03 | 230.76    | 219.71      | 230.76         | 219.71           |
| 121     | 2001-01-01 | 138.72    | 67.67       | 138.72         | 67.67            |
| 121     | 2001-01-03 | 203.25    | 180.87      | 203.25         | 180.87           |
| 121     | 2001-01-04 | 421.83    | 226.49      | 421.83         | 226.49           |
| 121     | 2001-01-05 | 486.59    | 358.62      | 486.59         | 358.62           |
| 121     | 2001-01-07 | NULL      | 421.22      | 486.59         | 421.22           |
| 121     | 2001-01-08 | NULL      | 429.09      | 486.59         | 429.09           |
| 121     | 2001-01-10 | 596.78    | 502.77      | 596.78         | 502.77           |
