+---------------+--------+-------+-------------------+-----------+-----------+-----------+
| cc_name       | d_year | d_moy | avg_monthly_sales | sum_sales | psum      | nsum      |
+---------------+--------+-------+-------------------+-----------+-----------+-----------+
| NY Metro      | 2000   | 6     | 183940.202500     | 98766.86  | 106109.35 | 112273.59 |
| North Midwest | 2000   | 2     | 182375.350000     | 97587.34  | 105980.82 | 110959.11 |
| NY Metro      | 2000   | 4     | 180318.798333     | 96353.11  | 110922.58 | 100302.08 |
| NY Metro      | 2000   | 2     | 180318.798333     | 97017.09  | 104898.56 | 110922.58 |
| Mid Atlantic  | 2000   | 4     | 179707.271667     | 97004.02  | 99785.47  | 106159.58 |
| North Midwest | 2000   | 5     | 177278.280833     | 94742.77  | 103505.27 | 104253.80 |
| North Midwest | 2000   | 2     | 177278.280833     | 95039.19  | 105017.57 | 102731.25 |
| Mid Atlantic  | 2000   | 4     | 182235.525833     | 100766.17 | 108424.71 | 107626.45 |
| Mid Atlantic  | 2000   | 2     | 173291.079167     | 92364.57  | 101649.27 | 100643.80 |
| NY Metro      | 2000   | 2     | 179574.395833     | 98717.86  | 103787.70 | 103509.42 |
| North Midwest | 2000   | 6     | 182375.350000     | 101529.93 | 102389.86 | 107411.87 |
| Mid Atlantic  | 2000   | 2     | 171265.950000     | 90708.09  | 97253.38  | 99583.66  |
| Mid Atlantic  | 2000   | 2     | 179707.271667     | 99263.89  | 108186.81 | 99785.47  |
| NY Metro      | 2000   | 4     | 183940.202500     | 103529.98 | 107200.07 | 106109.35 |
| Mid Atlantic  | 2000   | 2     | 167195.666667     | 86793.31  | 96526.21  | 101239.50 |
| North Midwest | 2000   | 2     | 170184.637500     | 90148.61  | 100313.15 | 104082.60 |
| North Midwest | 2000   | 2     | 179811.273333     | 99790.51  | 102742.67 | 106159.30 |
| NY Metro      | 2000   | 5     | 180318.798333     | 100302.08 | 96353.11  | 104185.85 |
| North Midwest | 2000   | 5     | 182375.350000     | 102389.86 | 108660.20 | 101529.93 |
| Mid Atlantic  | 2000   | 3     | 179707.271667     | 99785.47  | 99263.89  | 97004.02  |
| North Midwest | 2000   | 1     | 174698.382500     | 94911.66  | 175692.90 | 97026.22  |
| North Midwest | 2000   | 7     | 179811.273333     | 100277.81 | 105598.02 | 235237.04 |
| North Midwest | 2000   | 4     | 172933.014167     | 93583.10  | 105327.42 | 99191.66  |
| NY Metro      | 2000   | 5     | 179574.395833     | 100305.33 | 102820.98 | 106349.26 |
| Mid Atlantic  | 2000   | 7     | 182235.525833     | 103132.39 | 106910.16 | 245121.15 |
| NY Metro      | 2000   | 2     | 172116.630833     | 93039.71  | 101391.23 | 103517.93 |
| NY Metro      | 2000   | 2     | 173743.135833     | 94710.22  | 100370.09 | 100335.67 |
| Mid Atlantic  | 2000   | 2     | 170753.640000     | 91849.97  | 95632.07  | 100268.08 |
| North Midwest | 2000   | 2     | 169208.730000     | 90346.31  | 95975.96  | 100134.24 |
