+-----------------+------+---------------+--------------+----------------+
| channel         | id   | sales         | returns      | profit         |
+-----------------+------+---------------+--------------+----------------+
| catalog channel | 1    | 2693333668.00 | 43089195.86  | -298195388.38  |
| catalog channel | 2    | 2726693324.88 | 43089195.86  | -298677552.98  |
| catalog channel | 4    | 2710459277.44 | 43089195.86  | -301106322.10  |
| catalog channel | NULL | 8140823780.92 | 172356783.44 | -925480059.48  |
| catalog channel | NULL | 10337510.60   | 43089195.86  | -27500796.02   |
| store channel   | 1    | 87097112.87   | 2266191.48   | -39901730.40   |
| store channel   | 2    | 89656777.82   | 2139120.01   | -39468038.27   |
| store channel   | 4    | 88675066.42   | 2246019.08   | -39897732.95   |
| store channel   | 7    | 89769390.78   | 2055028.01   | -40769543.04   |
| store channel   | 8    | 89494338.56   | 2202784.83   | -40439541.62   |
| store channel   | 10   | 86838757.44   | 2044565.04   | -38945107.85   |
| store channel   | 13   | 89480151.72   | 2186471.11   | -39805061.81   |
| store channel   | 14   | 86851391.33   | 2219463.91   | -38571325.08   |
| store channel   | 16   | 87312472.93   | 2228646.43   | -39141777.71   |
| store channel   | 19   | 85601576.52   | 2183616.25   | -38152023.26   |
| store channel   | 20   | 90051951.42   | 2128987.64   | -41128406.75   |
| store channel   | 22   | 86224068.42   | 2234765.05   | -39786732.82   |
| store channel   | 25   | 88387300.79   | 2219284.56   | -39374969.06   |
| store channel   | 26   | 88256574.86   | 2255121.58   | -40019586.39   |
| store channel   | 28   | 87111074.69   | 2190748.78   | -39332968.80   |
| store channel   | 31   | 88694616.68   | 2352363.07   | -39765563.66   |
| store channel   | 32   | 90373760.85   | 2258016.95   | -40914351.56   |
| store channel   | 34   | 88517572.08   | 2234365.61   | -39583748.52   |
| store channel   | 37   | 89173934.41   | 2131321.42   | -39586476.92   |
| store channel   | 38   | 91119070.09   | 2283365.41   | -40528423.10   |
| store channel   | 40   | 86551966.01   | 2317950.84   | -39050434.12   |
| store channel   | 43   | 87410994.11   | 2143247.84   | -39061791.18   |
| store channel   | 44   | 88174639.99   | 2408353.89   | -39635831.10   |
| store channel   | 46   | 89314437.87   | 2170540.87   | -40628082.03   |
| store channel   | 49   | 87778712.62   | 2331242.91   | -40525046.12   |
| store channel   | 50   | 90701611.33   | 2047712.05   | -39766273.92   |
| store channel   | 52   | 89640864.73   | 2176857.46   | -40485624.54   |
| store channel   | 55   | 88317969.74   | 2204107.15   | -40018265.73   |
| store channel   | 56   | 89696546.27   | 2215280.27   | -40460620.41   |
| store channel   | 58   | 89309131.70   | 2237720.64   | -39866641.16   |
| store channel   | 61   | 87587814.63   | 2224102.77   | -39632698.36   |
| store channel   | 62   | 88114639.54   | 2113851.74   | -39218310.67   |
| store channel   | NULL | 2831286289.22 | 70651214.65  | -1273462728.91 |
| web channel     | 1    | 5334597.87    | 87752.05     | -523500.74     |
| web channel     | 2    | 5404907.19    | 79008.39     | -759966.07     |
| web channel     | 4    | 5572781.36    | 63188.66     | -603000.82     |
| web channel     | 7    | 5568606.11    | 103614.24    | -685414.61     |
| web channel     | 8    | 5800794.45    | 59906.94     | -511488.62     |
| web channel     | 10   | 5445927.42    | 71121.56     | -664102.04     |
| web channel     | 13   | 5698731.35    | 89830.67     | -622615.88     |
| web channel     | 14   | 5857272.97    | 97059.05     | -604779.03     |
| web channel     | 16   | 5836672.13    | 74443.67     | -568196.95     |
| web channel     | 19   | 5657638.96    | 57696.35     | -751693.99     |
| web channel     | 20   | 5781754.72    | 54194.61     | -623116.60     |
| web channel     | 22   | 5496816.34    | 91238.24     | -582619.82     |
| web channel     | 25   | 5649691.03    | 79924.11     | -778657.43     |
| web channel     | 26   | 5601866.42    | 77374.83     | -815414.69     |
| web channel     | 28   | 5293635.77    | 87216.47     | -732273.27     |
| web channel     | 31   | 5494062.40    | 62604.92     | -633872.69     |
| web channel     | 32   | 5214287.36    | 77995.86     | -448801.27     |
| web channel     | 34   | 5591345.64    | 67619.17     | -665268.66     |
| web channel     | 37   | 5601702.57    | 82330.00     | -618705.31     |
| web channel     | 38   | 5730705.12    | 64834.71     | -399008.62     |
| web channel     | 40   | 5330174.85    | 83982.94     | -662011.33     |
| web channel     | 43   | 5326453.29    | 79834.74     | -832674.29     |
| web channel     | 44   | 5617943.99    | 67811.18     | -462097.87     |
| web channel     | 46   | 5477997.54    | 75048.46     | -521941.32     |
| web channel     | 49   | 5440795.60    | 98734.21     | -537827.14     |
| web channel     | 50   | 5765662.69    | 99516.25     | -549687.92     |
| web channel     | 52   | 5797882.66    | 76038.66     | -595876.17     |
| web channel     | 55   | 5478185.69    | 53138.53     | -583889.41     |
| web channel     | 56   | 5737059.46    | 81300.35     | -460717.02     |
| web channel     | 58   | 5456854.28    | 75132.42     | -645420.70     |
| web channel     | 61   | 5817607.19    | 85200.31     | -593767.84     |
| web channel     | 62   | 5702041.56    | 81126.40     | -805625.90     |
| web channel     | 64   | 5512697.15    | 55284.07     | -684054.82     |
| web channel     | 67   | 5975886.84    | 67887.24     | -578002.64     |
| web channel     | 68   | 5475265.20    | 109180.92    | -563356.74     |
| web channel     | 70   | 5735356.63    | 50383.84     | -541006.86     |
| web channel     | 73   | 5590343.47    | 62360.54     | -657756.00     |
| web channel     | 74   | 5848597.52    | 68978.59     | -551894.14     |
| web channel     | 76   | 5466003.74    | 82482.79     | -767587.94     |
| web channel     | 79   | 5820626.88    | 90951.06     | -439749.50     |
| web channel     | 80   | 5612881.51    | 87422.42     | -492618.36     |
| web channel     | 82   | 5795761.35    | 76009.58     | -520846.83     |
| web channel     | 85   | 5819211.60    | 67124.31     | -416782.88     |
| web channel     | 86   | 5604896.47    | 85241.99     | -731689.48     |
| web channel     | 88   | 5584113.23    | 122541.60    | -545577.46     |
| web channel     | 91   | 5725491.24    | 77366.13     | -535385.23     |
| web channel     | 92   | 5913118.84    | 92667.82     | -488029.41     |
| web channel     | 94   | 5547159.19    | 97195.35     | -674089.41     |
| web channel     | 97   | 5350608.05    | 71364.04     | -483403.02     |
| web channel     | 98   | 5436150.73    | 119875.84    | -782166.05     |
| web channel     | 100  | 5801911.88    | 79639.88     | -636564.54     |
| web channel     | 103  | 5418839.53    | 85651.07     | -572970.74     |
| web channel     | 104  | 5305691.06    | 60565.56     | -678862.65     |
| web channel     | 106  | 5810734.00    | 83514.80     | -685529.38     |
| web channel     | 109  | 5412242.55    | 80784.94     | -463574.16     |
| web channel     | 110  | 5338536.83    | 80945.57     | -504215.32     |
| web channel     | 112  | 5544135.64    | 102129.38    | -644365.69     |
| web channel     | 115  | 5542577.54    | 74831.56     | -721528.12     |
| web channel     | 116  | 5705436.18    | 78642.68     | -440839.46     |
| web channel     | 118  | 5502660.04    | 77311.73     | -716062.63     |
| web channel     | 121  | 5671712.25    | 89682.03     | -562983.67     |
| web channel     | 122  | 5701098.95    | 69584.78     | -719493.96     |
+-----------------+------+---------------+--------------+----------------+
