+-----------------+------------------------------+-----------+----------+------------+
| channel         | id                           | sales     | returns  | profit     |
+-----------------+------------------------------+-----------+----------+------------+
| catalog channel | catalog_pageAAAAAAAAAABAAAAA | 239956.27 | 12878.75 | -66727.11  |
| catalog channel | catalog_pageAAAAAAAAAADAAAAA | 196396.15 | 8340.59  | -48413.88  |
| catalog channel | catalog_pageAAAAAAAAABBAAAAA | 244821.69 | 14465.56 | -14739.92  |
| catalog channel | catalog_pageAAAAAAAAABDAAAAA | 228627.15 | 5768.38  | -51851.26  |
| catalog channel | catalog_pageAAAAAAAAACBAAAAA | 207995.82 | 24997.37 | -59272.82  |
| catalog channel | catalog_pageAAAAAAAAACDAAAAA | 264259.96 | 14241.22 | -22205.21  |
| catalog channel | catalog_pageAAAAAAAAADBAAAAA | 258982.46 | 16824.17 | -34411.79  |
| catalog channel | catalog_pageAAAAAAAAADDAAAAA | 254596.57 | 14886.21 | -18723.54  |
| catalog channel | catalog_pageAAAAAAAAAEBAAAAA | 275961.19 | 18848.21 | -52685.77  |
| catalog channel | catalog_pageAAAAAAAAAEDAAAAA | 212060.25 | 5994.02  | -85706.56  |
| catalog channel | catalog_pageAAAAAAAAAFDAAAAA | 210697.31 | 10005.32 | -36940.22  |
| catalog channel | catalog_pageAAAAAAAAAGDAAAAA | 268352.68 | 9848.58  | -25297.09  |
| catalog channel | catalog_pageAAAAAAAAAHAAAAAA | 518543.85 | 6643.29  | -87285.03  |
| catalog channel | catalog_pageAAAAAAAAAIAAAAAA | 479429.57 | 17935.39 | -53861.03  |
| catalog channel | catalog_pageAAAAAAAAAJAAAAAA | 484647.38 | 10115.15 | -110121.14 |
| catalog channel | catalog_pageAAAAAAAAAJCAAAAA | 59128.76  | 0.00     | 272.77     |
| catalog channel | catalog_pageAAAAAAAAAKAAAAAA | 527451.62 | 40609.73 | -80687.99  |
| catalog channel | catalog_pageAAAAAAAAAKCAAAAA | 10559.73  | 1751.36  | -8148.24   |
| catalog channel | catalog_pageAAAAAAAAALAAAAAA | 457427.43 | 10331.49 | -71649.79  |
| catalog channel | catalog_pageAAAAAAAAALCAAAAA | 10880.69  | 1309.25  | -13742.64  |
| catalog channel | catalog_pageAAAAAAAAAMAAAAAA | 567838.90 | 32349.70 | -53777.45  |
| catalog channel | catalog_pageAAAAAAAAAMCAAAAA | 31527.56  | 861.64   | 11288.39   |
| catalog channel | catalog_pageAAAAAAAAANAAAAAA | 477023.06 | 22339.60 | -106660.52 |
| catalog channel | catalog_pageAAAAAAAAANCAAAAA | 35132.08  | 0.00     | -6377.38   |
| catalog channel | catalog_pageAAAAAAAAAOAAAAAA | 300065.01 | 8790.20  | -21912.65  |
| catalog channel | catalog_pageAAAAAAAAAOCAAAAA | 27293.15  | 0.00     | -1500.74   |
| catalog channel | catalog_pageAAAAAAAAAPAAAAAA | 288122.94 | 28629.65 | -20278.86  |
| catalog channel | catalog_pageAAAAAAAAAPCAAAAA | 36142.54  | 288.72   | 7499.31    |
| catalog channel | catalog_pageAAAAAAAABABAAAAA | 316474.39 | 16597.41 | -24338.24  |
| catalog channel | catalog_pageAAAAAAAABADAAAAA | 255247.83 | 20585.21 | -25903.04  |
| catalog channel | catalog_pageAAAAAAAABBBAAAAA | 316413.13 | 11275.75 | -33876.31  |
| catalog channel | catalog_pageAAAAAAAABBDAAAAA | 222155.53 | 17568.77 | -37479.37  |
| catalog channel | catalog_pageAAAAAAAABCBAAAAA | 295417.24 | 11585.62 | -4435.03   |
| catalog channel | catalog_pageAAAAAAAABCDAAAAA | 219981.84 | 12440.33 | -50860.69  |
| catalog channel | catalog_pageAAAAAAAABDBAAAAA | 281963.76 | 29519.24 | -16150.71  |
| catalog channel | catalog_pageAAAAAAAABDDAAAAA | 246446.60 | 13153.06 | -3116.29   |
| catalog channel | catalog_pageAAAAAAAABEBAAAAA | 258514.68 | 12763.75 | -91722.42  |
| catalog channel | catalog_pageAAAAAAAABEDAAAAA | 235519.67 | 7642.01  | -12440.52  |
| catalog channel | catalog_pageAAAAAAAABFDAAAAA | 226650.38 | 923.00   | -12020.47  |
| catalog channel | catalog_pageAAAAAAAABHAAAAAA | 559032.67 | 31423.79 | -79315.05  |
| catalog channel | catalog_pageAAAAAAAABIAAAAAA | 483465.71 | 17703.28 | -78471.58  |
| catalog channel | catalog_pageAAAAAAAABJAAAAAA | 559287.52 | 18866.18 | -41255.96  |
| catalog channel | catalog_pageAAAAAAAABJCAAAAA | 48876.22  | 1674.98  | 6911.14    |
| catalog channel | catalog_pageAAAAAAAABKAAAAAA | 601703.34 | 31930.53 | 18050.67   |
| catalog channel | catalog_pageAAAAAAAABKCAAAAA | 17073.52  | 1093.12  | -6625.89   |
| catalog channel | catalog_pageAAAAAAAABLAAAAAA | 432948.57 | 30403.31 | -52138.69  |
| catalog channel | catalog_pageAAAAAAAABLCAAAAA | 18744.76  | 3419.52  | -9222.22   |
