+----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------+
| brand_id | brand                                              | i_manufact_id | i_manufact                                         | ext_price |
+----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------+
| 1004001  | edu packamalg #1                                   | 311           | oughtoughtpri                                      | 457898.39 |
| 6005002  | scholarcorp #2                                     | 164           | esecallyought                                      | 352576.23 |
| 3001001  | amalgexporti #1                                    | 30            | barpri                                             | 351321.66 |
| 8001003  | amalgnameless #3                                   | 378           | eingationpri                                       | 341735.21 |
| 7004008  | edu packbrand #8                                   | 292           | ablen stable                                       | 339503.85 |
| 9001003  | amalgmaxi #3                                       | 230           | barpriable                                         | 333661.18 |
| 7001009  | amalgbrand #9                                      | 235           | antipriable                                        | 333214.72 |
| 6010005  | univbrand #5                                       | 580           | bareinganti                                        | 333113.07 |
| 1003001  | exportiamalg #1                                    | 324           | eseablepri                                         | 324901.73 |
| 10006010 | corpunivamalg #10                                  | 88            | eingeing                                           | 324311.38 |
| 8016005  | corpmaxi #5                                        | 49            | n stese                                            | 323371.70 |
| 9009005  | maximaxi #5                                        | 310           | baroughtpri                                        | 320962.11 |
| 9015009  | scholarunivamalg #9                                | 597           | ationn stanti                                      | 320614.53 |
| 3001001  | amalgexporti #1                                    | 18            | eingought                                          | 317908.44 |
| 3001002  | amalgexporti #2                                    | 240           | bareseable                                         | 314025.64 |
| 5003001  | exportischolar #1                                  | 266           | callycallyable                                     | 313779.01 |
| 8011007  | amalgmaxi #7                                       | 291           | oughtn stable                                      | 310396.13 |
| 4001001  | amalgedu pack #1                                   | 160           | barcallyought                                      | 309756.86 |
| 7007007  | brandbrand #7                                      | 571           | oughtationanti                                     | 309548.12 |
| 5001001  | amalgscholar #1                                    | 40            | barese                                             | 309064.53 |
| 4001002  | amalgedu pack #2                                   | 344           | eseesepri                                          | 308283.75 |
| 10013001 | exportiamalgamalg #1                               | 262           | ablecallyable                                      | 308166.71 |
| 10013010 | exportiamalgamalg #10                              | 297           | ationn stable                                      | 307386.52 |
| 2002002  | importoimporto #2                                  | 608           | eingbarcally                                       | 307303.17 |
| 1003002  | exportiamalg #2                                    | 701           | oughtbaration                                      | 307257.02 |
| 1001002  | amalgamalg #2                                      | 105           | antibarought                                       | 305674.85 |
| 2001002  | amalgimporto #2                                    | 110           | baroughtought                                      | 304816.97 |
| 4004002  | edu packedu pack #2                                | 297           | ationn stable                                      | 304102.34 |
| 7005009  | scholarbrand #9                                    | 642           | ableesecally                                       | 304066.05 |
| 4001001  | amalgedu pack #1                                   | 609           | n stbarcally                                       | 303518.60 |
| 1004001  | edu packamalg #1                                   | 462           | ablecallyese                                       | 303375.83 |
| 9004003  | edu packmaxi #3                                    | 28            | eingable                                           | 303075.44 |
