+------------------------+--------+--------------------+----------------------+--------------------+----------------------+
| ca_county              | d_year | web_q1_q2_increase | store_q1_q2_increase | web_q2_q3_increase | store_q2_q3_increase |
+------------------------+--------+--------------------+----------------------+--------------------+----------------------+
| Mobile County          | 2000   | 0.933284           | 0.678693             | 2.626774           | 2.099042             |
| Currituck County       | 2000   | 1.026557           | 0.713820             | 2.187322           | 2.178574             |
| Jersey County          | 2000   | 1.198617           | 0.819798             | 2.342979           | 1.906389             |
| Orleans Parish         | 2000   | 1.009448           | 0.983105             | 1.642641           | 1.495412             |
| Richland County        | 2000   | 1.035138           | 0.981504             | 1.625099           | 1.589719             |
| Pinal County           | 2000   | 1.089819           | 0.822109             | 2.228963           | 1.735901             |
| Morehouse Parish       | 2000   | 1.061774           | 0.979471             | 1.907288           | 1.585816             |
| Tulare County          | 2000   | 0.948270           | 0.912020             | 2.377955           | 1.576395             |
| Barnes County          | 2000   | 1.212652           | 1.016308             | 2.006988           | 1.685073             |
| Lonoke County          | 2000   | 0.958729           | 0.917627             | 2.182593           | 1.720533             |
| Elkhart County         | 2000   | 0.957915           | 0.944781             | 2.356796           | 1.816044             |
| Gregg County           | 2000   | 1.073969           | 0.792378             | 2.376212           | 2.268287             |
| Norfolk city           | 2000   | 1.116255           | 0.956947             | 2.017754           | 1.827201             |
| Mason County           | 2000   | 1.006542           | 0.962988             | 1.991965           | 1.796483             |
| Golden Valley County   | 2000   | 0.976444           | 0.951384             | 1.804705           | 1.783854             |
| Orleans County         | 2000   | 1.139388           | 1.035724             | 1.871611           | 1.615134             |
| Zapata County          | 2000   | 1.258281           | 0.833950             | 2.234075           | 2.025887             |
| Washington County      | 2000   | 0.979086           | 0.933690             | 1.898493           | 1.839516             |
| Phelps County          | 2000   | 0.993460           | 0.902822             | 2.305274           | 1.847018             |
| Augusta County         | 2000   | 1.001020           | 0.868127             | 1.780499           | 1.697604             |
| Marin County           | 2000   | 1.360786           | 1.150074             | 1.915021           | 1.647961             |
| Eddy County            | 2000   | 1.056622           | 0.923755             | 2.058136           | 1.669625             |
| Suffolk city           | 2000   | 0.874555           | 0.839990             | 2.817195           | 1.883668             |
| Dukes County           | 2000   | 1.130387           | 0.966344             | 1.984110           | 1.839158             |
| Routt County           | 2000   | 1.624691           | 0.962296             | 2.080151           | 1.835579             |
| Forsyth County         | 2000   | 1.066372           | 0.851855             | 2.005196           | 1.990880             |
| Calaveras County       | 2000   | 0.857625           | 0.844262             | 2.706493           | 1.781102             |
| McCone County          | 2000   | 1.184326           | 0.936531             | 2.078561           | 1.631267             |
| Concho County          | 2000   | 0.987709           | 0.939284             | 1.924182           | 1.713259             |
| San Saba County        | 2000   | 1.549952           | 0.910348             | 1.941566           | 1.915819             |
| Sweet Grass County     | 2000   | 0.955844           | 0.892714             | 2.151770           | 1.904568             |
| Esmeralda County       | 2000   | 1.761911           | 1.017840             | 2.667392           | 1.813693             |
| Waller County          | 2000   | 0.991475           | 0.775796             | 2.040439           | 1.891513             |
| Paulding County        | 2000   | 0.915023           | 0.808553             | 1.966310           | 1.865862             |
| Stanton County         | 2000   | 1.066365           | 0.850661             | 2.061152           | 1.785284             |
| Scott County           | 2000   | 1.012402           | 0.912866             | 1.927313           | 1.903489             |
| Addison County         | 2000   | 0.854991           | 0.832618             | 2.717810           | 2.010050             |
| Shannon County         | 2000   | 1.319141           | 0.955079             | 1.809283           | 1.764003             |
| San Luis Obispo County | 2000   | 1.402280           | 1.185374             | 2.258159           | 1.789030             |
| Baker County           | 2000   | 0.937687           | 0.888557             | 1.777062           | 1.761393             |
| Karnes County          | 2000   | 1.052377           | 0.808662             | 2.265395           | 2.191897             |
| Montezuma County       | 2000   | 1.327993           | 1.000116             | 1.660862           | 1.659771             |
| Cocke County           | 2000   | 0.851015           | 0.725027             | 2.669569           | 2.001919             |
| Atoka County           | 2000   | 1.685344           | 0.979709             | 1.893846           | 1.794419             |
| Forrest County         | 2000   | 1.000651           | 0.958511             | 2.247005           | 2.081916             |
| Lenawee County         | 2000   | 0.893887           | 0.832406             | 2.706432           | 1.950034             |
| Reeves County          | 2000   | 0.821827           | 0.736376             | 2.485988           | 2.102181             |
| Dixon County           | 2000   | 1.007333           | 0.910784             | 2.203894           | 2.012258             |
| Moffat County          | 2000   | 1.139438           | 1.126836             | 1.841965           | 1.392162             |
| Ransom County          | 2000   | 0.926631           | 0.905711             | 2.223784           | 1.901715             |
| Schleicher County      | 2000   | 0.899897           | 0.842160             | 1.736658           | 1.674026             |
| Kenosha County         | 2000   | 0.940192           | 0.910994             | 2.113634           | 1.840770             |
| Atlantic County        | 2000   | 1.377102           | 1.145117             | 1.717831           | 1.421134             |
| Lamar County           | 2000   | 1.048892           | 0.989135             | 1.989973           | 1.903323             |
| Pickett County         | 2000   | 0.953982           | 0.716837             | 2.354564           | 2.100938             |
| Clayton County         | 2000   | 1.055108           | 0.908025             | 1.853564           | 1.803470             |
| Knott County           | 2000   | 1.151085           | 1.136634             | 2.543142           | 1.617515             |
| Ray County             | 2000   | 1.304947           | 1.021071             | 1.704280           | 1.559620             |
| Schoharie County       | 2000   | 1.508104           | 0.917873             | 1.818209           | 1.792883             |
| Guilford County        | 2000   | 0.881767           | 0.809811             | 2.469425           | 1.686404             |
| Isabella County        | 2000   | 1.082974           | 0.874919             | 1.857827           | 1.590204             |
| Goliad County          | 2000   | 1.040446           | 0.999859             | 1.914640           | 1.865957             |
| Buena Vista city       | 2000   | 1.380134           | 1.006334             | 2.381080           | 1.487705             |
| Palo Alto County       | 2000   | 0.863197           | 0.796421             | 2.223162           | 2.222005             |
| Walton County          | 2000   | 0.960368           | 0.877530             | 1.799635           | 1.745007             |
| Baylor County          | 2000   | 0.893662           | 0.824173             | 2.761220           | 1.730549             |
| New London County      | 2000   | 1.167570           | 0.829006             | 2.094708           | 1.845918             |
| Ulster County          | 2000   | 1.332333           | 0.979880             | 1.961006           | 1.898851             |
| Yuba County            | 2000   | 0.871196           | 0.818141             | 2.078327           | 1.920388             |
| Lorain County          | 2000   | 1.032074           | 0.862550             | 1.866544           | 1.602416             |
| Louisa County          | 2000   | 1.157808           | 0.914690             | 1.580381           | 1.540849             |
| Tuscola County         | 2000   | 1.527369           | 1.148056             | 2.304400           | 1.741619             |
| Catoosa County         | 2000   | 1.193877           | 0.962792             | 2.289317           | 1.664182             |
| Kern County            | 2000   | 1.001443           | 0.809733             | 1.806950           | 1.783408             |
| Hart County            | 2000   | 1.921226           | 1.057988             | 1.619215           | 1.593199             |
| Van Zandt County       | 2000   | 1.035832           | 0.961161             | 2.275194           | 1.839479             |
| Ashe County            | 2000   | 0.984041           | 0.843876             | 2.067702           | 1.897098             |
| Bronx County           | 2000   | 1.221972           | 1.111398             | 2.082136           | 1.823746             |
| Meagher County         | 2000   | 1.136747           | 0.909428             | 1.720156           | 1.660814             |
| Chase County           | 2000   | 0.925151           | 0.803913             | 2.204517           | 2.026116             |
| Humboldt County        | 2000   | 1.076755           | 0.914227             | 2.013658           | 1.938842             |
| Pasco County           | 2000   | 1.251909           | 0.765742             | 2.344893           | 2.031488             |
| Laurel County          | 2000   | 0.882844           | 0.722877             | 2.574769           | 2.189616             |
| Pueblo County          | 2000   | 1.288717           | 1.000506             | 2.218578           | 1.594914             |
| Bristol city           | 2000   | 0.783660           | 0.633004             | 2.877842           | 2.414834             |
| Blue Earth County      | 2000   | 0.912819           | 0.725653             | 2.972472           | 1.996464             |
| Coffee County          | 2000   | 1.042530           | 0.824231             | 2.042589           | 1.889771             |
| Sanilac County         | 2000   | 0.810679           | 0.791510             | 2.349129           | 2.214452             |
| Livingston Parish      | 2000   | 1.285966           | 1.171562             | 1.668265           | 1.431774             |
| York County            | 2000   | 1.121016           | 1.020936             | 1.869393           | 1.730038             |
| Camas County           | 2000   | 1.190961           | 1.139350             | 2.119078           | 1.637734             |
| Leake County           | 2000   | 0.933644           | 0.835702             | 2.073434           | 1.877237             |
| McCracken County       | 2000   | 1.300474           | 0.902942             | 2.228302           | 1.891355             |
| Becker County          | 2000   | 1.051620           | 0.773772             | 2.079415           | 1.850715             |
| Lampasas County        | 2000   | 1.232083           | 0.802235             | 2.062717           | 1.870492             |
| Chenango County        | 2000   | 1.131415           | 1.043340             | 1.824570           | 1.400140             |
| Bedford County         | 2000   | 1.016486           | 0.943364             | 1.844905           | 1.772577             |
| Oregon County          | 2000   | 0.983915           | 0.962852             | 1.674397           | 1.598972             |
| King William County    | 2000   | 1.253913           | 0.951946             | 1.516666           | 1.495166             |
| Denver County          | 2000   | 1.848243           | 0.958181             | 1.777140           | 1.687590             |
| Winnebago County       | 2000   | 1.126387           | 1.119142             | 1.964236           | 1.761365             |
| Lee County             | 2000   | 1.057512           | 0.944132             | 1.816874           | 1.771562             |
| Turner County          | 2000   | 1.020056           | 0.945848             | 2.149003           | 1.880486             |
| Johnston County        | 2000   | 1.122557           | 0.929809             | 2.411392           | 1.895326             |
| Webb County            | 2000   | 1.502714           | 0.932747             | 2.254746           | 1.755113             |
| Green County           | 2000   | 1.106338           | 1.077976             | 2.306631           | 1.850802             |
| Rock County            | 2000   | 1.034149           | 0.899178             | 1.986918           | 1.952998             |
| Sumner County          | 2000   | 1.041338           | 0.804880             | 2.436978           | 2.019983             |
| Benzie County          | 2000   | 1.140474           | 1.095380             | 1.916884           | 1.816736             |
| Teller County          | 2000   | 0.805933           | 0.801303             | 2.277282           | 1.639103             |
| Kankakee County        | 2000   | 1.077034           | 0.967209             | 1.868706           | 1.630247             |
| Pushmataha County      | 2000   | 1.300442           | 1.124846             | 2.056571           | 1.705727             |
| Carson County          | 2000   | 0.969414           | 0.957411             | 2.081328           | 1.717946             |
| Poweshiek County       | 2000   | 1.770033           | 0.979433             | 2.138215           | 1.986293             |
