+--------------+----------------------------------------------------+----------------------------------------------------+--------------+--------------------+
| gross_margin | i_category                                         | i_class                                            | lochierarchy | rank_within_parent |
+--------------+----------------------------------------------------+----------------------------------------------------+--------------+--------------------+
| -0.433775    | NULL                                               | NULL                                               | 2            | 1                  |
| -0.435341    | Jewelry                                            | NULL                                               | 1            | 1                  |
| -0.434544    | Sports                                             | NULL                                               | 1            | 2                  |
| -0.434521    | NULL                                               | NULL                                               | 1            | 3                  |
| -0.434328    | Electronics                                        | NULL                                               | 1            | 4                  |
| -0.434022    | Women                                              | NULL                                               | 1            | 5                  |
| -0.433809    | Music                                              | NULL                                               | 1            | 6                  |
| -0.433511    | Home                                               | NULL                                               | 1            | 7                  |
| -0.433455    | Children                                           | NULL                                               | 1            | 8                  |
| -0.433189    | Books                                              | NULL                                               | 1            | 9                  |
| -0.432836    | Shoes                                              | NULL                                               | 1            | 10                 |
| -0.432684    | Men                                                | NULL                                               | 1            | 11                 |
| -0.438013    | Books                                              | cooking                                            | 0            | 1                  |
| -0.437490    | Books                                              | business                                           | 0            | 2                  |
| -0.434875    | Books                                              | science                                            | 0            | 3                  |
| -0.434359    | Books                                              | reference                                          | 0            | 4                  |
| -0.434133    | Books                                              | mystery                                            | 0            | 5                  |
| -0.433379    | Books                                              | self-help                                          | 0            | 6                  |
| -0.433347    | Books                                              | computers                                          | 0            | 7                  |
| -0.432701    | Books                                              | romance                                            | 0            | 8                  |
| -0.432613    | Books                                              | history                                            | 0            | 9                  |
| -0.432425    | Books                                              | parenting                                          | 0            | 10                 |
| -0.431936    | Books                                              | home repair                                        | 0            | 11                 |
| -0.431864    | Books                                              | entertainments                                     | 0            | 12                 |
| -0.431771    | Books                                              | travel                                             | 0            | 13                 |
| -0.431729    | Books                                              | fiction                                            | 0            | 14                 |
| -0.431487    | Books                                              | sports                                             | 0            | 15                 |
| -0.430770    | Books                                              | arts                                               | 0            | 16                 |
| -0.376934    | Books                                              | NULL                                               | 0            | 17                 |
| -0.434675    | Children                                           | infants                                            | 0            | 1                  |
| -0.434144    | Children                                           | toddlers                                           | 0            | 2                  |
| -0.432552    | Children                                           | school-uniforms                                    | 0            | 3                  |
| -0.432487    | Children                                           | newborn                                            | 0            | 4                  |
