+-----------------+------------------------------+------------+-----------+-------------+
| channel         | id                           | sales      | returns   | profit      |
+-----------------+------------------------------+------------+-----------+-------------+
| catalog channel | catalog_pageAAAAAAAAAABAAAAA | 4516164.14 | 40275.75  | -647485.77  |
| catalog channel | catalog_pageAAAAAAAAAACAAAAA | 0.00       | 26192.20  | -15723.59   |
| catalog channel | catalog_pageAAAAAAAAAADAAAAA | 3505243.83 | 0.00      | -413348.49  |
| catalog channel | catalog_pageAAAAAAAAABAAAAAA | 0.00       | 257769.98 | -151248.85  |
| catalog channel | catalog_pageAAAAAAAAABBAAAAA | 4448592.43 | 10433.11  | -572378.72  |
| catalog channel | catalog_pageAAAAAAAAABCAAAAA | 0.00       | 33014.02  | -15848.68   |
| catalog channel | catalog_pageAAAAAAAAABDAAAAA | 3409064.64 | 0.00      | -537066.51  |
| catalog channel | catalog_pageAAAAAAAAACAAAAAA | 0.00       | 204865.55 | -118720.14  |
| catalog channel | catalog_pageAAAAAAAAACBAAAAA | 4382130.99 | 27022.01  | -644939.54  |
| catalog channel | catalog_pageAAAAAAAAACCAAAAA | 0.00       | 4158.01   | -1411.25    |
| catalog channel | catalog_pageAAAAAAAAACDAAAAA | 3545829.31 | 0.00      | -367079.63  |
| catalog channel | catalog_pageAAAAAAAAADAAAAAA | 0.00       | 262172.70 | -149333.49  |
| catalog channel | catalog_pageAAAAAAAAADBAAAAA | 4910375.44 | 53799.71  | -390227.65  |
| catalog channel | catalog_pageAAAAAAAAADCAAAAA | 0.00       | 6975.35   | -5011.39    |
| catalog channel | catalog_pageAAAAAAAAADDAAAAA | 3773645.42 | 0.00      | -333793.15  |
| catalog channel | catalog_pageAAAAAAAAAEAAAAAA | 0.00       | 233952.78 | -137424.75  |
| catalog channel | catalog_pageAAAAAAAAAEBAAAAA | 4505851.10 | 24439.04  | -456306.48  |
| catalog channel | catalog_pageAAAAAAAAAECAAAAA | 0.00       | 6428.82   | -1987.28    |
| catalog channel | catalog_pageAAAAAAAAAEDAAAAA | 3659400.46 | 0.00      | -412613.15  |
