+--------------+--------------+-----------------+-----------------+-----------------+----------------+----------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
| s_store_name | s_company_id | s_street_number | s_street_name   | s_street_type   | s_suite_number | s_city         | s_county          | s_state | s_zip      | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
+--------------+--------------+-----------------+-----------------+-----------------+----------------+----------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
| able         | 1            | 128             | 15th            | RD              | Suite T        | Oak Grove      | Walker County     | AL      | 38370      | 497     | 359        | 228        | 253         | 436       |
| able         | 1            | 228             | Cherry          | Avenue          | Suite G        | Oak Grove      | Walker County     | AL      | 38370      | 446     | 359        | 251        | 216         | 436       |
| able         | 1            | 255             | Sycamore        | Dr.             | Suite 410      | Riverside      | Ziebach County    | SD      | 59231      | 434     | 343        | 202        | 205         | 409       |
| able         | 1            | 300             | Forest          | Lane            | Suite 230      | Fairview       | Walker County     | AL      | 35709      | 447     | 355        | 209        | 200         | 452       |
| able         | 1            | 302             | Walnut Madison  | Wy              | Suite T        | Oak Grove      | Ziebach County    | SD      | 58370      | 495     | 358        | 219        | 228         | 442       |
| able         | 1            | 441             | 11th            | ST              | Suite H        | Pleasant Hill  | Williamson County | TN      | 33604      | 482     | 351        | 221        | 219         | 424       |
| able         | 1            | 479             | Park First      | Lane            | Suite 20       | Riverside      | Walker County     | AL      | 39231      | 435     | 348        | 204        | 206         | 420       |
| able         | 1            | 543             | West Elm        | Ln              | Suite A        | Oak Grove      | Walker County     | AL      | 38370      | 425     | 339        | 219        | 204         | 432       |
| able         | 1            | 557             | Elevnth 7th     | Pkwy            | Suite L        | Oak Grove      | Walker County     | AL      | 38370      | 476     | 375        | 225        | 237         | 450       |
| able         | 1            | 722             | Railroad Spring | Ct.             | Suite M        | Pleasant Hill  | Ziebach County    | SD      | 53604      | 451     | 334        | 216        | 204         | 441       |
| anti         | 1            | 192             | 5th Highland    | Blvd            | Suite N        | Riverside      | Williamson County | TN      | 39231      | 460     | 338        | 208        | 198         | 456       |
| anti         | 1            | 321             | 11th            | Parkway         | Suite G        | Five Points    | Walker County     | AL      | 36098      | 459     | 372        | 239        | 211         | 449       |
| anti         | 1            | 735             | Walnut          | Blvd            | Suite 360      | Midway         | Walker County     | AL      | 31904      | 466     | 361        | 215        | 206         | 440       |
| anti         | 1            | 897             | Ash Oak         | Circle          | Suite T        | Mount Pleasant | Williamson County | TN      | 31933      | 477     | 348        | 230        | 213         | 395       |
| ation        | 1            | 19              | Fourth          | Boulevard       | Suite N        | Mount Pleasant | Walker County     | AL      | 31933      | 489     | 365        | 220        | 190         | 450       |
| ation        | 1            | 213             | 8th             | Road            | Suite 490      | Oak Grove      | Williamson County | TN      | 38370      | 433     | 371        | 202        | 239         | 453       |
| ation        | 1            | 421             | 12th Center     | Avenue          | Suite J        | Oak Grove      | Williamson County | TN      | 38370      | 461     | 353        | 245        | 189         | 456       |
