+---------------------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------+
| substr(w_warehouse_name, 1, 20) | sm_type                        | web_name | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
+---------------------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------+
| Bad cards must make.            | EXPRESS                        | site_0   | 12777   | 12803      | 12741      | 12800       | 0         |
| Bad cards must make.            | EXPRESS                        | site_1   | 12694   | 12668      | 12756      | 12866       | 0         |
| Bad cards must make.            | EXPRESS                        | site_2   | 12737   | 12986      | 12871      | 12778       | 0         |
| Bad cards must make.            | EXPRESS                        | site_3   | 12850   | 12803      | 12625      | 12753       | 0         |
| Bad cards must make.            | LIBRARY                        | site_0   | 9641    | 9475       | 9730       | 9498        | 0         |
| Bad cards must make.            | LIBRARY                        | site_1   | 9493    | 9754       | 9726       | 9532        | 0         |
| Bad cards must make.            | LIBRARY                        | site_2   | 9557    | 9699       | 9487       | 9537        | 0         |
| Bad cards must make.            | LIBRARY                        | site_3   | 9411    | 9541       | 9707       | 9629        | 0         |
| Bad cards must make.            | NEXT DAY                       | site_0   | 12824   | 12739      | 12915      | 12779       | 0         |
| Bad cards must make.            | NEXT DAY                       | site_1   | 12769   | 12662      | 12796      | 12894       | 0         |
| Bad cards must make.            | NEXT DAY                       | site_2   | 12652   | 12714      | 12963      | 12691       | 0         |
| Bad cards must make.            | NEXT DAY                       | site_3   | 12655   | 12866      | 12828      | 12744       | 0         |
| Bad cards must make.            | OVERNIGHT                      | site_0   | 9639    | 9663       | 9619       | 9474        | 0         |
| Bad cards must make.            | OVERNIGHT                      | site_1   | 9683    | 9601       | 9698       | 9491        | 0         |
| Bad cards must make.            | OVERNIGHT                      | site_2   | 9624    | 9585       | 9579       | 9720        | 0         |
| Bad cards must make.            | OVERNIGHT                      | site_3   | 9584    | 9537       | 9596       | 9574        | 0         |
| Bad cards must make.            | REGULAR                        | site_0   | 9612    | 9649       | 9696       | 9676        | 0         |
| Bad cards must make.            | REGULAR                        | site_1   | 9475    | 9505       | 9311       | 9595        | 0         |
| Bad cards must make.            | REGULAR                        | site_2   | 9695    | 9468       | 9597       | 9423        | 0         |
| Bad cards must make.            | REGULAR                        | site_3   | 9484    | 9585       | 9743       | 9697        | 0         |
| Bad cards must make.            | TWO DAY                        | site_0   | 9445    | 9693       | 9584       | 9749        | 0         |
| Bad cards must make.            | TWO DAY                        | site_1   | 9531    | 9484       | 9461       | 9585        | 0         |
| Bad cards must make.            | TWO DAY                        | site_2   | 9495    | 9660       | 9647       | 9451        | 0         |
| Bad cards must make.            | TWO DAY                        | site_3   | 9616    | 9520       | 9617       | 9648        | 0         |
| Conventional childr             | EXPRESS                        | site_0   | 13010   | 12956      | 12742      | 12928       | 0         |
| Conventional childr             | EXPRESS                        | site_1   | 12758   | 12801      | 12905      | 12788       | 0         |
| Conventional childr             | EXPRESS                        | site_2   | 12999   | 12561      | 12616      | 12786       | 0         |
| Conventional childr             | EXPRESS                        | site_3   | 12747   | 12714      | 12677      | 13069       | 0         |
| Conventional childr             | LIBRARY                        | site_0   | 9529    | 9631       | 9735       | 9446        | 0         |
| Conventional childr             | LIBRARY                        | site_1   | 9782    | 9586       | 9568       | 9573        | 0         |
| Conventional childr             | LIBRARY                        | site_2   | 9513    | 9644       | 9485       | 9582        | 0         |
| Conventional childr             | LIBRARY                        | site_3   | 9832    | 9557       | 9618       | 9603        | 0         |
| Conventional childr             | NEXT DAY                       | site_0   | 12737   | 12942      | 12830      | 12637       | 0         |
| Conventional childr             | NEXT DAY                       | site_1   | 12797   | 12871      | 12899      | 12702       | 0         |
| Conventional childr             | NEXT DAY                       | site_2   | 12892   | 12819      | 12724      | 12678       | 0         |
| Conventional childr             | NEXT DAY                       | site_3   | 12691   | 12666      | 13007      | 12820       | 0         |
| Conventional childr             | OVERNIGHT                      | site_0   | 9471    | 9660       | 9491       | 9651        | 0         |
| Conventional childr             | OVERNIGHT                      | site_1   | 9782    | 9611       | 9613       | 9516        | 0         |
| Conventional childr             | OVERNIGHT                      | site_2   | 9551    | 9439       | 9745       | 9602        | 0         |
| Conventional childr             | OVERNIGHT                      | site_3   | 9471    | 9598       | 9742       | 9579        | 0         |
| Conventional childr             | REGULAR                        | site_0   | 9651    | 9533       | 9642       | 9604        | 0         |
| Conventional childr             | REGULAR                        | site_1   | 9787    | 9473       | 9464       | 9672        | 0         |
| Conventional childr             | REGULAR                        | site_2   | 9555    | 9701       | 9532       | 9530        | 0         |
