+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------+
| s_store_name | i_item_desc                                                                                                                                                                                             | revenue | i_current_price | i_wholesale_cost | i_brand                                            |
+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------+
| able         | A little great workers seem just really old methods. Working, sensitive files believe expressly words. Parties bring in a payments; strong windows                                                      | 26.40   | 9.86            | 7.69             | corpmaxi #10                                       |
| able         | A little successful females provide public proposals. Ridiculous, private times run                                                                                                                     | 31.48   | 1.84            | 2.31             | amalgexporti #2                                    |
| able         | Abroad important emissions could make. Below strong sites might not find agricultural, early topics. Sets will continue now industrial, academic sides. Sides must face in                              | 38.10   | 0.10            | 5.15             | amalgmaxi #4                                       |
| able         | Absolutely front men turn spatial hours. Good, free sales used to marry outside appropriate ships. Noble men sa                                                                                         | 36.89   | 1.49            | 1.53             | amalgedu pack #2                                   |
| able         | Accordingly normal lives wonder always up the lines; male, new figures would sur                                                                                                                        | 14.01   | 8.11            | 6.89             | amalgbrand #8                                      |
| able         | Activitie                                                                                                                                                                                               | 34.68   | 7.68            | 2.21             | importoscholar #2                                  |
| able         | Again economic rates ought to marry usually girls. Walls would see times. Yesterday random operations produce badly to a lines. Initially important teams bear signs. New, normal securities mea        | 42.54   | 9.16            | 44.52            | amalgunivamalg #8                                  |
| able         | Agricultural others kill also machine                                                                                                                                                                   | 14.40   | 2.99            | 2.03             | edu packnameless #8                                |
| able         | All but thinking schools learn very short-term, primitive                                                                                                                                               | 27.32   | 0.46            | 0.23             | brandmaxi #8                                       |
| able         | All right light positions lack photographs. Capital, successive privileges ask. Products will not lose much white years. Ages would release naturally; cons                                             | 31.97   | 2.31            | 5.53             | amalgscholar #2                                    |
| able         | All social systems would trace still good passive friends. Interests listen only future years. Simple, sharp photographs seek for the findings. Social functions save more apparent options; wishes     | 43.65   | 5.18            | 0.69             | importoedu pack #2                                 |
| able         | Alone countries must use so old, international functions. Only public cases see in a words. Normal methods forget even communist changes; technical numbers convert either natu                         | 39.83   | 4.67            | 4.15             | importomaxi #8                                     |
| able         | Also jewish lives read helpful features. Sincerely vast applications forget best even joint years. Circumstances cannot put. Units will help in a ways. Acceptable women would not indicate less sharp  | 44.11   | 6.05            | 3.81             | scholarcorp #2                                     |
| able         | Also public times make flat, personal instances. Almost old remains used to reverse yesterday wryly lucky                                                                                               | 30.25   | 5.26            | 2.84             | corpmaxi #6                                        |
| able         | Always professional mod                                                                                                                                                                                 | 30.53   | 83.05           | 38.20            | exportiimporto #2                                  |
| able         | American, correct attacks must keep all high local men. Capital languages control. Buildings should convince at once large constraints. Suddenly good copie                                             | 30.82   | 6.15            | 47.20            | namelessmaxi #4                                    |
| able         | American, new relationships cannot stop also additional bits; consisten                                                                                                                                 | 33.96   | 8.25            | 5.69             | exportiunivamalg #10                               |
| able         | American, russian unions turn partially times. Rights should abandon together pe                                                                                                                        | 38.26   | 26.02           | 1.40             | edu packmaxi #12                                   |
| able         | Annual, normal arguments should exercise thus times. White resources ought to cope                                                                                                                      | 25.45   | 2.19            | 0.78             | amalgexporti #2                                    |
| able         | Anonymous,                                                                                                                                                                                              | 25.08   | 5.28            | 0.19             | exportiamalg #2                                    |
| able         | Apparent, central processes get social, false parts. Moral thoughts will not represent rea                                                                                                              | 40.56   | 7.57            | 81.10            | exportiexporti #2                                  |
| able         | Apparently eligible centres provide in or                                                                                                                                                               | 35.56   | 0.88            | 0.38             | scholarbrand #2                                    |
| able         | As fundamental grounds might                                                                                                                                                                            | 43.36   | 8.52            | 4.94             | importoscholar #2                                  |
| able         | As medical                                                                                                                                                                                              | 39.52   | 0.74            | 0.47             | amalgunivamalg #10                                 |
| able         | As medical                                                                                                                                                                                              | 28.73   | 0.74            | 0.47             | amalgunivamalg #10                                 |
| able         | Aspects pay probable women. Tonight complex children put. Clear, concrete parts bear local things. Penalties                                                                                            | 19.02   | 2.10            | 1.38             | edu packimporto #2                                 |
| able         | At first surprising trousers know. Maybe                                                                                                                                                                | 18.34   | 4.93            | 3.79             | edu packimporto #2                                 |
| able         | Attractive hands will not mean soon. Other, big hospitals may not get degrees. Probably military feelings meet yesterday major standards; too possible famili                                           | 41.60   | 4.44            | 2.93             | edu packedu pack #2                                |
| able         | Backs search well theoretical, young funds. Other, busy countries make grey homes                                                                                                                       | 40.36   | 7.36            | 4.14             | amalgnameless #10                                  |
| able         | Bad, general branches export in a firms; authorities get even pp.. Far physical problems use decent, revolutionary institutions. Months need there only able other                                      | 42.51   | 0.38            | 0.20             | amalgamalg #2                                      |
| able         | Badly leading police used to see specialist, different months. High goods could not examine in a ladies. Eventually separate grou                                                                       | 9.00    | 1.52            | 1.35             | amalgimporto #2                                    |
| able         | Before free friends could appear in the problems. Mental, new years must                                                                                                                                | 11.97   | 2.04            | 1.02             | edu packedu pack #2                                |
| able         | Benefits cannot happen so                                                                                                                                                                               | 34.33   | 66.85           | 4.53             | exportiimporto #2                                  |
| able         | Big, huge goals add usually here commercial things; keen, pregnant years might imagine somewhere rules. Highly respo                                                                                    | 27.82   | 0.71            | 0.32             | importoimporto #2                                  |
| able         | Bills fight there rat                                                                                                                                                                                   | 36.18   | 1.97            | 1.35             | exportiedu pack #2                                 |
| able         | Blind, available years ought to forget political films. Afraid days specify such as a lips. Employees may not look never enough average feet. Large, other attacks will not take regul                  | 16.47   | 19.53           | 16.60            | edu packmaxi #6                                    |
| able         | British rates might take so different fathers; economic dollars appear musical, civil values. Elsewhere real actions hear more. Even sure leaders suffer small, labour culture                          | 23.34   | 4.69            | 2.22             | importonameless #6                                 |
| able         | British,                                                                                                                                                                                                | 13.65   | 81.97           | 27.05            | amalgcorp #4                                       |
| able         | British, capable crowds shall know also minds. Other creatures study real, special railways. Workshops come                                                                                             | 38.79   | 1.70            | 2.25             | exportiamalg #2                                    |
| able         | British, prime soldiers might come. Statutory, wet mountains watch so long-term, private sys                                                                                                            | 39.81   | 5.19            | 2.54             | amalgunivamalg #2                                  |
| able         | Brown, social offenders might expect just full, special comments. Male doors run adequate months. Spat                                                                                                  | 24.44   | 4.36            | 34.13            | edu packedu pack #2                                |
| able         | Burning articles assess; common, rich functions must take. Big amounts pursue ways. Later ruling questions can function again. International, new cards spell today to a groups. Freely other           | 42.61   | 9.82            | 4.51             | amalgscholar #2                                    |
| able         | Busy ways would move also brilliant friends. Reforms serve quickly modern forms; natural, modern years fall right especially acceptable                                                                 | 30.71   | 8.84            | 6.71             | edu packscholar #2                                 |
| able         | Careful actors believe now levels. Locally huge profits exert most gothic, urban results. Extremely single points use                                                                                   | 38.53   | 4.60            | 3.72             | importoedu pack #2                                 |
| able         | Cars could not convey in a mechanisms. Economic classes want undoubtedly young centres. Sexual, european match                                                                                          | 23.54   | 3.58            | 1.21             | edu packexporti #2                                 |
| able         | Cells borrow too                                                                                                                                                                                        | 22.45   | 80.05           | 68.84            | amalgbrand #8                                      |
| able         | Central cases s                                                                                                                                                                                         | 40.65   | 2.60            | 2.24             | amalgedu pack #2                                   |
| able         | Children know pretty onl                                                                                                                                                                                | 41.88   | 1.71            | 0.59             | edu packmaxi #8                                    |
| able         | Children should not become just other mice. Wonderful,                                                                                                                                                  | 35.22   | 38.85           | 22.14            | brandnameless #8                                   |
| able         | Christian, traditional problems reply conscious, important men. Spanish, large types open also similar men. Loose,                                                                                      | 23.66   | 3.00            | 2.52             | amalgnameless #6                                   |
| able         | Committees start other, human argume                                                                                                                                                                    | 27.79   | 9.40            | 0.25             | exportiamalg #2                                    |
| able         | Common, common choices used to vote offers. A bit national men thrive ever chemicals. Enough significan                                                                                                 | 18.15   | 0.68            | 0.45             | edu packscholar #2                                 |
