+-----------------+------+----------------+--------------+----------------+
| channel         | id   | sales          | returns      | profit         |
+-----------------+------+----------------+--------------+----------------+
| catalog channel | 1    | 4865112979.32  | 85134017.36  | -530039409.38  |
| catalog channel | 2    | 4919044434.48  | 85134017.36  | -533271097.64  |
| catalog channel | 4    | 4874298453.72  | 85134017.36  | -541122857.54  |
| catalog channel | 7    | 4884065227.32  | 85134017.36  | -536465686.22  |
| catalog channel | 8    | 4863144597.06  | 85134017.36  | -547911829.28  |
| catalog channel | NULL | 24435683811.48 | 510804104.16 | -2744601090.06 |
| catalog channel | NULL | 30018119.58    | 85134017.36  | -55790210.00   |
| store channel   | 1    | 79555897.27    | 1944577.09   | -35665134.88   |
| store channel   | 2    | 79690812.29    | 2026912.33   | -35620067.75   |
| store channel   | 4    | 78616574.72    | 1769727.75   | -36335301.75   |
| store channel   | 7    | 78606533.91    | 2056795.71   | -36038757.24   |
| store channel   | 8    | 79166694.42    | 2044412.88   | -35788916.54   |
| store channel   | 10   | 79945896.02    | 1937709.53   | -35982669.49   |
| store channel   | 13   | 79624872.41    | 1902330.69   | -35835915.81   |
| store channel   | 14   | 81072263.05    | 1900414.85   | -36731201.30   |
| store channel   | 16   | 76906304.33    | 2036151.43   | -35211433.45   |
| store channel   | 19   | 79375153.63    | 1904937.54   | -34884689.40   |
| store channel   | 20   | 79723892.10    | 1879656.39   | -36146198.71   |
| store channel   | 22   | 78826683.59    | 1788123.98   | -35288273.06   |
| store channel   | 25   | 78173055.48    | 1875511.76   | -34941558.49   |
| store channel   | 26   | 78524823.03    | 1931332.51   | -35296878.85   |
| store channel   | 28   | 76930896.37    | 1979828.01   | -34447572.91   |
| store channel   | 31   | 79167403.14    | 2006496.32   | -34932400.06   |
| store channel   | 32   | 79007438.68    | 1860073.67   | -35558353.29   |
| store channel   | 34   | 79125006.82    | 1866645.28   | -34854136.97   |
| store channel   | 37   | 77126840.56    | 1930591.16   | -34957862.31   |
| store channel   | 38   | 76245682.85    | 1892955.69   | -34992526.27   |
| store channel   | 40   | 79199439.28    | 2072192.37   | -35488021.02   |
| store channel   | 43   | 79568138.42    | 1915674.33   | -35202401.42   |
| store channel   | 44   | 77821143.00    | 2031229.33   | -35474746.02   |
| store channel   | 46   | 76892355.03    | 2022503.14   | -34176933.09   |
| store channel   | 49   | 76974215.03    | 2096206.04   | -34476944.51   |
| store channel   | 50   | 81657293.38    | 1892782.25   | -35989648.91   |
| store channel   | 52   | 78673501.82    | 2015873.35   | -34680247.36   |
| store channel   | 55   | 77766501.48    | 1939826.36   | -34751658.88   |
| store channel   | 56   | 78892964.61    | 1937427.44   | -35193129.69   |
| store channel   | 58   | 81301087.40    | 1820806.99   | -36392409.86   |
| store channel   | 61   | 79543344.64    | 1916784.30   | -35531462.33   |
| store channel   | 62   | 78557696.63    | 1939356.35   | -35774445.17   |
| store channel   | 64   | 79812636.10    | 1873740.86   | -36092809.54   |
| store channel   | 67   | 77356115.60    | 1944565.83   | -35126475.46   |
| store channel   | 68   | 79103600.77    | 2051423.19   | -35570474.03   |
| store channel   | 70   | 79681884.87    | 1998168.06   | -35937662.66   |
| store channel   | 73   | 79168945.84    | 2029385.13   | -35180365.68   |
| store channel   | 74   | 78306483.17    | 1933735.46   | -35169515.54   |
| store channel   | 76   | 78678944.80    | 1815768.96   | -35077530.24   |
| store channel   | 79   | 77779665.81    | 1967091.46   | -34952219.76   |
| store channel   | 80   | 79643556.89    | 1951341.64   | -36784887.29   |
| store channel   | 82   | 80096471.97    | 1880937.39   | -35957467.87   |
| store channel   | 85   | 80685947.19    | 1848758.49   | -35651282.15   |
| store channel   | 86   | 77669437.21    | 1933218.68   | -34808909.63   |
| store channel   | 88   | 79154190.39    | 1866276.21   | -35769680.81   |
| store channel   | 91   | 79304171.34    | 1945658.31   | -35700096.37   |
| store channel   | 92   | 78490926.81    | 2000420.90   | -35148419.50   |
| store channel   | 94   | 80014522.17    | 1996111.23   | -35212019.78   |
| store channel   | 97   | 77673376.52    | 2125160.42   | -34796016.06   |
| store channel   | 98   | 79573282.31    | 2011939.41   | -36206995.45   |
| store channel   | 100  | 77156154.12    | 1958504.79   | -34476438.36   |
| store channel   | 103  | 79041238.55    | 1926049.75   | -36165168.14   |
| store channel   | 104  | 78676393.37    | 1830337.45   | -35544603.73   |
| store channel   | 106  | 76608951.59    | 1958324.75   | -34904597.06   |
| store channel   | 109  | 77889090.16    | 2022181.12   | -34815836.97   |
| store channel   | 110  | 78303919.13    | 1973442.35   | -35523523.08   |
| store channel   | 112  | 77764167.07    | 2055433.23   | -34819605.84   |
| store channel   | 115  | 77114190.99    | 1922350.47   | -33477624.27   |
| store channel   | 116  | 80409178.17    | 1855815.51   | -35527473.34   |
| store channel   | 118  | 79252216.52    | 1973044.48   | -36171601.40   |
| store channel   | 121  | 77102081.35    | 1938050.92   | -35694550.62   |
| store channel   | 122  | 78676065.88    | 1992121.98   | -35072818.21   |
| store channel   | 124  | 77079869.16    | 2004568.78   | -34739592.76   |
| store channel   | 127  | 79396883.81    | 2053587.99   | -35551118.63   |
| store channel   | 128  | 79807204.12    | 1919621.19   | -35972985.95   |
| store channel   | 130  | 77449753.15    | 1976001.62   | -34859991.70   |
| store channel   | 133  | 79583127.36    | 2070848.05   | -36085299.31   |
| store channel   | 134  | 79484069.83    | 1882494.48   | -35689076.67   |
| store channel   | 136  | 77819150.78    | 1994607.05   | -35094085.45   |
| store channel   | 139  | 77652000.82    | 1944457.15   | -35047173.32   |
| store channel   | 140  | 80367886.74    | 1918216.29   | -35173192.28   |
| store channel   | 142  | 78464650.41    | 1841020.86   | -35573882.41   |
| store channel   | NULL | 5669552808.23  | 140320628.71 | -2547764964.11 |
| web channel     | 1    | 5069626.42     | 58924.80     | -474713.15     |
| web channel     | 2    | 4726195.04     | 43347.58     | -484278.24     |
| web channel     | 4    | 4515643.79     | 67481.01     | -527916.45     |
| web channel     | 7    | 4455412.03     | 81626.12     | -515656.71     |
| web channel     | 8    | 4848829.62     | 130703.59    | -519671.99     |
| web channel     | 10   | 4764817.41     | 69638.82     | -397378.60     |
| web channel     | 13   | 4644748.95     | 49616.05     | -434625.56     |
| web channel     | 14   | 4474221.09     | 84943.52     | -557156.09     |
| web channel     | 16   | 4321083.74     | 41678.80     | -502857.82     |
| web channel     | 19   | 4516526.94     | 110681.75    | -475029.95     |
| web channel     | 20   | 4608000.56     | 48178.63     | -367496.41     |
| web channel     | 22   | 4434071.95     | 89339.25     | -431636.60     |
| web channel     | 25   | 4452389.72     | 76805.89     | -603526.98     |
| web channel     | 26   | 5125390.29     | 37773.87     | -311408.34     |
| web channel     | 28   | 4751441.12     | 19966.61     | -575028.77     |
| web channel     | 31   | 4762213.53     | 54945.50     | -634669.43     |
| web channel     | 32   | 4494855.82     | 57672.00     | -429292.97     |
| web channel     | 34   | 4647803.50     | 69037.78     | -437547.18     |
| web channel     | 37   | 4940199.50     | 73508.46     | -320020.48     |
| web channel     | 38   | 4514243.36     | 101686.93    | -488636.35     |
+-----------------+------+----------------+--------------+----------------+
