+--------------+------------+----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| ss_sold_year | ss_item_sk | ss_customer_sk | ratio | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price |
+--------------+------------+----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| 2000         | 1          | 488067         | 1.23  | 59        | 54.26                | 29.86             | 48             | 1.94                      | 0.53                   |
| 2000         | 13         | 276156         | 1.31  | 89        | 13.11                | 11.82             | 68             | 71.36                     | 86.18                  |
| 2000         | 17         | 121122         | 1.0   | 71        | 40.41                | 40.36             | 71             | 76.41                     | 13.53                  |
| 2000         | 19         | 381586         | 0.61  | 35        | 5.30                 | 1.96              | 57             | 51.24                     | 103.99                 |
| 2000         | 19         | 531939         | 0.91  | 43        | 41.20                | 46.23             | 47             | 51.43                     | 10.53                  |
| 2000         | 26         | 171397         | 0.47  | 25        | 15.97                | 2.55              | 53             | 79.86                     | 42.79                  |
| 2000         | 26         | 365916         | 0.02  | 1         | 67.14                | 79.10             | 42             | 30.97                     | 10.91                  |
| 2000         | 29         | 72623          | 2.27  | 50        | 62.44                | 30.60             | 22             | 4.33                      | 6.55                   |
| 2000         | 32         | 263778         | 2.07  | 31        | 34.43                | 13.97             | 15             | 22.21                     | 49.92                  |
| 2000         | 37         | 337380         | 0.46  | 33        | 61.89                | 70.53             | 71             | 79.83                     | 43.02                  |
| 2000         | 41         | 527762         | 1.31  | 17        | 80.73                | 57.29             | 13             | 45.38                     | 35.12                  |
| 2000         | 47         | 726051         | 24.33 | 73        | 26.97                | 7.42              | 3              | 99.77                     | 213.52                 |
| 2000         | 59         | 74187          | 0.37  | 36        | 60.25                | 12.72             | 98             | 72.34                     | 164.06                 |
| 2000         | 68         | 117456         | 5.33  | 80        | 11.21                | 20.54             | 15             | 95.60                     | 125.06                 |
| 2000         | 71         | 459055         | 0.23  | 20        | 49.70                | 4.29              | 86             | 98.45                     | 92.54                  |
| 2000         | 85         | 433782         | 0.19  | 10        | 60.24                | 50.10             | 52             | 33.78                     | 14.05                  |
| 2000         | 86         | 235784         | 0.17  | 5         | 48.47                | 46.13             | 30             | 25.52                     | 56.72                  |
| 2000         | 86         | 504088         | 0.12  | 5         | 61.22                | 89.96             | 41             | 75.64                     | 49.83                  |
| 2000         | 86         | 670323         | 24.0  | 72        | 59.25                | 84.42             | 3              | 65.02                     | 151.10                 |
| 2000         | 91         | 537047         | 1.44  | 82        | 8.10                 | 3.24              | 57             | 6.17                      | 7.99                   |
| 2000         | 95         | 90383          | 0.82  | 79        | 28.89                | 25.74             | 96             | 67.09                     | 60.41                  |
| 2000         | 95         | 471356         | 20.67 | 62        | 99.40                | 158.64            | 3              | 79.94                     | 76.81                  |
| 2000         | 97         | 595947         | 5.18  | 57        | 98.10                | 32.96             | 11             | 68.66                     | 3.63                   |
| 2000         | 98         | 174155         | 1.66  | 63        | 74.58                | 100.07            | 38             | 52.34                     | 45.44                  |
| 2000         | 103        | 12328          | 1.57  | 47        | 42.63                | 37.97             | 30             | 58.97                     | 74.03                  |
| 2000         | 103        | 365780         | 0.92  | 36        | 58.88                | 98.73             | 39             | 71.29                     | 22.05                  |
| 2000         | 103        | 729447         | 2.05  | 84        | 92.56                | 140.05            | 41             | 79.79                     | 71.08                  |
| 2000         | 107        | 14583          | 0.07  | 5         | 73.70                | 104.52            | 76             | 17.72                     | 43.57                  |
| 2000         | 107        | 483901         | 5.88  | 94        | 52.57                | 21.20             | 16             | 42.33                     | 28.64                  |
| 2000         | 109        | 193850         | 2.33  | 93        | 46.39                | 47.92             | 40             | 62.81                     | 85.00                  |
| 2000         | 115        | 663574         | 0.31  | 17        | 68.44                | 97.32             | 54             | 89.42                     | 196.50                 |
| 2000         | 125        | 77300          | 1.21  | 23        | 39.79                | 5.41              | 19             | 94.36                     | 55.27                  |
| 2000         | 127        | 437780         | 0.47  | 22        | 83.16                | 34.92             | 47             | 99.06                     | 29.71                  |
| 2000         | 131        | 76043          | 3.71  | 89        | NULL                 | 12.41             | 24             | 87.75                     | 5.26                   |
| 2000         | 131        | 552499         | 7.56  | 68        | 15.76                | 2.91              | 9              | 55.64                     | 41.49                  |
| 2000         | 139        | 292902         | 1.0   | 50        | 46.50                | 15.62             | 50             | 27.85                     | 13.91                  |
| 2000         | 143        | 415392         | 1.64  | 92        | 47.61                | 53.47             | 56             | 29.03                     | 27.53                  |
| 2000         | 146        | 64114          | 1.77  | 55        | 28.20                | 33.48             | 31             | 99.29                     | 81.49                  |
| 2000         | 146        | 410978         | 2.71  | 19        | 78.37                | 78.33             | 7              | 20.70                     | 0.29                   |
